# Energy_MeV  FermiN
7.4045963689e-04 1.3088801778e+02
9.7931438035e-04 1.1383543144e+02
1.2952184354e-03 9.9010968359e+01
1.7130255935e-03 8.6124454479e+01
2.2656074811e-03 7.4923641685e+01
2.9964389133e-03 6.5189273322e+01
3.9630199977e-03 5.6730780664e+01
5.2413973063e-03 4.9382548386e+01
6.9321495640e-03 4.3000662550e+01
9.1682996313e-03 3.7460083005e+01
1.2125780003e-02 3.2652203890e+01
1.6037272520e-02 2.8482808111e+01
2.1210521632e-02 2.4870420679e+01
2.8052544364e-02 2.1745002527e+01
3.7101636356e-02 1.9046790421e+01
4.9069748146e-02 1.6724985953e+01
6.4898502537e-02 1.4736105928e+01
8.5833255819e-02 1.3042079344e+01
1.1352103155e-01 1.1608431030e+01
1.5014026446e-01 1.0402921997e+01
1.9857201445e-01 9.3948201226e+00
2.6262669191e-01 8.5547281759e+00
3.4734381830e-01 7.8547494556e+00
4.5938887707e-01 7.2687901180e+00
6.0757718718e-01 6.7728786533e+00
8.0356719484e-01 6.3454618457e+00
1.0627790483e+00 5.9676545027e+00
1.4056068650e+00 5.6233945998e+00
1.8590228428e+00 5.2994327425e+00
2.4587000204e+00 4.9851067449e+00
