 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 3.598914E+01, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 1.395147399203452E-15
 #      Coulomb phase shift=-1.017519048167594E-01  (ETA=-6.610142E+00)
 #      Matching radius: RAD(  318)= 1.268050722028880E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  3.90747332E-03 -8.35550981E-04
   8.00032001E-05  7.33823275E-03 -1.57049758E-03
   1.20004800E-04  1.05987745E-02 -2.27023548E-03
   1.60006400E-04  1.37477775E-02 -2.94725578E-03
   2.00008000E-04  1.68122903E-02 -3.60730532E-03
   2.40009600E-04  1.98079475E-02 -4.25369944E-03
   2.80011200E-04  2.27449447E-02 -4.88859577E-03
   3.20012801E-04  2.56304585E-02 -5.51350986E-03
   3.60014401E-04  2.84698165E-02 -6.12956429E-03
   4.00016001E-04  3.12671318E-02 -6.73762380E-03
   4.40017601E-04  3.40256773E-02 -7.33837488E-03
   4.80019201E-04  3.67481208E-02 -7.93237573E-03
   5.20020801E-04  3.94366799E-02 -8.52008921E-03
   5.60022401E-04  4.20932282E-02 -9.10190533E-03
   6.00024001E-04  4.47193705E-02 -9.67815732E-03
   6.40025601E-04  4.73164978E-02 -1.02491332E-02
   6.80027201E-04  4.98858281E-02 -1.08150845E-02
   7.20028801E-04  5.24284374E-02 -1.13762327E-02
   7.60030401E-04  5.49452839E-02 -1.19327745E-02
   8.00032001E-04  5.74372268E-02 -1.24848859E-02
   8.40033601E-04  5.99050414E-02 -1.30327251E-02
   8.80035201E-04  6.23494314E-02 -1.35764352E-02
   9.20036801E-04  6.47710385E-02 -1.41161464E-02
   9.60038402E-04  6.71704509E-02 -1.46519776E-02
   1.00004000E-03  6.95482099E-02 -1.51840379E-02
   1.04004160E-03  7.19048154E-02 -1.57124278E-02
   1.08004320E-03  7.42407314E-02 -1.62372401E-02
   1.12004480E-03  7.65563891E-02 -1.67585608E-02
   1.16004640E-03  7.88521911E-02 -1.72764701E-02
   1.20004800E-03  8.11285142E-02 -1.77910427E-02
   1.24004960E-03  8.33857120E-02 -1.83023483E-02
   1.28005120E-03  8.56241170E-02 -1.88104525E-02
   1.32005280E-03  8.78440429E-02 -1.93154167E-02
   1.36005440E-03  9.00457860E-02 -1.98172990E-02
   1.40005600E-03  9.22296269E-02 -2.03161539E-02
   1.44005760E-03  9.43958318E-02 -2.08120332E-02
   1.48005920E-03  9.65446539E-02 -2.13049858E-02
   1.52006080E-03  9.86763340E-02 -2.17950582E-02
   1.56006240E-03  1.00791102E-01 -2.22822944E-02
   1.60006400E-03  1.02889177E-01 -2.27667365E-02
   1.64006560E-03  1.04970770E-01 -2.32484245E-02
   1.68006720E-03  1.07036080E-01 -2.37273966E-02
   1.72006880E-03  1.09085302E-01 -2.42036893E-02
   1.76007040E-03  1.11118621E-01 -2.46773376E-02
   1.80007200E-03  1.13136214E-01 -2.51483750E-02
   1.84007360E-03  1.15138253E-01 -2.56168335E-02
   1.88007520E-03  1.17124904E-01 -2.60827439E-02
   1.92007680E-03  1.19096325E-01 -2.65461360E-02
   1.96007840E-03  1.21052670E-01 -2.70070383E-02
   2.00008000E-03  1.22994090E-01 -2.74654781E-02
   2.04008160E-03  1.24920726E-01 -2.79214820E-02
   2.08008320E-03  1.26832719E-01 -2.83750755E-02
   2.12008480E-03  1.28730204E-01 -2.88262833E-02
   2.16008640E-03  1.30613312E-01 -2.92751291E-02
   2.20008800E-03  1.32482169E-01 -2.97216362E-02
   2.24008960E-03  1.34336900E-01 -3.01658267E-02
   2.28009120E-03  1.36177625E-01 -3.06077223E-02
   2.32009280E-03  1.38004460E-01 -3.10473440E-02
   2.36009440E-03  1.39817519E-01 -3.14847120E-02
   2.40009600E-03  1.41616913E-01 -3.19198461E-02
   2.44009760E-03  1.43402749E-01 -3.23527655E-02
   2.48009920E-03  1.45175134E-01 -3.27834888E-02
   2.52010080E-03  1.46934169E-01 -3.32120341E-02
   2.56010240E-03  1.48679955E-01 -3.36384190E-02
   2.60010400E-03  1.50412591E-01 -3.40626606E-02
   2.64010560E-03  1.52132171E-01 -3.44847757E-02
   2.68010720E-03  1.53838789E-01 -3.49047806E-02
   2.72010880E-03  1.55532538E-01 -3.53226911E-02
   2.76011040E-03  1.57213506E-01 -3.57385228E-02
   2.80011200E-03  1.58881782E-01 -3.61522906E-02
   2.84011360E-03  1.60537451E-01 -3.65640095E-02
   2.88011520E-03  1.62180597E-01 -3.69736938E-02
   2.92011680E-03  1.63811304E-01 -3.73813575E-02
   2.96011840E-03  1.65429653E-01 -3.77870146E-02
   3.00012000E-03  1.67035722E-01 -3.81906784E-02
   3.04012160E-03  1.68629591E-01 -3.85923621E-02
   3.08012320E-03  1.70211335E-01 -3.89920787E-02
   3.12012480E-03  1.71781030E-01 -3.93898407E-02
   3.16012641E-03  1.73338750E-01 -3.97856607E-02
   3.20012801E-03  1.74884568E-01 -4.01795506E-02
   3.24012961E-03  1.76418555E-01 -4.05715224E-02
   3.28013121E-03  1.77940782E-01 -4.09615878E-02
   3.32013281E-03  1.79451318E-01 -4.13497581E-02
   3.36013441E-03  1.80950230E-01 -4.17360447E-02
   3.40013601E-03  1.82437587E-01 -4.21204585E-02
   3.44013761E-03  1.83913454E-01 -4.25030104E-02
   3.48013921E-03  1.85377896E-01 -4.28837109E-02
   3.52014081E-03  1.86830977E-01 -4.32625706E-02
   3.56014241E-03  1.88272761E-01 -4.36395997E-02
   3.60014401E-03  1.89703309E-01 -4.40148082E-02
   3.64014561E-03  1.91122684E-01 -4.43882061E-02
   3.68014721E-03  1.92530945E-01 -4.47598032E-02
   3.72014881E-03  1.93928152E-01 -4.51296089E-02
   3.76015041E-03  1.95314365E-01 -4.54976329E-02
   3.80015201E-03  1.96689641E-01 -4.58638843E-02
   3.84015361E-03  1.98054038E-01 -4.62283723E-02
   3.88015521E-03  1.99407613E-01 -4.65911060E-02
   3.92015681E-03  2.00750421E-01 -4.69520941E-02
   3.96015841E-03  2.02082518E-01 -4.73113455E-02
   4.00016001E-03  2.03403959E-01 -4.76688687E-02
   4.04016161E-03  2.04714796E-01 -4.80246723E-02
   4.08016321E-03  2.06015085E-01 -4.83787645E-02
   4.12016481E-03  2.07304877E-01 -4.87311538E-02
   4.16016641E-03  2.08584224E-01 -4.90818481E-02
   4.20016801E-03  2.09853179E-01 -4.94308555E-02
   4.24016961E-03  2.11111792E-01 -4.97781839E-02
   4.28017121E-03  2.12360113E-01 -5.01238412E-02
   4.32017281E-03  2.13598192E-01 -5.04678351E-02
   4.36017441E-03  2.14826079E-01 -5.08101731E-02
   4.40017601E-03  2.16043823E-01 -5.11508628E-02
   4.44017761E-03  2.17251471E-01 -5.14899116E-02
   4.48017921E-03  2.18449072E-01 -5.18273268E-02
   4.52018081E-03  2.19636673E-01 -5.21631157E-02
   4.56018241E-03  2.20814321E-01 -5.24972854E-02
   4.60018401E-03  2.21982062E-01 -5.28298430E-02
   4.64018561E-03  2.23139942E-01 -5.31607955E-02
   4.68018721E-03  2.24288007E-01 -5.34901497E-02
   4.72018881E-03  2.25426301E-01 -5.38179125E-02
   4.76019041E-03  2.26554871E-01 -5.41440907E-02
   4.80019201E-03  2.27673759E-01 -5.44686909E-02
   4.84019361E-03  2.28783009E-01 -5.47917196E-02
   4.88019521E-03  2.29882666E-01 -5.51131835E-02
   4.92019681E-03  2.30972772E-01 -5.54330890E-02
   4.96019841E-03  2.32053371E-01 -5.57514424E-02
   5.00020001E-03  2.33124503E-01 -5.60682502E-02
   5.04020161E-03  2.34186212E-01 -5.63835184E-02
   5.08020321E-03  2.35238539E-01 -5.66972534E-02
   5.12020481E-03  2.36281526E-01 -5.70094612E-02
   5.16020641E-03  2.37315212E-01 -5.73201480E-02
   5.20020801E-03  2.38339640E-01 -5.76293196E-02
   5.24020961E-03  2.39354849E-01 -5.79369821E-02
   5.28021121E-03  2.40360879E-01 -5.82431414E-02
   5.32021281E-03  2.41357770E-01 -5.85478032E-02
   5.36021441E-03  2.42345561E-01 -5.88509734E-02
   5.40021601E-03  2.43324292E-01 -5.91526576E-02
   5.44021761E-03  2.44294000E-01 -5.94528616E-02
   5.48021921E-03  2.45254726E-01 -5.97515910E-02
   5.52022081E-03  2.46206506E-01 -6.00488512E-02
   5.56022241E-03  2.47149379E-01 -6.03446479E-02
   5.60022401E-03  2.48083382E-01 -6.06389865E-02
   5.64022561E-03  2.49008553E-01 -6.09318725E-02
   5.68022721E-03  2.49924929E-01 -6.12233111E-02
   5.72022881E-03  2.50832547E-01 -6.15133077E-02
   5.76023041E-03  2.51731443E-01 -6.18018677E-02
   5.80023201E-03  2.52621653E-01 -6.20889961E-02
   5.84023361E-03  2.53503215E-01 -6.23746983E-02
   5.88023521E-03  2.54376162E-01 -6.26589794E-02
   5.92023681E-03  2.55240532E-01 -6.29418445E-02
   5.96023841E-03  2.56096360E-01 -6.32232986E-02
   6.00024001E-03  2.56943680E-01 -6.35033467E-02
   6.04024161E-03  2.57782528E-01 -6.37819940E-02
   6.08024321E-03  2.58612938E-01 -6.40592452E-02
   6.12024481E-03  2.59434945E-01 -6.43351054E-02
   6.16024641E-03  2.60248583E-01 -6.46095793E-02
   6.20024801E-03  2.61053886E-01 -6.48826719E-02
   6.24024961E-03  2.61850888E-01 -6.51543879E-02
   6.28025121E-03  2.62639623E-01 -6.54247321E-02
   6.32025281E-03  2.63420123E-01 -6.56937091E-02
   6.36025441E-03  2.64192422E-01 -6.59613238E-02
   6.40025601E-03  2.64956554E-01 -6.62275807E-02
   6.44025761E-03  2.65712550E-01 -6.64924845E-02
   6.48025921E-03  2.66460445E-01 -6.67560398E-02
   6.52026081E-03  2.67200269E-01 -6.70182511E-02
   6.56026241E-03  2.67932055E-01 -6.72791229E-02
   6.60026401E-03  2.68655835E-01 -6.75386598E-02
   6.64026561E-03  2.69371642E-01 -6.77968663E-02
   6.68026721E-03  2.70079507E-01 -6.80537467E-02
   6.72026881E-03  2.70779461E-01 -6.83093054E-02
   6.76027041E-03  2.71471536E-01 -6.85635469E-02
   6.80027201E-03  2.72155762E-01 -6.88164754E-02
   6.84027361E-03  2.72832172E-01 -6.90680954E-02
   6.88027521E-03  2.73500795E-01 -6.93184110E-02
   6.92027681E-03  2.74161663E-01 -6.95674266E-02
   6.96027841E-03  2.74814806E-01 -6.98151464E-02
   7.00028001E-03  2.75460254E-01 -7.00615746E-02
   7.04028161E-03  2.76098037E-01 -7.03067153E-02
   7.08028321E-03  2.76728186E-01 -7.05505728E-02
   7.12028481E-03  2.77350731E-01 -7.07931511E-02
   7.16028641E-03  2.77965700E-01 -7.10344544E-02
   7.20028801E-03  2.78573124E-01 -7.12744868E-02
   7.24028961E-03  2.79173032E-01 -7.15132522E-02
   7.28029121E-03  2.79765454E-01 -7.17507548E-02
   7.32029281E-03  2.80350418E-01 -7.19869986E-02
   7.36029441E-03  2.80927953E-01 -7.22219874E-02
   7.40029601E-03  2.81498089E-01 -7.24557254E-02
   7.44029761E-03  2.82060853E-01 -7.26882163E-02
   7.48029921E-03  2.82616276E-01 -7.29194642E-02
   7.52030081E-03  2.83164384E-01 -7.31494730E-02
   7.56030241E-03  2.83705206E-01 -7.33782464E-02
   7.60030401E-03  2.84238771E-01 -7.36057884E-02
   7.64030561E-03  2.84765106E-01 -7.38321027E-02
   7.68030721E-03  2.85284240E-01 -7.40571933E-02
   7.72030881E-03  2.85796199E-01 -7.42810638E-02
   7.76031041E-03  2.86301012E-01 -7.45037180E-02
   7.80031201E-03  2.86798707E-01 -7.47251597E-02
   7.84031361E-03  2.87289310E-01 -7.49453927E-02
   7.88031521E-03  2.87772848E-01 -7.51644205E-02
   7.92031681E-03  2.88249350E-01 -7.53822469E-02
   7.96031841E-03  2.88718842E-01 -7.55988756E-02
   8.00032001E-03  2.89181350E-01 -7.58143102E-02
   8.04032161E-03  2.89636902E-01 -7.60285543E-02
   8.08032321E-03  2.90085524E-01 -7.62416115E-02
   8.12032481E-03  2.90527242E-01 -7.64534855E-02
   8.16032641E-03  2.90962084E-01 -7.66641798E-02
   8.20032801E-03  2.91390076E-01 -7.68736979E-02
   8.24032961E-03  2.91811243E-01 -7.70820435E-02
   8.28033121E-03  2.92225611E-01 -7.72892199E-02
   8.32033281E-03  2.92633207E-01 -7.74952308E-02
   8.36033441E-03  2.93034057E-01 -7.77000795E-02
   8.40033601E-03  2.93428186E-01 -7.79037697E-02
   8.44033761E-03  2.93815620E-01 -7.81063046E-02
   8.48033921E-03  2.94196384E-01 -7.83076879E-02
   8.52034081E-03  2.94570504E-01 -7.85079227E-02
   8.56034241E-03  2.94938005E-01 -7.87070127E-02
   8.60034401E-03  2.95298913E-01 -7.89049611E-02
   8.64034561E-03  2.95653252E-01 -7.91017714E-02
   8.68034721E-03  2.96001047E-01 -7.92974468E-02
   8.72034881E-03  2.96342324E-01 -7.94919908E-02
   8.76035041E-03  2.96677107E-01 -7.96854066E-02
   8.80035201E-03  2.97005421E-01 -7.98776976E-02
   8.84035361E-03  2.97327290E-01 -8.00688670E-02
   8.88035521E-03  2.97642739E-01 -8.02589181E-02
   8.92035681E-03  2.97951793E-01 -8.04478543E-02
   8.96035841E-03  2.98254475E-01 -8.06356787E-02
   9.00036001E-03  2.98550810E-01 -8.08223946E-02
   9.04036161E-03  2.98840822E-01 -8.10080052E-02
   9.08036321E-03  2.99124536E-01 -8.11925137E-02
   9.12036481E-03  2.99401974E-01 -8.13759232E-02
   9.16036641E-03  2.99673161E-01 -8.15582371E-02
   9.20036801E-03  2.99938121E-01 -8.17394584E-02
   9.24036961E-03  3.00196877E-01 -8.19195904E-02
   9.28037121E-03  3.00449453E-01 -8.20986360E-02
   9.32037281E-03  3.00695873E-01 -8.22765986E-02
   9.36037441E-03  3.00936159E-01 -8.24534811E-02
   9.40037602E-03  3.01170335E-01 -8.26292867E-02
   9.44037762E-03  3.01398424E-01 -8.28040184E-02
   9.48037922E-03  3.01620450E-01 -8.29776795E-02
   9.52038082E-03  3.01836436E-01 -8.31502728E-02
   9.56038242E-03  3.02046404E-01 -8.33218014E-02
   9.60038402E-03  3.02250377E-01 -8.34922685E-02
   9.64038562E-03  3.02448378E-01 -8.36616769E-02
   9.68038722E-03  3.02640431E-01 -8.38300298E-02
   9.72038882E-03  3.02826556E-01 -8.39973301E-02
   9.76039042E-03  3.03006778E-01 -8.41635809E-02
   9.80039202E-03  3.03181119E-01 -8.43287850E-02
   9.84039362E-03  3.03349600E-01 -8.44929455E-02
   9.88039522E-03  3.03512245E-01 -8.46560653E-02
   9.92039682E-03  3.03669075E-01 -8.48181474E-02
   9.96039842E-03  3.03820113E-01 -8.49791946E-02
   1.00004000E-02  3.03965380E-01 -8.51392100E-02
   1.00404016E-02  3.04104899E-01 -8.52981963E-02
   1.00804032E-02  3.04238692E-01 -8.54561566E-02
   1.01204048E-02  3.04366780E-01 -8.56130937E-02
   1.01604064E-02  3.04489186E-01 -8.57690105E-02
   1.02004080E-02  3.04605931E-01 -8.59239098E-02
   1.02404096E-02  3.04717036E-01 -8.60777945E-02
   1.02804112E-02  3.04822523E-01 -8.62306674E-02
   1.03204128E-02  3.04922414E-01 -8.63825314E-02
   1.03604144E-02  3.05016730E-01 -8.65333893E-02
   1.04004160E-02  3.05105493E-01 -8.66832440E-02
   1.04404176E-02  3.05188723E-01 -8.68320981E-02
   1.04804192E-02  3.05266442E-01 -8.69799545E-02
   1.05204208E-02  3.05338671E-01 -8.71268161E-02
   1.05604224E-02  3.05405430E-01 -8.72726855E-02
   1.06004240E-02  3.05466742E-01 -8.74175655E-02
   1.06404256E-02  3.05522627E-01 -8.75614588E-02
   1.06804272E-02  3.05573105E-01 -8.77043683E-02
   1.07204288E-02  3.05618198E-01 -8.78462967E-02
   1.07604304E-02  3.05657925E-01 -8.79872466E-02
   1.08004320E-02  3.05692309E-01 -8.81272208E-02
   1.08404336E-02  3.05721369E-01 -8.82662220E-02
   1.08804352E-02  3.05745126E-01 -8.84042529E-02
   1.09204368E-02  3.05763600E-01 -8.85413162E-02
   1.09604384E-02  3.05776812E-01 -8.86774146E-02
   1.10004400E-02  3.05784781E-01 -8.88125506E-02
   1.10404416E-02  3.05787529E-01 -8.89467270E-02
   1.10804432E-02  3.05785075E-01 -8.90799465E-02
   1.11204448E-02  3.05777440E-01 -8.92122116E-02
   1.11604464E-02  3.05764643E-01 -8.93435251E-02
   1.12004480E-02  3.05746704E-01 -8.94738894E-02
   1.12404496E-02  3.05723644E-01 -8.96033073E-02
   1.12804512E-02  3.05695482E-01 -8.97317814E-02
   1.13204528E-02  3.05662238E-01 -8.98593142E-02
   1.13604544E-02  3.05623932E-01 -8.99859083E-02
   1.14004560E-02  3.05580583E-01 -9.01115663E-02
   1.14404576E-02  3.05532211E-01 -9.02362909E-02
   1.14804592E-02  3.05478835E-01 -9.03600845E-02
   1.15204608E-02  3.05420475E-01 -9.04829496E-02
   1.15604624E-02  3.05357151E-01 -9.06048890E-02
   1.16004640E-02  3.05288882E-01 -9.07259050E-02
   1.16404656E-02  3.05215686E-01 -9.08460003E-02
   1.16804672E-02  3.05137584E-01 -9.09651773E-02
   1.17204688E-02  3.05054594E-01 -9.10834385E-02
