 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 8.325954E+01, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-2.562404734040227E+00  (ETA=-4.354080E+00)
 #      Matching radius: RAD(  299)= 1.192047681907280E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  4.82487737E-03 -1.03174791E-03
   8.00032001E-05  9.06107059E-03 -1.93930485E-03
   1.20004800E-04  1.30870400E-02 -2.80341808E-03
   1.60006400E-04  1.69752427E-02 -3.63951007E-03
   2.00008000E-04  2.07590785E-02 -4.45467593E-03
   2.40009600E-04  2.44578531E-02 -5.25300862E-03
   2.80011200E-04  2.80841562E-02 -6.03717164E-03
   3.20012801E-04  3.16468495E-02 -6.80903578E-03
   3.60014401E-04  3.51525115E-02 -7.56998665E-03
   4.00016001E-04  3.86062209E-02 -8.32109151E-03
   4.40017601E-04  4.20120192E-02 -9.06319756E-03
   4.80019201E-04  4.53732005E-02 -9.79699366E-03
   5.20020801E-04  4.86925029E-02 -1.05230509E-02
   5.60022401E-04  5.19722398E-02 -1.12418505E-02
   6.00024001E-04  5.52143929E-02 -1.19538035E-02
   6.40025601E-04  5.84206794E-02 -1.26592652E-02
   6.80027201E-04  6.15926033E-02 -1.33585459E-02
   7.20028801E-04  6.47314931E-02 -1.40519187E-02
   7.60030401E-04  6.78385318E-02 -1.47396263E-02
   8.00032001E-04  7.09147801E-02 -1.54218854E-02
   8.40033601E-04  7.39611954E-02 -1.60988913E-02
   8.80035201E-04  7.69786463E-02 -1.67708204E-02
   9.20036801E-04  7.99679251E-02 -1.74378330E-02
   9.60038402E-04  8.29297579E-02 -1.81000758E-02
   1.00004000E-03  8.58648129E-02 -1.87576832E-02
   1.04004160E-03  8.87737074E-02 -1.94107789E-02
   1.08004320E-03  9.16570139E-02 -2.00594774E-02
   1.12004480E-03  9.45152648E-02 -2.07038846E-02
   1.16004640E-03  9.73489572E-02 -2.13440992E-02
   1.20004800E-03  1.00158556E-01 -2.19802132E-02
   1.24004960E-03  1.02944498E-01 -2.26123125E-02
   1.28005120E-03  1.05707193E-01 -2.32404777E-02
   1.32005280E-03  1.08447029E-01 -2.38647846E-02
   1.36005440E-03  1.11164371E-01 -2.44853044E-02
   1.40005600E-03  1.13859565E-01 -2.51021045E-02
   1.44005760E-03  1.16532941E-01 -2.57152484E-02
   1.48005920E-03  1.19184810E-01 -2.63247963E-02
   1.52006080E-03  1.21815470E-01 -2.69308054E-02
   1.56006240E-03  1.24425204E-01 -2.75333298E-02
   1.60006400E-03  1.27014284E-01 -2.81324213E-02
   1.64006560E-03  1.29582968E-01 -2.87281291E-02
   1.68006720E-03  1.32131505E-01 -2.93205001E-02
   1.72006880E-03  1.34660132E-01 -2.99095792E-02
   1.76007040E-03  1.37169078E-01 -3.04954093E-02
   1.80007200E-03  1.39658563E-01 -3.10780316E-02
   1.84007360E-03  1.42128798E-01 -3.16574856E-02
   1.88007520E-03  1.44579988E-01 -3.22338089E-02
   1.92007680E-03  1.47012329E-01 -3.28070382E-02
   1.96007840E-03  1.49426011E-01 -3.33772083E-02
   2.00008000E-03  1.51821217E-01 -3.39443530E-02
   2.04008160E-03  1.54198126E-01 -3.45085047E-02
   2.08008320E-03  1.56556908E-01 -3.50696949E-02
   2.12008480E-03  1.58897731E-01 -3.56279537E-02
   2.16008640E-03  1.61220757E-01 -3.61833104E-02
   2.20008800E-03  1.63526141E-01 -3.67357934E-02
   2.24008960E-03  1.65814038E-01 -3.72854299E-02
   2.28009120E-03  1.68084594E-01 -3.78322464E-02
   2.32009280E-03  1.70337954E-01 -3.83762687E-02
   2.36009440E-03  1.72574258E-01 -3.89175217E-02
   2.40009600E-03  1.74793642E-01 -3.94560295E-02
   2.44009760E-03  1.76996241E-01 -3.99918157E-02
   2.48009920E-03  1.79182184E-01 -4.05249030E-02
   2.52010080E-03  1.81351597E-01 -4.10553136E-02
   2.56010240E-03  1.83504604E-01 -4.15830691E-02
   2.60010400E-03  1.85641326E-01 -4.21081905E-02
   2.64010560E-03  1.87761882E-01 -4.26306982E-02
   2.68010720E-03  1.89866386E-01 -4.31506123E-02
   2.72010880E-03  1.91954952E-01 -4.36679521E-02
   2.76011040E-03  1.94027690E-01 -4.41827365E-02
   2.80011200E-03  1.96084708E-01 -4.46949841E-02
   2.84011360E-03  1.98126114E-01 -4.52047130E-02
   2.88011520E-03  2.00152009E-01 -4.57119407E-02
   2.92011680E-03  2.02162498E-01 -4.62166845E-02
   2.96011840E-03  2.04157679E-01 -4.67189612E-02
   3.00012000E-03  2.06137651E-01 -4.72187874E-02
   3.04012160E-03  2.08102509E-01 -4.77161791E-02
   3.08012320E-03  2.10052350E-01 -4.82111521E-02
   3.12012480E-03  2.11987264E-01 -4.87037218E-02
   3.16012641E-03  2.13907345E-01 -4.91939034E-02
   3.20012801E-03  2.15812680E-01 -4.96817118E-02
   3.24012961E-03  2.17703360E-01 -5.01671613E-02
   3.28013121E-03  2.19579470E-01 -5.06502664E-02
   3.32013281E-03  2.21441096E-01 -5.11310409E-02
   3.36013441E-03  2.23288322E-01 -5.16094985E-02
   3.40013601E-03  2.25121230E-01 -5.20856528E-02
   3.44013761E-03  2.26939903E-01 -5.25595169E-02
   3.48013921E-03  2.28744420E-01 -5.30311037E-02
   3.52014081E-03  2.30534860E-01 -5.35004261E-02
   3.56014241E-03  2.32311302E-01 -5.39674966E-02
   3.60014401E-03  2.34073822E-01 -5.44323273E-02
   3.64014561E-03  2.35822496E-01 -5.48949306E-02
   3.68014721E-03  2.37557398E-01 -5.53553181E-02
   3.72014881E-03  2.39278603E-01 -5.58135018E-02
