 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 1.456383E+02, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift=-6.975736996017262E-16
 #      Coulomb phase shift=-1.151413504047588E+00  (ETA=-3.300274E+00)
 #      Matching radius: RAD(  146)= 5.800232009280400E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  5.55759546E-03 -1.18846926E-03
   8.00032001E-05  1.04370371E-02 -2.23393852E-03
   1.20004800E-04  1.50742658E-02 -3.22941426E-03
   1.60006400E-04  1.95527443E-02 -4.19265902E-03
   2.00008000E-04  2.39109458E-02 -5.13184395E-03
   2.40009600E-04  2.81711084E-02 -6.05168236E-03
   2.80011200E-04  3.23477342E-02 -6.95524120E-03
   3.20012801E-04  3.64510309E-02 -7.84467446E-03
   3.60014401E-04  4.04885761E-02 -8.72157736E-03
   4.00016001E-04  4.44662199E-02 -9.58717847E-03
   4.40017601E-04  4.83886175E-02 -1.04424530E-02
   4.80019201E-04  5.22595631E-02 -1.12881937E-02
   5.20020801E-04  5.60822108E-02 -1.21250577E-02
   5.60022401E-04  5.98592251E-02 -1.29535989E-02
   6.00024001E-04  6.35928882E-02 -1.37742901E-02
   6.40025601E-04  6.72851785E-02 -1.45875401E-02
   6.80027201E-04  7.09378277E-02 -1.53937055E-02
   7.20028801E-04  7.45523661E-02 -1.61931008E-02
   7.60030401E-04  7.81301561E-02 -1.69860047E-02
   8.00032001E-04  8.16724194E-02 -1.77726667E-02
   8.40033601E-04  8.51802584E-02 -1.85533109E-02
   8.80035201E-04  8.86546734E-02 -1.93281402E-02
   9.20036801E-04  9.20965769E-02 -2.00973389E-02
   9.60038402E-04  9.55068050E-02 -2.08610755E-02
   1.00004000E-03  9.88861270E-02 -2.16195043E-02
   1.04004160E-03  1.02235254E-01 -2.23727676E-02
   1.08004320E-03  1.05554845E-01 -2.31209965E-02
   1.12004480E-03  1.08845513E-01 -2.38643130E-02
   1.16004640E-03  1.12107830E-01 -2.46028301E-02
   1.20004800E-03  1.15342332E-01 -2.53366535E-02
   1.24004960E-03  1.18549522E-01 -2.60658817E-02
   1.28005120E-03  1.21729871E-01 -2.67906073E-02
   1.32005280E-03  1.24883825E-01 -2.75109172E-02
   1.36005440E-03  1.28011806E-01 -2.82268930E-02
   1.40005600E-03  1.31114213E-01 -2.89386120E-02
   1.44005760E-03  1.34191422E-01 -2.96461470E-02
   1.48005920E-03  1.37243795E-01 -3.03495669E-02
   1.52006080E-03  1.40271672E-01 -3.10489374E-02
   1.56006240E-03  1.43275382E-01 -3.17443204E-02
   1.60006400E-03  1.46255234E-01 -3.24357753E-02
   1.64006560E-03  1.49211529E-01 -3.31233582E-02
   1.68006720E-03  1.52144550E-01 -3.38071231E-02
   1.72006880E-03  1.55054572E-01 -3.44871212E-02
   1.76007040E-03  1.57941859E-01 -3.51634018E-02
   1.80007200E-03  1.60806663E-01 -3.58360117E-02
   1.84007360E-03  1.63649227E-01 -3.65049963E-02
   1.88007520E-03  1.66469786E-01 -3.71703987E-02
   1.92007680E-03  1.69268567E-01 -3.78322606E-02
   1.96007840E-03  1.72045788E-01 -3.84906220E-02
   2.00008000E-03  1.74801660E-01 -3.91455215E-02
   2.04008160E-03  1.77536388E-01 -3.97969960E-02
   2.08008320E-03  1.80250169E-01 -4.04450815E-02
   2.12008480E-03  1.82943196E-01 -4.10898126E-02
   2.16008640E-03  1.85615653E-01 -4.17312225E-02
   2.20008800E-03  1.88267723E-01 -4.23693436E-02
   2.24008960E-03  1.90899579E-01 -4.30042072E-02
   2.28009120E-03  1.93511393E-01 -4.36358434E-02
   2.32009280E-03  1.96103330E-01 -4.42642816E-02
   2.36009440E-03  1.98675552E-01 -4.48895501E-02
   2.40009600E-03  2.01228216E-01 -4.55116766E-02
   2.44009760E-03  2.03761475E-01 -4.61306879E-02
   2.48009920E-03  2.06275478E-01 -4.67466099E-02
   2.52010080E-03  2.08770371E-01 -4.73594679E-02
   2.56010240E-03  2.11246297E-01 -4.79692865E-02
   2.60010400E-03  2.13703395E-01 -4.85760896E-02
   2.64010560E-03  2.16141800E-01 -4.91799005E-02
   2.68010720E-03  2.18561645E-01 -4.97807419E-02
   2.72010880E-03  2.20963060E-01 -5.03786360E-02
   2.76011040E-03  2.23346173E-01 -5.09736042E-02
   2.80011200E-03  2.25711109E-01 -5.15656677E-02
   2.84011360E-03  2.28057988E-01 -5.21548470E-02
   2.88011520E-03  2.30386931E-01 -5.27411622E-02
   2.92011680E-03  2.32698055E-01 -5.33246327E-02
   2.96011840E-03  2.34991475E-01 -5.39052779E-02
   3.00012000E-03  2.37267304E-01 -5.44831164E-02
   3.04012160E-03  2.39525652E-01 -5.50581665E-02
   3.08012320E-03  2.41766630E-01 -5.56304462E-02
   3.12012480E-03  2.43990342E-01 -5.61999730E-02
   3.16012641E-03  2.46196895E-01 -5.67667640E-02
   3.20012801E-03  2.48386391E-01 -5.73308362E-02
