 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 1.926178E+02, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift=-6.975736996017262E-16
 #      Coulomb phase shift=-6.723498535151795E-01  (ETA=-2.875053E+00)
 #      Matching radius: RAD(  155)= 6.160246409856400E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  5.96705983E-03 -1.27606188E-03
   8.00032001E-05  1.12059447E-02 -2.39862920E-03
   1.20004800E-04  1.61847195E-02 -3.46755817E-03
   1.60006400E-04  2.09929979E-02 -4.50191842E-03
   2.00008000E-04  2.56720886E-02 -5.51048191E-03
   2.40009600E-04  3.02458687E-02 -6.49830824E-03
   2.80011200E-04  3.47299089E-02 -7.46868949E-03
   3.20012801E-04  3.91351695E-02 -8.42393761E-03
   3.60014401E-04  4.34697863E-02 -9.36576470E-03
   4.00016001E-04  4.77400406E-02 -1.02954892E-02
   4.40017601E-04  5.19509303E-02 -1.12141577E-02
   4.80019201E-04  5.61065295E-02 -1.21226207E-02
   5.20020801E-04  6.02102243E-02 -1.30215834E-02
   5.60022401E-04  6.42648754E-02 -1.39116398E-02
   6.00024001E-04  6.82729334E-02 -1.47932972E-02
   6.40025601E-04  7.22365218E-02 -1.56669941E-02
   6.80027201E-04  7.61575002E-02 -1.65331131E-02
   7.20028801E-04  8.00375112E-02 -1.73919911E-02
   7.60030401E-04  8.38780176E-02 -1.82439272E-02
   8.00032001E-04  8.76803309E-02 -1.90891889E-02
   8.40033601E-04  9.14456344E-02 -1.99280163E-02
   8.80035201E-04  9.51750022E-02 -2.07606270E-02
   9.20036801E-04  9.88694135E-02 -2.15872185E-02
   9.60038402E-04  1.02529766E-01 -2.24079713E-02
   1.00004000E-03  1.06156886E-01 -2.32230508E-02
   1.04004160E-03  1.09751535E-01 -2.40326093E-02
   1.08004320E-03  1.13314423E-01 -2.48367875E-02
   1.12004480E-03  1.16846206E-01 -2.56357158E-02
   1.16004640E-03  1.20347499E-01 -2.64295154E-02
   1.20004800E-03  1.23818877E-01 -2.72182993E-02
   1.24004960E-03  1.27260878E-01 -2.80021732E-02
   1.28005120E-03  1.30674011E-01 -2.87812361E-02
   1.32005280E-03  1.34058752E-01 -2.95555808E-02
   1.36005440E-03  1.37415555E-01 -3.03252949E-02
   1.40005600E-03  1.40744848E-01 -3.10904609E-02
   1.44005760E-03  1.44047035E-01 -3.18511568E-02
   1.48005920E-03  1.47322503E-01 -3.26074564E-02
   1.52006080E-03  1.50571619E-01 -3.33594296E-02
   1.56006240E-03  1.53794733E-01 -3.41071430E-02
   1.60006400E-03  1.56992181E-01 -3.48506598E-02
   1.64006560E-03  1.60164281E-01 -3.55900402E-02
   1.68006720E-03  1.63311340E-01 -3.63253417E-02
   1.72006880E-03  1.66433653E-01 -3.70566192E-02
   1.76007040E-03  1.69531501E-01 -3.77839251E-02
   1.80007200E-03  1.72605156E-01 -3.85073097E-02
   1.84007360E-03  1.75654879E-01 -3.92268213E-02
   1.88007520E-03  1.78680923E-01 -3.99425060E-02
   1.92007680E-03  1.81683528E-01 -4.06544083E-02
   1.96007840E-03  1.84662931E-01 -4.13625708E-02
   2.00008000E-03  1.87619358E-01 -4.20670348E-02
   2.04008160E-03  1.90553028E-01 -4.27678398E-02
   2.08008320E-03  1.93464153E-01 -4.34650240E-02
   2.12008480E-03  1.96352938E-01 -4.41586243E-02
   2.16008640E-03  1.99219585E-01 -4.48486763E-02
   2.20008800E-03  2.02064285E-01 -4.55352144E-02
   2.24008960E-03  2.04887228E-01 -4.62182720E-02
   2.28009120E-03  2.07688596E-01 -4.68978812E-02
   2.32009280E-03  2.10468566E-01 -4.75740733E-02
   2.36009440E-03  2.13227313E-01 -4.82468786E-02
   2.40009600E-03  2.15965004E-01 -4.89163265E-02
   2.44009760E-03  2.18681805E-01 -4.95824454E-02
   2.48009920E-03  2.21377874E-01 -5.02452631E-02
   2.52010080E-03  2.24053369E-01 -5.09048066E-02
   2.56010240E-03  2.26708442E-01 -5.15611018E-02
   2.60010400E-03  2.29343243E-01 -5.22141744E-02
   2.64010560E-03  2.31957917E-01 -5.28640492E-02
   2.68010720E-03  2.34552606E-01 -5.35107502E-02
   2.72010880E-03  2.37127451E-01 -5.41543011E-02
   2.76011040E-03  2.39682587E-01 -5.47947247E-02
   2.80011200E-03  2.42218148E-01 -5.54320435E-02
   2.84011360E-03  2.44734266E-01 -5.60662792E-02
   2.88011520E-03  2.47231067E-01 -5.66974533E-02
   2.92011680E-03  2.49708679E-01 -5.73255865E-02
   2.96011840E-03  2.52167224E-01 -5.79506993E-02
   3.00012000E-03  2.54606824E-01 -5.85728115E-02
   3.04012160E-03  2.57027597E-01 -5.91919425E-02
   3.08012320E-03  2.59429660E-01 -5.98081115E-02
   3.12012480E-03  2.61813128E-01 -6.04213370E-02
   3.16012641E-03  2.64178114E-01 -6.10316374E-02
   3.20012801E-03  2.66524727E-01 -6.16390304E-02
   3.24012961E-03  2.68853077E-01 -6.22435336E-02
   3.28013121E-03  2.71163271E-01 -6.28451642E-02
   3.32013281E-03  2.73455415E-01 -6.34439390E-02
   3.36013441E-03  2.75729612E-01 -6.40398745E-02
   3.40013601E-03  2.77985964E-01 -6.46329868E-02
   3.44013761E-03  2.80224571E-01 -6.52232920E-02
   3.48013921E-03  2.82445534E-01 -6.58108055E-02
   3.52014081E-03  2.84648948E-01 -6.63955428E-02
   3.56014241E-03  2.86834911E-01 -6.69775188E-02
   3.60014401E-03  2.89003517E-01 -6.75567483E-02
   3.64014561E-03  2.91154860E-01 -6.81332459E-02
   3.68014721E-03  2.93289032E-01 -6.87070259E-02
   3.72014881E-03  2.95406124E-01 -6.92781023E-02
   3.76015041E-03  2.97506225E-01 -6.98464889E-02
   3.80015201E-03  2.99589424E-01 -7.04121993E-02
   3.84015361E-03  3.01655809E-01 -7.09752469E-02
   3.88015521E-03  3.03705466E-01 -7.15356449E-02
   3.92015681E-03  3.05738479E-01 -7.20934062E-02
   3.96015841E-03  3.07754935E-01 -7.26485436E-02
   4.00016001E-03  3.09754914E-01 -7.32010696E-02
   4.04016161E-03  3.11738500E-01 -7.37509967E-02
   4.08016321E-03  3.13705774E-01 -7.42983371E-02
   4.12016481E-03  3.15656817E-01 -7.48431027E-02
   4.16016641E-03  3.17591706E-01 -7.53853055E-02
   4.20016801E-03  3.19510522E-01 -7.59249571E-02
   4.24016961E-03  3.21413342E-01 -7.64620691E-02
   4.28017121E-03  3.23300242E-01 -7.69966528E-02
   4.32017281E-03  3.25171299E-01 -7.75287194E-02
   4.36017441E-03  3.27026587E-01 -7.80582802E-02
   4.40017601E-03  3.28866182E-01 -7.85853458E-02
   4.44017761E-03  3.30690156E-01 -7.91099272E-02
   4.48017921E-03  3.32498582E-01 -7.96320351E-02
   4.52018081E-03  3.34291534E-01 -8.01516798E-02
   4.56018241E-03  3.36069081E-01 -8.06688718E-02
   4.60018401E-03  3.37831296E-01 -8.11836214E-02
   4.64018561E-03  3.39578247E-01 -8.16959387E-02
   4.68018721E-03  3.41310005E-01 -8.22058336E-02
   4.72018881E-03  3.43026639E-01 -8.27133162E-02
   4.76019041E-03  3.44728215E-01 -8.32183961E-02
   4.80019201E-03  3.46414803E-01 -8.37210831E-02
   4.84019361E-03  3.48086468E-01 -8.42213867E-02
   4.88019521E-03  3.49743278E-01 -8.47193163E-02
   4.92019681E-03  3.51385298E-01 -8.52148813E-02
   4.96019841E-03  3.53012592E-01 -8.57080910E-02
   5.00020001E-03  3.54625227E-01 -8.61989544E-02
   5.04020161E-03  3.56223265E-01 -8.66874807E-02
   5.08020321E-03  3.57806771E-01 -8.71736787E-02
   5.12020481E-03  3.59375807E-01 -8.76575574E-02
   5.16020641E-03  3.60930436E-01 -8.81391255E-02
   5.20020801E-03  3.62470720E-01 -8.86183917E-02
   5.24020961E-03  3.63996721E-01 -8.90953645E-02
   5.28021121E-03  3.65508500E-01 -8.95700525E-02
   5.32021281E-03  3.67006116E-01 -9.00424641E-02
   5.36021441E-03  3.68489631E-01 -9.05126076E-02
   5.40021601E-03  3.69959104E-01 -9.09804913E-02
   5.44021761E-03  3.71414594E-01 -9.14461234E-02
   5.48021921E-03  3.72856161E-01 -9.19095119E-02
   5.52022081E-03  3.74283861E-01 -9.23706650E-02
   5.56022241E-03  3.75697754E-01 -9.28295905E-02
   5.60022401E-03  3.77097897E-01 -9.32862964E-02
   5.64022561E-03  3.78484346E-01 -9.37407904E-02
   5.68022721E-03  3.79857160E-01 -9.41930803E-02
   5.72022881E-03  3.81216393E-01 -9.46431738E-02
   5.76023041E-03  3.82562102E-01 -9.50910784E-02
   5.80023201E-03  3.83894343E-01 -9.55368018E-02
   5.84023361E-03  3.85213170E-01 -9.59803513E-02
   5.88023521E-03  3.86518639E-01 -9.64217345E-02
   5.92023681E-03  3.87810804E-01 -9.68609587E-02
   5.96023841E-03  3.89089719E-01 -9.72980311E-02
   6.00024001E-03  3.90355438E-01 -9.77329590E-02
   6.04024161E-03  3.91608014E-01 -9.81657495E-02
   6.08024321E-03  3.92847501E-01 -9.85964099E-02
   6.12024481E-03  3.94073950E-01 -9.90249471E-02
   6.16024641E-03  3.95287415E-01 -9.94513681E-02
   6.20024801E-03  3.96487948E-01 -9.98756800E-02
   6.24024961E-03  3.97675600E-01 -1.00297890E-01
   6.28025121E-03  3.98850423E-01 -1.00718004E-01
   6.32025281E-03  4.00012468E-01 -1.01136029E-01
   6.36025441E-03  4.01161785E-01 -1.01551973E-01
   6.40025601E-03  4.02298427E-01 -1.01965841E-01
   6.44025761E-03  4.03422442E-01 -1.02377641E-01
   6.48025921E-03  4.04533880E-01 -1.02787378E-01
   6.52026081E-03  4.05632792E-01 -1.03195061E-01
   6.56026241E-03  4.06719227E-01 -1.03600694E-01
   6.60026401E-03  4.07793234E-01 -1.04004285E-01
   6.64026561E-03  4.08854862E-01 -1.04405840E-01
   6.68026721E-03  4.09904159E-01 -1.04805366E-01
   6.72026881E-03  4.10941174E-01 -1.05202867E-01
   6.76027041E-03  4.11965955E-01 -1.05598352E-01
   6.80027201E-03  4.12978550E-01 -1.05991826E-01
   6.84027361E-03  4.13979005E-01 -1.06383296E-01
   6.88027521E-03  4.14967370E-01 -1.06772767E-01
   6.92027681E-03  4.15943689E-01 -1.07160245E-01
   6.96027841E-03  4.16908012E-01 -1.07545738E-01
   7.00028001E-03  4.17860383E-01 -1.07929250E-01
   7.04028161E-03  4.18800849E-01 -1.08310788E-01
   7.08028321E-03  4.19729457E-01 -1.08690357E-01
   7.12028481E-03  4.20646252E-01 -1.09067965E-01
   7.16028641E-03  4.21551280E-01 -1.09443616E-01
   7.20028801E-03  4.22444587E-01 -1.09817316E-01
   7.24028961E-03  4.23326217E-01 -1.10189071E-01
   7.28029121E-03  4.24196215E-01 -1.10558888E-01
   7.32029281E-03  4.25054627E-01 -1.10926771E-01
   7.36029441E-03  4.25901496E-01 -1.11292727E-01
   7.40029601E-03  4.26736868E-01 -1.11656761E-01
   7.44029761E-03  4.27560786E-01 -1.12018879E-01
   7.48029921E-03  4.28373293E-01 -1.12379086E-01
   7.52030081E-03  4.29174435E-01 -1.12737388E-01
   7.56030241E-03  4.29964254E-01 -1.13093791E-01
   7.60030401E-03  4.30742794E-01 -1.13448300E-01
   7.64030561E-03  4.31510097E-01 -1.13800920E-01
   7.68030721E-03  4.32266207E-01 -1.14151658E-01
   7.72030881E-03  4.33011166E-01 -1.14500518E-01
   7.76031041E-03  4.33745017E-01 -1.14847506E-01
   7.80031201E-03  4.34467802E-01 -1.15192627E-01
   7.84031361E-03  4.35179564E-01 -1.15535886E-01
   7.88031521E-03  4.35880343E-01 -1.15877290E-01
   7.92031681E-03  4.36570183E-01 -1.16216843E-01
   7.96031841E-03  4.37249124E-01 -1.16554550E-01
   8.00032001E-03  4.37917208E-01 -1.16890417E-01
   8.04032161E-03  4.38574477E-01 -1.17224449E-01
   8.08032321E-03  4.39220971E-01 -1.17556651E-01
   8.12032481E-03  4.39856731E-01 -1.17887028E-01
   8.16032641E-03  4.40481797E-01 -1.18215585E-01
   8.20032801E-03  4.41096212E-01 -1.18542328E-01
   8.24032961E-03  4.41700013E-01 -1.18867262E-01
   8.28033121E-03  4.42293243E-01 -1.19190391E-01
   8.32033281E-03  4.42875941E-01 -1.19511720E-01
   8.36033441E-03  4.43448147E-01 -1.19831255E-01
   8.40033601E-03  4.44009900E-01 -1.20149001E-01
   8.44033761E-03  4.44561241E-01 -1.20464963E-01
   8.48033921E-03  4.45102208E-01 -1.20779144E-01
   8.52034081E-03  4.45632841E-01 -1.21091551E-01
   8.56034241E-03  4.46153178E-01 -1.21402189E-01
   8.60034401E-03  4.46663259E-01 -1.21711061E-01
   8.64034561E-03  4.47163123E-01 -1.22018174E-01
   8.68034721E-03  4.47652808E-01 -1.22323531E-01
   8.72034881E-03  4.48132353E-01 -1.22627138E-01
   8.76035041E-03  4.48601795E-01 -1.22928999E-01
   8.80035201E-03  4.49061174E-01 -1.23229119E-01
   8.84035361E-03  4.49510527E-01 -1.23527503E-01
   8.88035521E-03  4.49949891E-01 -1.23824156E-01
   8.92035681E-03  4.50379306E-01 -1.24119082E-01
   8.96035841E-03  4.50798807E-01 -1.24412285E-01
   9.00036001E-03  4.51208434E-01 -1.24703772E-01
   9.04036161E-03  4.51608222E-01 -1.24993545E-01
   9.08036321E-03  4.51998210E-01 -1.25281610E-01
   9.12036481E-03  4.52378434E-01 -1.25567972E-01
   9.16036641E-03  4.52748931E-01 -1.25852634E-01
   9.20036801E-03  4.53109739E-01 -1.26135602E-01
