 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 2.547518E+02, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-3.074611872627431E-01  (ETA=-2.506100E+00)
 #      Matching radius: RAD(  139)= 5.520220808832400E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  6.40912746E-03 -1.37064157E-03
   8.00032001E-05  1.20360522E-02 -2.57647549E-03
   1.20004800E-04  1.73835232E-02 -3.72475201E-03
   1.60006400E-04  2.25477957E-02 -4.83595123E-03
   2.00008000E-04  2.75732397E-02 -5.91949329E-03
   2.40009600E-04  3.24855022E-02 -6.98081122E-03
   2.80011200E-04  3.73013081E-02 -8.02343983E-03
   3.20012801E-04  4.20324297E-02 -9.04986129E-03
   3.60014401E-04  4.66876058E-02 -1.00619136E-02
   4.00016001E-04  5.12735830E-02 -1.10610120E-02
   4.40017601E-04  5.57957298E-02 -1.20482798E-02
   4.80019201E-04  6.02584216E-02 -1.30246298E-02
   5.20020801E-04  6.46652956E-02 -1.39908187E-02
   5.60022401E-04  6.90194243E-02 -1.49474838E-02
   6.00024001E-04  7.33234394E-02 -1.58951695E-02
   6.40025601E-04  7.75796219E-02 -1.68343459E-02
   6.80027201E-04  8.17899686E-02 -1.77654234E-02
   7.20028801E-04  8.59562439E-02 -1.86887634E-02
   7.60030401E-04  9.00800185E-02 -1.96046867E-02
   8.00032001E-04  9.41627010E-02 -2.05134796E-02
   8.40033601E-04  9.82055620E-02 -2.14154000E-02
   8.80035201E-04  1.02209755E-01 -2.23106807E-02
   9.20036801E-04  1.06176331E-01 -2.31995335E-02
   9.60038402E-04  1.10106255E-01 -2.40821518E-02
   1.00004000E-03  1.14000413E-01 -2.49587127E-02
   1.04004160E-03  1.17859624E-01 -2.58293793E-02
   1.08004320E-03  1.21684649E-01 -2.66943023E-02
   1.12004480E-03  1.25476193E-01 -2.75536213E-02
   1.16004640E-03  1.29234916E-01 -2.84074660E-02
   1.20004800E-03  1.32961436E-01 -2.92559574E-02
   1.24004960E-03  1.36656330E-01 -3.00992084E-02
   1.28005120E-03  1.40320144E-01 -3.09373250E-02
   1.32005280E-03  1.43953390E-01 -3.17704066E-02
   1.36005440E-03  1.47556555E-01 -3.25985467E-02
   1.40005600E-03  1.51130097E-01 -3.34218336E-02
   1.44005760E-03  1.54674452E-01 -3.42403505E-02
   1.48005920E-03  1.58190034E-01 -3.50541765E-02
