 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 3.369288E+02, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift=-3.488482069093957E-02  (ETA=-2.186188E+00)
 #      Matching radius: RAD(  139)= 5.520220808832400E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  6.88738124E-03 -1.47298108E-03
   8.00032001E-05  1.29340759E-02 -2.76893956E-03
   1.20004800E-04  1.86803593E-02 -4.00312346E-03
   1.60006400E-04  2.42296727E-02 -5.19753784E-03
   2.00008000E-04  2.96296990E-02 -6.36230334E-03
   2.40009600E-04  3.49080000E-02 -7.50325646E-03
   2.80011200E-04  4.00825493E-02 -8.62419407E-03
   3.20012801E-04  4.51659981E-02 -9.72778210E-03
   3.60014401E-04  5.01677375E-02 -1.08159943E-02
   4.00016001E-04  5.50950177E-02 -1.18903504E-02
   4.40017601E-04  5.99536076E-02 -1.29520563E-02
   4.80019201E-04  6.47482092E-02 -1.40020918E-02
   5.20020801E-04  6.94827308E-02 -1.50412690E-02
   5.60022401E-04  7.41604741E-02 -1.60702720E-02
   6.00024001E-04  7.87842669E-02 -1.70896847E-02
   6.40025601E-04  8.33565601E-02 -1.81000115E-02
   6.80027201E-04  8.78794995E-02 -1.91016925E-02
   7.20028801E-04  9.23549804E-02 -2.00951152E-02
   7.60030401E-04  9.67846906E-02 -2.10806236E-02
   8.00032001E-04  1.01170143E-01 -2.20585246E-02
   8.40033601E-04  1.05512704E-01 -2.30290945E-02
   8.80035201E-04  1.09813611E-01 -2.39925828E-02
   9.20036801E-04  1.14073995E-01 -2.49492164E-02
   9.60038402E-04  1.18294891E-01 -2.58992023E-02
   1.00004000E-03  1.22477251E-01 -2.68427302E-02
   1.04004160E-03  1.26621956E-01 -2.77799748E-02
