 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 4.456142E+02, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift=-6.119635583362943E+00  (ETA=-1.909051E+00)
 #      Matching radius: RAD(  118)= 4.680187207488300E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  7.40616502E-03 -1.58401870E-03
   8.00032001E-05  1.39081558E-02 -2.97779901E-03
   1.20004800E-04  2.00869585E-02 -4.30526225E-03
   1.60006400E-04  2.60538110E-02 -5.59006634E-03
   2.00008000E-04  3.18599903E-02 -6.84309078E-03
   2.40009600E-04  3.75351360E-02 -8.07060889E-03
   2.80011200E-04  4.30985765E-02 -9.27670115E-03
   3.20012801E-04  4.85639163E-02 -1.04642321E-02
   3.60014401E-04  5.39412544E-02 -1.16353224E-02
   4.00016001E-04  5.92383871E-02 -1.27916043E-02
   4.40017601E-04  6.44615179E-02 -1.39343729E-02
   4.80019201E-04  6.96157029E-02 -1.50646805E-02
   5.20020801E-04  7.47051445E-02 -1.61833987E-02
   5.60022401E-04  7.97333927E-02 -1.72912618E-02
   6.00024001E-04  8.47034881E-02 -1.83888963E-02
   6.40025601E-04  8.96180657E-02 -1.94768433E-02
   6.80027201E-04  9.44794326E-02 -2.05555750E-02
   7.20028801E-04  9.92896265E-02 -2.16255068E-02
   7.60030401E-04  1.04050462E-01 -2.26870073E-02
   8.00032001E-04  1.08763565E-01 -2.37404057E-02
   8.40033601E-04  1.13430404E-01 -2.47859977E-02
   8.80035201E-04  1.18052311E-01 -2.58240508E-02
   9.20036801E-04  1.22630499E-01 -2.68548079E-02
   9.60038402E-04  1.27166082E-01 -2.78784904E-02
   1.00004000E-03  1.31660083E-01 -2.88953014E-02
   1.04004160E-03  1.36113448E-01 -2.99054278E-02
   1.08004320E-03  1.40527055E-01 -3.09090419E-02
   1.12004480E-03  1.44901717E-01 -3.19063033E-02
   1.16004640E-03  1.49238198E-01 -3.28973604E-02
   1.20004800E-03  1.53537207E-01 -3.38823514E-02
   1.24004960E-03  1.57799415E-01 -3.48614052E-02
   1.28005120E-03  1.62025447E-01 -3.58346427E-02
   1.32005280E-03  1.66215898E-01 -3.68021772E-02
   1.36005440E-03  1.70371326E-01 -3.77641153E-02
   1.40005600E-03  1.74492261E-01 -3.87205575E-02
   1.44005760E-03  1.78579207E-01 -3.96715987E-02
   1.48005920E-03  1.82632639E-01 -4.06173285E-02
   1.52006080E-03  1.86653013E-01 -4.15578319E-02
   1.56006240E-03  1.90640763E-01 -4.24931895E-02
