 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 5.893589E+02, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift=-6.975736996017263E-16
 #      Coulomb phase shift=-5.980256476430236E+00  (ETA=-1.669254E+00)
 #      Matching radius: RAD(   94)= 3.720148805952200E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  7.97085495E-03 -1.70491762E-03
   8.00032001E-05  1.49683626E-02 -3.20526023E-03
   1.20004800E-04  2.16178287E-02 -4.63438678E-03
   1.60006400E-04  2.80389797E-02 -6.01775237E-03
   2.00008000E-04  3.42870059E-02 -7.36706111E-03
   2.40009600E-04  4.03938091E-02 -8.68906060E-03
   2.80011200E-04  4.63801925E-02 -9.98813900E-03
   3.20012801E-04  5.22607989E-02 -1.12673763E-02
   3.60014401E-04  5.80464977E-02 -1.25290519E-02
   4.00016001E-04  6.37456799E-02 -1.37749203E-02
   4.40017601E-04  6.93650217E-02 -1.50063727E-02
   4.80019201E-04  7.49099647E-02 -1.62245395E-02
   5.20020801E-04  8.03850312E-02 -1.74303569E-02
   5.60022401E-04  8.57940417E-02 -1.86246128E-02
   6.00024001E-04  9.11402681E-02 -1.98079799E-02
   6.40025601E-04  9.64265458E-02 -2.09810386E-02
   6.80027201E-04  1.01655357E-01 -2.21442953E-02
   7.20028801E-04  1.06828894E-01 -2.32981955E-02
   7.60030401E-04  1.11949109E-01 -2.44431342E-02
   8.00032001E-04  1.17017753E-01 -2.55794639E-02
   8.40033601E-04  1.22036403E-01 -2.67075017E-02
   8.80035201E-04  1.27006492E-01 -2.78275336E-02
   9.20036801E-04  1.31929328E-01 -2.89398195E-02
   9.60038402E-04  1.36806105E-01 -3.00445965E-02
   1.00004000E-03  1.41637926E-01 -3.11420817E-02
   1.04004160E-03  1.46425808E-01 -3.22324747E-02
   1.08004320E-03  1.51170693E-01 -3.33159596E-02
   1.12004480E-03  1.55873458E-01 -3.43927069E-02
   1.16004640E-03  1.60534922E-01 -3.54628749E-02
   1.20004800E-03  1.65155849E-01 -3.65266110E-02
   1.24004960E-03  1.69736959E-01 -3.75840528E-02
   1.28005120E-03  1.74278926E-01 -3.86353290E-02
   1.32005280E-03  1.78782387E-01 -3.96805604E-02
   1.36005440E-03  1.83247943E-01 -4.07198604E-02
   1.40005600E-03  1.87676165E-01 -4.17533360E-02
   1.44005760E-03  1.92067590E-01 -4.27810880E-02
   1.48005920E-03  1.96422734E-01 -4.38032118E-02
   1.52006080E-03  2.00742084E-01 -4.48197976E-02
   1.56006240E-03  2.05026106E-01 -4.58309311E-02
   1.60006400E-03  2.09275245E-01 -4.68366937E-02
   1.64006560E-03  2.13489926E-01 -4.78371626E-02
   1.68006720E-03  2.17670556E-01 -4.88324116E-02
   1.72006880E-03  2.21817526E-01 -4.98225109E-02
   1.76007040E-03  2.25931211E-01 -5.08075277E-02
   1.80007200E-03  2.30011970E-01 -5.17875260E-02
   1.84007360E-03  2.34060153E-01 -5.27625675E-02
   1.88007520E-03  2.38076091E-01 -5.37327108E-02
   1.92007680E-03  2.42060108E-01 -5.46980124E-02
   1.96007840E-03  2.46012516E-01 -5.56585266E-02
   2.00008000E-03  2.49933614E-01 -5.66143053E-02
   2.04008160E-03  2.53823693E-01 -5.75653988E-02
   2.08008320E-03  2.57683036E-01 -5.85118552E-02
   2.12008480E-03  2.61511916E-01 -5.94537211E-02
   2.16008640E-03  2.65310596E-01 -6.03910412E-02
   2.20008800E-03  2.69079333E-01 -6.13238588E-02
   2.24008960E-03  2.72818378E-01 -6.22522157E-02
   2.28009120E-03  2.76527973E-01 -6.31761522E-02
   2.32009280E-03  2.80208353E-01 -6.40957076E-02
   2.36009440E-03  2.83859747E-01 -6.50109194E-02
   2.40009600E-03  2.87482381E-01 -6.59218245E-02
   2.44009760E-03  2.91076470E-01 -6.68284582E-02
   2.48009920E-03  2.94642228E-01 -6.77308549E-02
   2.52010080E-03  2.98179863E-01 -6.86290482E-02
   2.56010240E-03  3.01689575E-01 -6.95230703E-02
   2.60010400E-03  3.05171564E-01 -7.04129529E-02
   2.64010560E-03  3.08626021E-01 -7.12987264E-02
   2.68010720E-03  3.12053137E-01 -7.21804208E-02
   2.72010880E-03  3.15453095E-01 -7.30580648E-02
   2.76011040E-03  3.18826076E-01 -7.39316868E-02
   2.80011200E-03  3.22172258E-01 -7.48013142E-02
   2.84011360E-03  3.25491814E-01 -7.56669738E-02
   2.88011520E-03  3.28784914E-01 -7.65286916E-02
   2.92011680E-03  3.32051724E-01 -7.73864930E-02
   2.96011840E-03  3.35292409E-01 -7.82404030E-02
   3.00012000E-03  3.38507128E-01 -7.90904456E-02
   3.04012160E-03  3.41696038E-01 -7.99366446E-02
   3.08012320E-03  3.44859296E-01 -8.07790231E-02
   3.12012480E-03  3.47997051E-01 -8.16176037E-02
   3.16012641E-03  3.51109454E-01 -8.24524083E-02
   3.20012801E-03  3.54196652E-01 -8.32834587E-02
   3.24012961E-03  3.57258788E-01 -8.41107758E-02
   3.28013121E-03  3.60296005E-01 -8.49343805E-02
   3.32013281E-03  3.63308442E-01 -8.57542929E-02
   3.36013441E-03  3.66296237E-01 -8.65705328E-02
   3.40013601E-03  3.69259524E-01 -8.73831197E-02
   3.44013761E-03  3.72198438E-01 -8.81920726E-02
