 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 7.794723E+02, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift=-5.887414837244432E+00  (ETA=-1.462092E+00)
 #      Matching radius: RAD(   85)= 3.360134405376200E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  8.58826991E-03 -1.83715558E-03
   8.00032001E-05  1.61274652E-02 -3.45412972E-03
   1.20004800E-04  2.32913584E-02 -4.99459576E-03
   1.60006400E-04  3.02089596E-02 -6.48597105E-03
   2.00008000E-04  3.69397396E-02 -7.94085923E-03
   2.40009600E-04  4.35180742E-02 -9.36652481E-03
   2.80011200E-04  4.99663800E-02 -1.07676910E-02
   3.20012801E-04  5.63004351E-02 -1.21476719E-02
   3.60014401E-04  6.25319515E-02 -1.35089196E-02
   4.00016001E-04  6.86699701E-02 -1.48533208E-02
   4.40017601E-04  7.47216845E-02 -1.61823713E-02
   4.80019201E-04  8.06929573E-02 -1.74972857E-02
   5.20020801E-04  8.65886607E-02 -1.87990698E-02
   5.60022401E-04  9.24129105E-02 -2.00885697E-02
   6.00024001E-04  9.81692313E-02 -2.13665074E-02
   6.40025601E-04  1.03860677E-01 -2.26335057E-02
   6.80027201E-04  1.09489922E-01 -2.38901076E-02
   7.20028801E-04  1.15059327E-01 -2.51367908E-02
   7.60030401E-04  1.20570995E-01 -2.63739783E-02
   8.00032001E-04  1.26026810E-01 -2.76020479E-02
   8.40033601E-04  1.31428471E-01 -2.88213386E-02
   8.80035201E-04  1.36777522E-01 -3.00321568E-02
   9.20036801E-04  1.42075369E-01 -3.12347801E-02
   9.60038402E-04  1.47323300E-01 -3.24294620E-02
   1.00004000E-03  1.52522501E-01 -3.36164343E-02
   1.04004160E-03  1.57674065E-01 -3.47959099E-02
   1.08004320E-03  1.62779008E-01 -3.59680854E-02
   1.12004480E-03  1.67838274E-01 -3.71331425E-02
