 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 1.030912E+03, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-5.830727374597886E+00  (ETA=-1.283490E+00)
 #      Matching radius: RAD(   56)= 2.200088003520100E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  9.26730511E-03 -1.98266315E-03
   8.00032001E-05  1.74021150E-02 -3.72807827E-03
   1.20004800E-04  2.51315190E-02 -5.39125616E-03
   1.60006400E-04  3.25947413E-02 -7.00176834E-03
   2.00008000E-04  3.98559622E-02 -8.57320484E-03
   2.40009600E-04  4.69522799E-02 -1.01133963E-02
   2.80011200E-04  5.39078860E-02 -1.16274324E-02
   3.20012801E-04  6.07398078E-02 -1.31188829E-02
   3.60014401E-04  6.74606840E-02 -1.45903882E-02
   4.00016001E-04  7.40802706E-02 -1.60439789E-02
   4.40017601E-04  8.06063299E-02 -1.74812643E-02
   4.80019201E-04  8.70451874E-02 -1.89035503E-02
   5.20020801E-04  9.34021000E-02 -2.03119181E-02
   5.60022401E-04  9.96815079E-02 -2.17072765E-02
   6.00024001E-04  1.05887213E-01 -2.30904006E-02
   6.40025601E-04  1.12022511E-01 -2.44619587E-02
   6.80027201E-04  1.18090284E-01 -2.58225331E-02
   7.20028801E-04  1.24093080E-01 -2.71726356E-02
   7.60030401E-04  1.30033166E-01 -2.85127195E-02
   8.00032001E-04  1.35912573E-01 -2.98431888E-02
   8.40033601E-04  1.41733134E-01 -3.11644063E-02
   8.80035201E-04  1.47496513E-01 -3.24766992E-02
   9.20036801E-04  1.53204226E-01 -3.37803642E-02
   9.60038402E-04  1.58857660E-01 -3.50756716E-02
   1.00004000E-03  1.64458093E-01 -3.63628685E-02
   1.04004160E-03  1.70006704E-01 -3.76421820E-02
   1.08004320E-03  1.75504588E-01 -3.89138211E-02
   1.12004480E-03  1.80952761E-01 -4.01779791E-02
   1.16004640E-03  1.86352170E-01 -4.14348352E-02
   1.20004800E-03  1.91703703E-01 -4.26845560E-02
   1.24004960E-03  1.97008192E-01 -4.39272968E-02
   1.28005120E-03  2.02266419E-01 -4.51632025E-02
   1.32005280E-03  2.07479122E-01 -4.63924090E-02
   1.36005440E-03  2.12646996E-01 -4.76150437E-02
   1.40005600E-03  2.17770700E-01 -4.88312265E-02
   1.44005760E-03  2.22850861E-01 -5.00410702E-02
   1.48005920E-03  2.27888071E-01 -5.12446813E-02
   1.52006080E-03  2.32882895E-01 -5.24421605E-02
   1.56006240E-03  2.37835872E-01 -5.36336031E-02
   1.60006400E-03  2.42747517E-01 -5.48190995E-02
   1.64006560E-03  2.47618321E-01 -5.59987354E-02
   1.68006720E-03  2.52448754E-01 -5.71725924E-02
   1.72006880E-03  2.57239269E-01 -5.83407481E-02
   1.76007040E-03  2.61990297E-01 -5.95032766E-02
   1.80007200E-03  2.66702257E-01 -6.06602483E-02
   1.84007360E-03  2.71375548E-01 -6.18117308E-02
   1.88007520E-03  2.76010557E-01 -6.29577885E-02
   1.92007680E-03  2.80607656E-01 -6.40984832E-02
   1.96007840E-03  2.85167203E-01 -6.52338740E-02
   2.00008000E-03  2.89689547E-01 -6.63640177E-02
   2.04008160E-03  2.94175023E-01 -6.74889687E-02
   2.08008320E-03  2.98623956E-01 -6.86087793E-02
   2.12008480E-03  3.03036661E-01 -6.97234998E-02
   2.16008640E-03  3.07413443E-01 -7.08331787E-02
   2.20008800E-03  3.11754598E-01 -7.19378626E-02
   2.24008960E-03  3.16060415E-01 -7.30375963E-02
   2.28009120E-03  3.20331173E-01 -7.41324233E-02
   2.32009280E-03  3.24567143E-01 -7.52223854E-02
   2.36009440E-03  3.28768591E-01 -7.63075228E-02
   2.40009600E-03  3.32935775E-01 -7.73878748E-02
   2.44009760E-03  3.37068945E-01 -7.84634790E-02
   2.48009920E-03  3.41168346E-01 -7.95343720E-02
   2.52010080E-03  3.45234217E-01 -8.06005891E-02
   2.56010240E-03  3.49266792E-01 -8.16621645E-02
   2.60010400E-03  3.53266298E-01 -8.27191315E-02
   2.64010560E-03  3.57232958E-01 -8.37715223E-02
   2.68010720E-03  3.61166989E-01 -8.48193681E-02
   2.72010880E-03  3.65068605E-01 -8.58626992E-02
   2.76011040E-03  3.68938014E-01 -8.69015450E-02
   2.80011200E-03  3.72775420E-01 -8.79359343E-02
   2.84011360E-03  3.76581023E-01 -8.89658947E-02
   2.88011520E-03  3.80355019E-01 -8.99914534E-02
   2.92011680E-03  3.84097599E-01 -9.10126367E-02
   2.96011840E-03  3.87808953E-01 -9.20294702E-02
   3.00012000E-03  3.91489265E-01 -9.30419789E-02
   3.04012160E-03  3.95138717E-01 -9.40501871E-02
   3.08012320E-03  3.98757487E-01 -9.50541184E-02
   3.12012480E-03  4.02345750E-01 -9.60537960E-02
   3.16012641E-03  4.05903679E-01 -9.70492424E-02
   3.20012801E-03  4.09431441E-01 -9.80404795E-02
   3.24012961E-03  4.12929205E-01 -9.90275289E-02
   3.28013121E-03  4.16397133E-01 -1.00010412E-01
   3.32013281E-03  4.19835386E-01 -1.00989148E-01
   3.36013441E-03  4.23244124E-01 -1.01963758E-01
   3.40013601E-03  4.26623502E-01 -1.02934261E-01
   3.44013761E-03  4.29973673E-01 -1.03900676E-01
   3.48013921E-03  4.33294791E-01 -1.04863023E-01
   3.52014081E-03  4.36587003E-01 -1.05821318E-01
   3.56014241E-03  4.39850456E-01 -1.06775581E-01
   3.60014401E-03  4.43085297E-01 -1.07725829E-01
   3.64014561E-03  4.46291669E-01 -1.08672078E-01
   3.68014721E-03  4.49469711E-01 -1.09614346E-01
   3.72014881E-03  4.52619564E-01 -1.10552649E-01
   3.76015041E-03  4.55741366E-01 -1.11487003E-01
   3.80015201E-03  4.58835252E-01 -1.12417425E-01
   3.84015361E-03  4.61901356E-01 -1.13343929E-01
   3.88015521E-03  4.64939810E-01 -1.14266530E-01
   3.92015681E-03  4.67950746E-01 -1.15185245E-01
   3.96015841E-03  4.70934292E-01 -1.16100086E-01
   4.00016001E-03  4.73890577E-01 -1.17011069E-01
   4.04016161E-03  4.76819727E-01 -1.17918209E-01
   4.08016321E-03  4.79721866E-01 -1.18821517E-01
   4.12016481E-03  4.82597118E-01 -1.19721009E-01
   4.16016641E-03  4.85445606E-01 -1.20616698E-01
   4.20016801E-03  4.88267449E-01 -1.21508597E-01
   4.24016961E-03  4.91062768E-01 -1.22396718E-01
   4.28017121E-03  4.93831681E-01 -1.23281074E-01
   4.32017281E-03  4.96574305E-01 -1.24161679E-01
   4.36017441E-03  4.99290755E-01 -1.25038543E-01
   4.40017601E-03  5.01981147E-01 -1.25911680E-01
   4.44017761E-03  5.04645594E-01 -1.26781101E-01
   4.48017921E-03  5.07284209E-01 -1.27646818E-01
   4.52018081E-03  5.09897103E-01 -1.28508843E-01
   4.56018241E-03  5.12484387E-01 -1.29367186E-01
   4.60018401E-03  5.15046170E-01 -1.30221859E-01
   4.64018561E-03  5.17582560E-01 -1.31072872E-01
   4.68018721E-03  5.20093665E-01 -1.31920238E-01
   4.72018881E-03  5.22579592E-01 -1.32763966E-01
   4.76019041E-03  5.25040446E-01 -1.33604067E-01
   4.80019201E-03  5.27476332E-01 -1.34440551E-01
   4.84019361E-03  5.29887353E-01 -1.35273429E-01
   4.88019521E-03  5.32273613E-01 -1.36102711E-01
   4.92019681E-03  5.34635214E-01 -1.36928406E-01
   4.96019841E-03  5.36972258E-01 -1.37750525E-01
   5.00020001E-03  5.39284843E-01 -1.38569076E-01
   5.04020161E-03  5.41573071E-01 -1.39384071E-01
   5.08020321E-03  5.43837041E-01 -1.40195517E-01
   5.12020481E-03  5.46076850E-01 -1.41003425E-01
   5.16020641E-03  5.48292596E-01 -1.41807803E-01
   5.20020801E-03  5.50484377E-01 -1.42608661E-01
   5.24020961E-03  5.52652287E-01 -1.43406008E-01
   5.28021121E-03  5.54796422E-01 -1.44199852E-01
   5.32021281E-03  5.56916878E-01 -1.44990203E-01
   5.36021441E-03  5.59013747E-01 -1.45777068E-01
   5.40021601E-03  5.61087124E-01 -1.46560457E-01
   5.44021761E-03  5.63137102E-01 -1.47340377E-01
   5.48021921E-03  5.65163772E-01 -1.48116838E-01
   5.52022081E-03  5.67167225E-01 -1.48889847E-01
   5.56022241E-03  5.69147554E-01 -1.49659413E-01
   5.60022401E-03  5.71104848E-01 -1.50425543E-01
   5.64022561E-03  5.73039197E-01 -1.51188246E-01
   5.68022721E-03  5.74950690E-01 -1.51947529E-01
   5.72022881E-03  5.76839416E-01 -1.52703401E-01
   5.76023041E-03  5.78705463E-01 -1.53455869E-01
   5.80023201E-03  5.80548919E-01 -1.54204940E-01
