 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 4.171821E+03, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift= 4.465551959905900E-01  (ETA=-7.108277E-01)
 #      Matching radius: RAD(   29)= 1.120044801792100E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  1.41953157E-02 -3.04179437E-03
   8.00032001E-05  2.66468161E-02 -5.72672257E-03
   1.20004800E-04  3.84690718E-02 -8.29179347E-03
   1.60006400E-04  4.98756034E-02 -1.07820370E-02
   2.00008000E-04  6.09648557E-02 -1.32180700E-02
   2.40009600E-04  7.17937320E-02 -1.56117231E-02
   2.80011200E-04  8.23993328E-02 -1.79706506E-02
   3.20012801E-04  9.28077638E-02 -2.03001950E-02
   3.60014401E-04  1.03038394E-01 -2.26042858E-02
   4.00016001E-04  1.13106167E-01 -2.48859276E-02
   4.40017601E-04  1.23022963E-01 -2.71474860E-02
   4.80019201E-04  1.32798460E-01 -2.93908683E-02
   5.20020801E-04  1.42440690E-01 -3.16176412E-02
   5.60022401E-04  1.51956433E-01 -3.38291120E-02
   6.00024001E-04  1.61351489E-01 -3.60263862E-02
   6.40025601E-04  1.70630876E-01 -3.82104086E-02
   6.80027201E-04  1.79798985E-01 -4.03819949E-02
   7.20028801E-04  1.88859686E-01 -4.25418549E-02
   7.60030401E-04  1.97816420E-01 -4.46906107E-02
   8.00032001E-04  2.06672268E-01 -4.68288111E-02
   8.40033601E-04  2.15430005E-01 -4.89569429E-02
   8.80035201E-04  2.24092145E-01 -5.10754403E-02
   9.20036801E-04  2.32660976E-01 -5.31846917E-02
   9.60038402E-04  2.41138592E-01 -5.52850466E-02
   1.00004000E-03  2.49526914E-01 -5.73768200E-02
   1.04004160E-03  2.57827717E-01 -5.94602973E-02
   1.08004320E-03  2.66042639E-01 -6.15357371E-02
   1.12004480E-03  2.74173205E-01 -6.36033751E-02
   1.16004640E-03  2.82220833E-01 -6.56634261E-02
   1.20004800E-03  2.90186849E-01 -6.77160862E-02
   1.24004960E-03  2.98072492E-01 -6.97615351E-02
   1.28005120E-03  3.05878927E-01 -7.17999378E-02
   1.32005280E-03  3.13607252E-01 -7.38314454E-02
   1.36005440E-03  3.21258500E-01 -7.58561971E-02
   1.40005600E-03  3.28833647E-01 -7.78743210E-02
   1.44005760E-03  3.36333620E-01 -7.98859351E-02
   1.48005920E-03  3.43759296E-01 -8.18911482E-02
   1.52006080E-03  3.51111510E-01 -8.38900607E-02
   1.56006240E-03  3.58391056E-01 -8.58827654E-02
   1.60006400E-03  3.65598690E-01 -8.78693478E-02
   1.64006560E-03  3.72735138E-01 -8.98498871E-02
   1.68006720E-03  3.79801089E-01 -9.18244562E-02
   1.72006880E-03  3.86797207E-01 -9.37931228E-02
   1.76007040E-03  3.93724127E-01 -9.57559491E-02
   1.80007200E-03  4.00582458E-01 -9.77129927E-02
   1.84007360E-03  4.07372787E-01 -9.96643067E-02
   1.88007520E-03  4.14095679E-01 -1.01609940E-01
   1.92007680E-03  4.20751677E-01 -1.03549938E-01
   1.96007840E-03  4.27341306E-01 -1.05484342E-01
   2.00008000E-03  4.33865072E-01 -1.07413190E-01
   2.04008160E-03  4.40323465E-01 -1.09336518E-01
   2.08008320E-03  4.46716958E-01 -1.11254356E-01
   2.12008480E-03  4.53046010E-01 -1.13166736E-01
   2.16008640E-03  4.59311066E-01 -1.15073683E-01
   2.20008800E-03  4.65512557E-01 -1.16975221E-01
   2.24008960E-03  4.71650901E-01 -1.18871374E-01
   2.28009120E-03  4.77726505E-01 -1.20762160E-01
   2.32009280E-03  4.83739766E-01 -1.22647598E-01
   2.36009440E-03  4.89691068E-01 -1.24527703E-01
   2.40009600E-03  4.95580786E-01 -1.26402490E-01
   2.44009760E-03  5.01409286E-01 -1.28271971E-01
   2.48009920E-03  5.07176924E-01 -1.30136158E-01
   2.52010080E-03  5.12884048E-01 -1.31995058E-01
   2.56010240E-03  5.18530998E-01 -1.33848681E-01
   2.60010400E-03  5.24118107E-01 -1.35697032E-01
   2.64010560E-03  5.29645698E-01 -1.37540117E-01
   2.68010720E-03  5.35114090E-01 -1.39377940E-01
   2.72010880E-03  5.40523593E-01 -1.41210505E-01
   2.76011040E-03  5.45874512E-01 -1.43037811E-01
   2.80011200E-03  5.51167146E-01 -1.44859861E-01
   2.84011360E-03  5.56401788E-01 -1.46676655E-01
   2.88011520E-03  5.61578724E-01 -1.48488190E-01
   2.92011680E-03  5.66698238E-01 -1.50294465E-01
   2.96011840E-03  5.71760604E-01 -1.52095477E-01
   3.00012000E-03  5.76766097E-01 -1.53891222E-01
   3.04012160E-03  5.81714983E-01 -1.55681695E-01
   3.08012320E-03  5.86607526E-01 -1.57466892E-01
   3.12012480E-03  5.91443983E-01 -1.59246807E-01
   3.16012641E-03  5.96224611E-01 -1.61021432E-01
   3.20012801E-03  6.00949659E-01 -1.62790761E-01
   3.24012961E-03  6.05619376E-01 -1.64554786E-01
   3.28013121E-03  6.10234004E-01 -1.66313498E-01
   3.32013281E-03  6.14793784E-01 -1.68066889E-01
   3.36013441E-03  6.19298952E-01 -1.69814949E-01
   3.40013601E-03  6.23749743E-01 -1.71557668E-01
   3.44013761E-03  6.28146387E-01 -1.73295036E-01
   3.48013921E-03  6.32489112E-01 -1.75027041E-01
   3.52014081E-03  6.36778143E-01 -1.76753673E-01
   3.56014241E-03  6.41013703E-01 -1.78474920E-01
   3.60014401E-03  6.45196010E-01 -1.80190770E-01
   3.64014561E-03  6.49325282E-01 -1.81901210E-01
   3.68014721E-03  6.53401734E-01 -1.83606228E-01
   3.72014881E-03  6.57425578E-01 -1.85305811E-01
   3.76015041E-03  6.61397026E-01 -1.86999944E-01
   3.80015201E-03  6.65316284E-01 -1.88688615E-01
   3.84015361E-03  6.69183559E-01 -1.90371809E-01
   3.88015521E-03  6.72999055E-01 -1.92049512E-01
   3.92015681E-03  6.76762975E-01 -1.93721710E-01
   3.96015841E-03  6.80475519E-01 -1.95388387E-01
   4.00016001E-03  6.84136885E-01 -1.97049529E-01
   4.04016161E-03  6.87747270E-01 -1.98705121E-01
   4.08016321E-03  6.91306870E-01 -2.00355146E-01
   4.12016481E-03  6.94815879E-01 -2.01999590E-01
   4.16016641E-03  6.98274487E-01 -2.03638437E-01
   4.20016801E-03  7.01682887E-01 -2.05271670E-01
   4.24016961E-03  7.05041268E-01 -2.06899273E-01
   4.28017121E-03  7.08349817E-01 -2.08521230E-01
   4.32017281E-03  7.11608720E-01 -2.10137525E-01
   4.36017441E-03  7.14818164E-01 -2.11748141E-01
   4.40017601E-03  7.17978332E-01 -2.13353061E-01
   4.44017761E-03  7.21089408E-01 -2.14952268E-01
   4.48017921E-03  7.24151572E-01 -2.16545745E-01
   4.52018081E-03  7.27165006E-01 -2.18133476E-01
   4.56018241E-03  7.30129888E-01 -2.19715443E-01
   4.60018401E-03  7.33046399E-01 -2.21291628E-01
   4.64018561E-03  7.35914714E-01 -2.22862014E-01
   4.68018721E-03  7.38735011E-01 -2.24426585E-01
   4.72018881E-03  7.41507465E-01 -2.25985322E-01
   4.76019041E-03  7.44232252E-01 -2.27538207E-01
   4.80019201E-03  7.46909544E-01 -2.29085224E-01
   4.84019361E-03  7.49539515E-01 -2.30626353E-01
   4.88019521E-03  7.52122337E-01 -2.32161579E-01
   4.92019681E-03  7.54658182E-01 -2.33690882E-01
   4.96019841E-03  7.57147220E-01 -2.35214245E-01
   5.00020001E-03  7.59589621E-01 -2.36731649E-01
   5.04020161E-03  7.61985555E-01 -2.38243078E-01
   5.08020321E-03  7.64335190E-01 -2.39748513E-01
   5.12020481E-03  7.66638694E-01 -2.41247936E-01
   5.16020641E-03  7.68896234E-01 -2.42741330E-01
   5.20020801E-03  7.71107977E-01 -2.44228675E-01
   5.24020961E-03  7.73274089E-01 -2.45709954E-01
   5.28021121E-03  7.75394735E-01 -2.47185150E-01
   5.32021281E-03  7.77470081E-01 -2.48654244E-01
   5.36021441E-03  7.79500291E-01 -2.50117217E-01
   5.40021601E-03  7.81485529E-01 -2.51574053E-01
   5.44021761E-03  7.83425959E-01 -2.53024733E-01
   5.48021921E-03  7.85321742E-01 -2.54469238E-01
   5.52022081E-03  7.87173043E-01 -2.55907552E-01
   5.56022241E-03  7.88980022E-01 -2.57339656E-01
   5.60022401E-03  7.90742842E-01 -2.58765532E-01
   5.64022561E-03  7.92461663E-01 -2.60185163E-01
   5.68022721E-03  7.94136647E-01 -2.61598530E-01
   5.72022881E-03  7.95767954E-01 -2.63005615E-01
   5.76023041E-03  7.97355743E-01 -2.64406402E-01
   5.80023201E-03  7.98900176E-01 -2.65800871E-01
   5.84023361E-03  8.00401410E-01 -2.67189005E-01
   5.88023521E-03  8.01859605E-01 -2.68570788E-01
   5.92023681E-03  8.03274920E-01 -2.69946200E-01
   5.96023841E-03  8.04647513E-01 -2.71315224E-01
   6.00024001E-03  8.05977542E-01 -2.72677843E-01
   6.04024161E-03  8.07265165E-01 -2.74034040E-01
   6.08024321E-03  8.08510540E-01 -2.75383797E-01
   6.12024481E-03  8.09713823E-01 -2.76727096E-01
   6.16024641E-03  8.10875172E-01 -2.78063920E-01
   6.20024801E-03  8.11994743E-01 -2.79394252E-01
   6.24024961E-03  8.13072693E-01 -2.80718075E-01
   6.28025121E-03  8.14109179E-01 -2.82035371E-01
   6.32025281E-03  8.15104355E-01 -2.83346124E-01
   6.36025441E-03  8.16058379E-01 -2.84650317E-01
   6.40025601E-03  8.16971406E-01 -2.85947932E-01
   6.44025761E-03  8.17843590E-01 -2.87238953E-01
   6.48025921E-03  8.18675089E-01 -2.88523362E-01
   6.52026081E-03  8.19466055E-01 -2.89801144E-01
   6.56026241E-03  8.20216645E-01 -2.91072282E-01
   6.60026401E-03  8.20927014E-01 -2.92336759E-01
   6.64026561E-03  8.21597315E-01 -2.93594558E-01
   6.68026721E-03  8.22227703E-01 -2.94845664E-01
   6.72026881E-03  8.22818333E-01 -2.96090059E-01
   6.76027041E-03  8.23369358E-01 -2.97327728E-01
   6.80027201E-03  8.23880933E-01 -2.98558655E-01
   6.84027361E-03  8.24353212E-01 -2.99782823E-01
   6.88027521E-03  8.24786347E-01 -3.01000217E-01
   6.92027681E-03  8.25180494E-01 -3.02210820E-01
   6.96027841E-03  8.25535805E-01 -3.03414618E-01
   7.00028001E-03  8.25852433E-01 -3.04611593E-01
   7.04028161E-03  8.26130533E-01 -3.05801732E-01
   7.08028321E-03  8.26370257E-01 -3.06985017E-01
   7.12028481E-03  8.26571759E-01 -3.08161434E-01
   7.16028641E-03  8.26735191E-01 -3.09330968E-01
   7.20028801E-03  8.26860706E-01 -3.10493603E-01
   7.24028961E-03  8.26948458E-01 -3.11649324E-01
   7.28029121E-03  8.26998599E-01 -3.12798116E-01
   7.32029281E-03  8.27011281E-01 -3.13939964E-01
   7.36029441E-03  8.26986658E-01 -3.15074854E-01
   7.40029601E-03  8.26924882E-01 -3.16202771E-01
   7.44029761E-03  8.26826106E-01 -3.17323700E-01
   7.48029921E-03  8.26690481E-01 -3.18437626E-01
   7.52030081E-03  8.26518161E-01 -3.19544536E-01
   7.56030241E-03  8.26309297E-01 -3.20644415E-01
   7.60030401E-03  8.26064043E-01 -3.21737249E-01
   7.64030561E-03  8.25782550E-01 -3.22823024E-01
   7.68030721E-03  8.25464970E-01 -3.23901726E-01
   7.72030881E-03  8.25111456E-01 -3.24973340E-01
   7.76031041E-03  8.24722159E-01 -3.26037855E-01
   7.80031201E-03  8.24297233E-01 -3.27095255E-01
   7.84031361E-03  8.23836828E-01 -3.28145527E-01
   7.88031521E-03  8.23341097E-01 -3.29188659E-01
   7.92031681E-03  8.22810192E-01 -3.30224636E-01
   7.96031841E-03  8.22244265E-01 -3.31253446E-01
   8.00032001E-03  8.21643468E-01 -3.32275075E-01
   8.04032161E-03  8.21007953E-01 -3.33289511E-01
   8.08032321E-03  8.20337871E-01 -3.34296741E-01
   8.12032481E-03  8.19633375E-01 -3.35296752E-01
   8.16032641E-03  8.18894616E-01 -3.36289531E-01
   8.20032801E-03  8.18121746E-01 -3.37275067E-01
   8.24032961E-03  8.17314917E-01 -3.38253347E-01
   8.28033121E-03  8.16474282E-01 -3.39224358E-01
   8.32033281E-03  8.15599990E-01 -3.40188090E-01
   8.36033441E-03  8.14692195E-01 -3.41144529E-01
   8.40033601E-03  8.13751049E-01 -3.42093663E-01
   8.44033761E-03  8.12776702E-01 -3.43035482E-01
   8.48033921E-03  8.11769307E-01 -3.43969974E-01
   8.52034081E-03  8.10729016E-01 -3.44897127E-01
   8.56034241E-03  8.09655979E-01 -3.45816929E-01
   8.60034401E-03  8.08550350E-01 -3.46729371E-01
   8.64034561E-03  8.07412279E-01 -3.47634440E-01
   8.68034721E-03  8.06241919E-01 -3.48532125E-01
   8.72034881E-03  8.05039420E-01 -3.49422417E-01
