 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 7.297387E+03, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift= 3.946156279011239E-01  (ETA=-5.889913E-01)
 #      Matching radius: RAD(   15)= 5.600224008960000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  1.75450920E-02 -3.76552478E-03
   8.00032001E-05  3.29236449E-02 -7.09800456E-03
   1.20004800E-04  4.75142617E-02 -1.02898309E-02
   1.60006400E-04  6.15811550E-02 -1.33963166E-02
   2.00008000E-04  7.52461517E-02 -1.64426825E-02
   2.40009600E-04  8.85796638E-02 -1.94433343E-02
   2.80011200E-04  1.01627588E-01 -2.24075438E-02
   3.20012801E-04  1.14422205E-01 -2.53417445E-02
   3.60014401E-04  1.26987454E-01 -2.82506377E-02
   4.00016001E-04  1.39341792E-01 -3.11377918E-02
   4.40017601E-04  1.51499883E-01 -3.40059945E-02
   4.80019201E-04  1.63473657E-01 -3.68574733E-02
   5.20020801E-04  1.75273010E-01 -3.96940407E-02
   5.60022401E-04  1.86906285E-01 -4.25171935E-02
   6.00024001E-04  1.98380610E-01 -4.53281827E-02
   6.40025601E-04  2.09702147E-01 -4.81280646E-02
   6.80027201E-04  2.20876278E-01 -5.09177387E-02
   7.20028801E-04  2.31907742E-01 -5.36979767E-02
   7.60030401E-04  2.42800746E-01 -5.64694440E-02
   8.00032001E-04  2.53559052E-01 -5.92327178E-02
   8.40033601E-04  2.64186043E-01 -6.19883006E-02
   8.80035201E-04  2.74684778E-01 -6.47366314E-02
   9.20036801E-04  2.85058041E-01 -6.74780945E-02
   9.60038402E-04  2.95308370E-01 -7.02130274E-02
   1.00004000E-03  3.05438095E-01 -7.29417267E-02
   1.04004160E-03  3.15449363E-01 -7.56644530E-02
   1.08004320E-03  3.25344153E-01 -7.83814359E-02
   1.12004480E-03  3.35124305E-01 -8.10928770E-02
   1.16004640E-03  3.44791526E-01 -8.37989532E-02
   1.20004800E-03  3.54347410E-01 -8.64998198E-02
   1.24004960E-03  3.63793448E-01 -8.91956123E-02
   1.28005120E-03  3.73131038E-01 -9.18864487E-02
   1.32005280E-03  3.82361491E-01 -9.45724311E-02
   1.36005440E-03  3.91486046E-01 -9.72536475E-02
   1.40005600E-03  4.00505869E-01 -9.99301726E-02
   1.44005760E-03  4.09422066E-01 -1.02602070E-01
   1.48005920E-03  4.18235684E-01 -1.05269392E-01
   1.52006080E-03  4.26947715E-01 -1.07932181E-01
   1.56006240E-03  4.35559107E-01 -1.10590471E-01
   1.60006400E-03  4.44070758E-01 -1.13244288E-01
   1.64006560E-03  4.52483530E-01 -1.15893650E-01
   1.68006720E-03  4.60798243E-01 -1.18538568E-01
   1.72006880E-03  4.69015684E-01 -1.21179048E-01
   1.76007040E-03  4.77136607E-01 -1.23815087E-01
   1.80007200E-03  4.85161735E-01 -1.26446681E-01
   1.84007360E-03  4.93091764E-01 -1.29073817E-01
   1.88007520E-03  5.00927364E-01 -1.31696480E-01
   1.92007680E-03  5.08669179E-01 -1.34314649E-01
   1.96007840E-03  5.16317831E-01 -1.36928299E-01
   2.00008000E-03  5.23873923E-01 -1.39537404E-01
   2.04008160E-03  5.31338034E-01 -1.42141931E-01
   2.08008320E-03  5.38710727E-01 -1.44741846E-01
   2.12008480E-03  5.45992549E-01 -1.47337111E-01
   2.16008640E-03  5.53184027E-01 -1.49927686E-01
   2.20008800E-03  5.60285675E-01 -1.52513527E-01
   2.24008960E-03  5.67297993E-01 -1.55094589E-01
   2.28009120E-03  5.74221466E-01 -1.57670824E-01
   2.32009280E-03  5.81056566E-01 -1.60242182E-01
   2.36009440E-03  5.87803756E-01 -1.62808612E-01
   2.40009600E-03  5.94463484E-01 -1.65370059E-01
   2.44009760E-03  6.01036189E-01 -1.67926468E-01
   2.48009920E-03  6.07522301E-01 -1.70477781E-01
   2.52010080E-03  6.13922239E-01 -1.73023941E-01
   2.56010240E-03  6.20236413E-01 -1.75564886E-01
   2.60010400E-03  6.26465225E-01 -1.78100556E-01
   2.64010560E-03  6.32609070E-01 -1.80630888E-01
   2.68010720E-03  6.38668333E-01 -1.83155818E-01
   2.72010880E-03  6.44643395E-01 -1.85675280E-01
   2.76011040E-03  6.50534627E-01 -1.88189209E-01
   2.80011200E-03  6.56342396E-01 -1.90697538E-01
   2.84011360E-03  6.62067062E-01 -1.93200199E-01
   2.88011520E-03  6.67708980E-01 -1.95697123E-01
   2.92011680E-03  6.73268498E-01 -1.98188241E-01
   2.96011840E-03  6.78745960E-01 -2.00673482E-01
   3.00012000E-03  6.84141705E-01 -2.03152776E-01
   3.04012160E-03  6.89456068E-01 -2.05626051E-01
   3.08012320E-03  6.94689378E-01 -2.08093235E-01
   3.12012480E-03  6.99841961E-01 -2.10554255E-01
   3.16012641E-03  7.04914139E-01 -2.13009038E-01
   3.20012801E-03  7.09906231E-01 -2.15457510E-01
   3.24012961E-03  7.14818550E-01 -2.17899598E-01
   3.28013121E-03  7.19651409E-01 -2.20335227E-01
   3.32013281E-03  7.24405115E-01 -2.22764322E-01
   3.36013441E-03  7.29079973E-01 -2.25186808E-01
   3.40013601E-03  7.33676286E-01 -2.27602610E-01
   3.44013761E-03  7.38194353E-01 -2.30011651E-01
   3.48013921E-03  7.42634472E-01 -2.32413856E-01
   3.52014081E-03  7.46996938E-01 -2.34809149E-01
   3.56014241E-03  7.51282041E-01 -2.37197453E-01
   3.60014401E-03  7.55490074E-01 -2.39578692E-01
   3.64014561E-03  7.59621324E-01 -2.41952788E-01
   3.68014721E-03  7.63676077E-01 -2.44319666E-01
   3.72014881E-03  7.67654618E-01 -2.46679249E-01
   3.76015041E-03  7.71557230E-01 -2.49031458E-01
   3.80015201E-03  7.75384194E-01 -2.51376218E-01
   3.84015361E-03  7.79135789E-01 -2.53713451E-01
   3.88015521E-03  7.82812295E-01 -2.56043080E-01
   3.92015681E-03  7.86413987E-01 -2.58365028E-01
   3.96015841E-03  7.89941142E-01 -2.60679217E-01
   4.00016001E-03  7.93394034E-01 -2.62985571E-01
   4.04016161E-03  7.96772937E-01 -2.65284013E-01
   4.08016321E-03  8.00078123E-01 -2.67574465E-01
   4.12016481E-03  8.03309864E-01 -2.69856850E-01
   4.16016641E-03  8.06468429E-01 -2.72131092E-01
   4.20016801E-03  8.09554089E-01 -2.74397114E-01
   4.24016961E-03  8.12567113E-01 -2.76654839E-01
   4.28017121E-03  8.15507769E-01 -2.78904190E-01
   4.32017281E-03  8.18376324E-01 -2.81145092E-01
   4.36017441E-03  8.21173046E-01 -2.83377467E-01
   4.40017601E-03  8.23898200E-01 -2.85601240E-01
   4.44017761E-03  8.26552054E-01 -2.87816334E-01
   4.48017921E-03  8.29134872E-01 -2.90022674E-01
   4.52018081E-03  8.31646919E-01 -2.92220184E-01
   4.56018241E-03  8.34088461E-01 -2.94408789E-01
   4.60018401E-03  8.36459761E-01 -2.96588413E-01
   4.64018561E-03  8.38761083E-01 -2.98758982E-01
   4.68018721E-03  8.40992692E-01 -3.00920420E-01
   4.72018881E-03  8.43154851E-01 -3.03072652E-01
   4.76019041E-03  8.45247824E-01 -3.05215606E-01
   4.80019201E-03  8.47271873E-01 -3.07349206E-01
   4.84019361E-03  8.49227263E-01 -3.09473378E-01
   4.88019521E-03  8.51114255E-01 -3.11588049E-01
   4.92019681E-03  8.52933113E-01 -3.13693146E-01
   4.96019841E-03  8.54684101E-01 -3.15788595E-01
   5.00020001E-03  8.56367481E-01 -3.17874324E-01
   5.04020161E-03  8.57983515E-01 -3.19950260E-01
   5.08020321E-03  8.59532469E-01 -3.22016331E-01
   5.12020481E-03  8.61014603E-01 -3.24072465E-01
   5.16020641E-03  8.62430183E-01 -3.26118591E-01
   5.20020801E-03  8.63779470E-01 -3.28154636E-01
   5.24020961E-03  8.65062729E-01 -3.30180531E-01
   5.28021121E-03  8.66280224E-01 -3.32196204E-01
   5.32021281E-03  8.67432218E-01 -3.34201586E-01
   5.36021441E-03  8.68518975E-01 -3.36196605E-01
   5.40021601E-03  8.69540760E-01 -3.38181193E-01
   5.44021761E-03  8.70497836E-01 -3.40155280E-01
   5.48021921E-03  8.71390470E-01 -3.42118798E-01
   5.52022081E-03  8.72218926E-01 -3.44071677E-01
   5.56022241E-03  8.72983469E-01 -3.46013849E-01
   5.60022401E-03  8.73684365E-01 -3.47945247E-01
   5.64022561E-03  8.74321880E-01 -3.49865803E-01
   5.68022721E-03  8.74896280E-01 -3.51775450E-01
   5.72022881E-03  8.75407831E-01 -3.53674121E-01
   5.76023041E-03  8.75856801E-01 -3.55561749E-01
   5.80023201E-03  8.76243457E-01 -3.57438270E-01
   5.84023361E-03  8.76568066E-01 -3.59303616E-01
   5.88023521E-03  8.76830897E-01 -3.61157723E-01
   5.92023681E-03  8.77032218E-01 -3.63000527E-01
   5.96023841E-03  8.77172297E-01 -3.64831962E-01
   6.00024001E-03  8.77251403E-01 -3.66651965E-01
   6.04024161E-03  8.77269808E-01 -3.68460472E-01
   6.08024321E-03  8.77227779E-01 -3.70257420E-01
   6.12024481E-03  8.77125589E-01 -3.72042746E-01
   6.16024641E-03  8.76963506E-01 -3.73816388E-01
   6.20024801E-03  8.76741804E-01 -3.75578284E-01
   6.24024961E-03  8.76460754E-01 -3.77328373E-01
   6.28025121E-03  8.76120627E-01 -3.79066593E-01
   6.32025281E-03  8.75721697E-01 -3.80792883E-01
   6.36025441E-03  8.75264236E-01 -3.82507185E-01
   6.40025601E-03  8.74748519E-01 -3.84209437E-01
