 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 2.232805E+04, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift= 2.990056721971897E-01  (ETA=-4.593894E-01)
 #      Matching radius: RAD(    7)= 2.400096003840000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  3.03362108E-02 -6.56014233E-03
   8.00032001E-05  5.68323765E-02 -1.24380353E-02
   1.20004800E-04  8.18802251E-02 -1.81343047E-02
   1.60006400E-04  1.05938747E-01 -2.37413578E-02
   2.00008000E-04  1.29219481E-01 -2.93002620E-02
   2.40009600E-04  1.51844502E-01 -3.48337571E-02
   2.80011200E-04  1.73893184E-01 -4.03559397E-02
   3.20012801E-04  1.95421175E-01 -4.58761585E-02
   3.60014401E-04  2.16469573E-01 -5.14008843E-02
   4.00016001E-04  2.37069915E-01 -5.69347172E-02
   4.40017601E-04  2.57247126E-01 -6.24809771E-02
   4.80019201E-04  2.77021367E-01 -6.80420718E-02
   5.20020801E-04  2.96409257E-01 -7.36197373E-02
   5.60022401E-04  3.15424716E-01 -7.92152023E-02
   6.00024001E-04  3.34079552E-01 -8.48293036E-02
   6.40025601E-04  3.52383903E-01 -9.04625697E-02
   6.80027201E-04  3.70346557E-01 -9.61152822E-02
   7.20028801E-04  3.87975198E-01 -1.01787523E-01
   7.60030401E-04  4.05276599E-01 -1.07479211E-01
   8.00032001E-04  4.22256770E-01 -1.13190127E-01
   8.40033601E-04  4.38921080E-01 -1.18919941E-01
   8.80035201E-04  4.55274352E-01 -1.24668224E-01
   9.20036801E-04  4.71320943E-01 -1.30434468E-01
   9.60038402E-04  4.87064808E-01 -1.36218095E-01
   1.00004000E-03  5.02509555E-01 -1.42018466E-01
   1.04004160E-03  5.17658490E-01 -1.47834891E-01
   1.08004320E-03  5.32514655E-01 -1.53666635E-01
   1.12004480E-03  5.47080862E-01 -1.59512924E-01
   1.16004640E-03  5.61359717E-01 -1.65372949E-01
   1.20004800E-03  5.75353650E-01 -1.71245874E-01
   1.24004960E-03  5.89064931E-01 -1.77130832E-01
   1.28005120E-03  6.02495689E-01 -1.83026937E-01
   1.32005280E-03  6.15647929E-01 -1.88933279E-01
   1.36005440E-03  6.28523545E-01 -1.94848935E-01
   1.40005600E-03  6.41124331E-01 -2.00772960E-01
   1.44005760E-03  6.53451995E-01 -2.06704400E-01
   1.48005920E-03  6.65508166E-01 -2.12642285E-01
   1.52006080E-03  6.77294401E-01 -2.18585638E-01
   1.56006240E-03  6.88812199E-01 -2.24533470E-01
   1.60006400E-03  7.00062999E-01 -2.30484783E-01
   1.64006560E-03  7.11048194E-01 -2.36438574E-01
   1.68006720E-03  7.21769131E-01 -2.42393832E-01
   1.72006880E-03  7.32227119E-01 -2.48349543E-01
   1.76007040E-03  7.42423433E-01 -2.54304685E-01
   1.80007200E-03  7.52359317E-01 -2.60258236E-01
   1.84007360E-03  7.62035988E-01 -2.66209168E-01
   1.88007520E-03  7.71454641E-01 -2.72156452E-01
   1.92007680E-03  7.80616450E-01 -2.78099057E-01
   1.96007840E-03  7.89522572E-01 -2.84035950E-01
   2.00008000E-03  7.98174149E-01 -2.89966098E-01
   2.04008160E-03  8.06572309E-01 -2.95888468E-01
   2.08008320E-03  8.14718174E-01 -3.01802025E-01
   2.12008480E-03  8.22612853E-01 -3.07705738E-01
   2.16008640E-03  8.30257450E-01 -3.13598573E-01
   2.20008800E-03  8.37653066E-01 -3.19479500E-01
   2.24008960E-03  8.44800796E-01 -3.25347490E-01
   2.28009120E-03  8.51701735E-01 -3.31201515E-01
   2.32009280E-03  8.58356977E-01 -3.37040550E-01
   2.36009440E-03  8.64767616E-01 -3.42863574E-01
   2.40009600E-03  8.70934748E-01 -3.48669565E-01
   2.44009760E-03  8.76859472E-01 -3.54457507E-01
   2.48009920E-03  8.82542891E-01 -3.60226388E-01
   2.52010080E-03  8.87986112E-01 -3.65975197E-01
   2.56010240E-03  8.93190249E-01 -3.71702929E-01
   2.60010400E-03  8.98156418E-01 -3.77408581E-01
   2.64010560E-03  9.02885748E-01 -3.83091156E-01
   2.68010720E-03  9.07379370E-01 -3.88749661E-01
   2.72010880E-03  9.11638426E-01 -3.94383108E-01
   2.76011040E-03  9.15664067E-01 -3.99990512E-01
   2.80011200E-03  9.19457452E-01 -4.05570896E-01
   2.84011360E-03  9.23019748E-01 -4.11123286E-01
   2.88011520E-03  9.26352137E-01 -4.16646714E-01
   2.92011680E-03  9.29455806E-01 -4.22140218E-01
   2.96011840E-03  9.32331956E-01 -4.27602841E-01
   3.00012000E-03  9.34981798E-01 -4.33033634E-01
   3.04012160E-03  9.37406556E-01 -4.38431650E-01
   3.08012320E-03  9.39607464E-01 -4.43795953E-01
   3.12012480E-03  9.41585768E-01 -4.49125610E-01
   3.16012641E-03  9.43342727E-01 -4.54419695E-01
   3.20012801E-03  9.44879612E-01 -4.59677290E-01
   3.24012961E-03  9.46197708E-01 -4.64897484E-01
   3.28013121E-03  9.47298310E-01 -4.70079370E-01
   3.32013281E-03  9.48182729E-01 -4.75222052E-01
   3.36013441E-03  9.48852287E-01 -4.80324638E-01
   3.40013601E-03  9.49308320E-01 -4.85386245E-01
   3.44013761E-03  9.49552176E-01 -4.90405998E-01
   3.48013921E-03  9.49585219E-01 -4.95383028E-01
   3.52014081E-03  9.49408824E-01 -5.00316474E-01
   3.56014241E-03  9.49024380E-01 -5.05205484E-01
   3.60014401E-03  9.48433291E-01 -5.10049213E-01
   3.64014561E-03  9.47636972E-01 -5.14846824E-01
   3.68014721E-03  9.46636854E-01 -5.19597489E-01
   3.72014881E-03  9.45434380E-01 -5.24300387E-01
   3.76015041E-03  9.44031008E-01 -5.28954706E-01
   3.80015201E-03  9.42428209E-01 -5.33559642E-01
   3.84015361E-03  9.40627465E-01 -5.38114402E-01
   3.88015521E-03  9.38630277E-01 -5.42618198E-01
   3.92015681E-03  9.36438154E-01 -5.47070254E-01
   3.96015841E-03  9.34052622E-01 -5.51469799E-01
   4.00016001E-03  9.31475219E-01 -5.55816076E-01
   4.04016161E-03  9.28707495E-01 -5.60108334E-01
   4.08016321E-03  9.25751017E-01 -5.64345830E-01
   4.12016481E-03  9.22607362E-01 -5.68527833E-01
   4.16016641E-03  9.19278122E-01 -5.72653620E-01
   4.20016801E-03  9.15764899E-01 -5.76722478E-01
   4.24016961E-03  9.12069311E-01 -5.80733702E-01
   4.28017121E-03  9.08192988E-01 -5.84686599E-01
   4.32017281E-03  9.04137572E-01 -5.88580483E-01
   4.36017441E-03  8.99904718E-01 -5.92414679E-01
   4.40017601E-03  8.95496094E-01 -5.96188523E-01
   4.44017761E-03  8.90913380E-01 -5.99901359E-01
   4.48017921E-03  8.86158267E-01 -6.03552542E-01
   4.52018081E-03  8.81232460E-01 -6.07141436E-01
   4.56018241E-03  8.76137675E-01 -6.10667416E-01
   4.60018401E-03  8.70875640E-01 -6.14129868E-01
   4.64018561E-03  8.65448094E-01 -6.17528186E-01
   4.68018721E-03  8.59856789E-01 -6.20861775E-01
   4.72018881E-03  8.54103486E-01 -6.24130053E-01
   4.76019041E-03  8.48189960E-01 -6.27332444E-01
   4.80019201E-03  8.42117995E-01 -6.30468385E-01
   4.84019361E-03  8.35889386E-01 -6.33537325E-01
   4.88019521E-03  8.29505940E-01 -6.36538720E-01
   4.92019681E-03  8.22969474E-01 -6.39472040E-01
   4.96019841E-03  8.16281814E-01 -6.42336763E-01
   5.00020001E-03  8.09444798E-01 -6.45132379E-01
   5.04020161E-03  8.02460273E-01 -6.47858390E-01
   5.08020321E-03  7.95330097E-01 -6.50514306E-01
   5.12020481E-03  7.88056135E-01 -6.53099651E-01
   5.16020641E-03  7.80640265E-01 -6.55613957E-01
   5.20020801E-03  7.73084371E-01 -6.58056770E-01
   5.24020961E-03  7.65390348E-01 -6.60427645E-01
   5.28021121E-03  7.57560099E-01 -6.62726148E-01
   5.32021281E-03  7.49595536E-01 -6.64951857E-01
   5.36021441E-03  7.41498580E-01 -6.67104361E-01
   5.40021601E-03  7.33271159E-01 -6.69183260E-01
   5.44021761E-03  7.24915211E-01 -6.71188166E-01
   5.48021921E-03  7.16432679E-01 -6.73118700E-01
   5.52022081E-03  7.07825516E-01 -6.74974497E-01
   5.56022241E-03  6.99095681E-01 -6.76755202E-01
   5.60022401E-03  6.90245142E-01 -6.78460470E-01
   5.64022561E-03  6.81275873E-01 -6.80089971E-01
   5.68022721E-03  6.72189853E-01 -6.81643384E-01
   5.72022881E-03  6.62989071E-01 -6.83120398E-01
   5.76023041E-03  6.53675520E-01 -6.84520717E-01
   5.80023201E-03  6.44251200E-01 -6.85844054E-01
   5.84023361E-03  6.34718116E-01 -6.87090134E-01
   5.88023521E-03  6.25078280E-01 -6.88258693E-01
   5.92023681E-03  6.15333709E-01 -6.89349480E-01
   5.96023841E-03  6.05486424E-01 -6.90362254E-01
   6.00024001E-03  5.95538454E-01 -6.91296788E-01
   6.04024161E-03  5.85491830E-01 -6.92152862E-01
   6.08024321E-03  5.75348588E-01 -6.92930273E-01
   6.12024481E-03  5.65110769E-01 -6.93628826E-01
   6.16024641E-03  5.54780420E-01 -6.94248338E-01
   6.20024801E-03  5.44359587E-01 -6.94788639E-01
   6.24024961E-03  5.33850324E-01 -6.95249569E-01
   6.28025121E-03  5.23254688E-01 -6.95630981E-01
   6.32025281E-03  5.12574736E-01 -6.95932739E-01
   6.36025441E-03  5.01812532E-01 -6.96154718E-01
   6.40025601E-03  4.90970140E-01 -6.96296806E-01
   6.44025761E-03  4.80049627E-01 -6.96358902E-01
   6.48025921E-03  4.69053064E-01 -6.96340915E-01
   6.52026081E-03  4.57982522E-01 -6.96242768E-01
   6.56026241E-03  4.46840075E-01 -6.96064396E-01
   6.60026401E-03  4.35627798E-01 -6.95805741E-01
   6.64026561E-03  4.24347766E-01 -6.95466763E-01
   6.68026721E-03  4.13002059E-01 -6.95047428E-01
   6.72026881E-03  4.01592753E-01 -6.94547717E-01
   6.76027041E-03  3.90121929E-01 -6.93967622E-01
   6.80027201E-03  3.78591665E-01 -6.93307144E-01
   6.84027361E-03  3.67004041E-01 -6.92566300E-01
   6.88027521E-03  3.55361138E-01 -6.91745113E-01
   6.92027681E-03  3.43665033E-01 -6.90843623E-01
   6.96027841E-03  3.31917805E-01 -6.89861877E-01
   7.00028001E-03  3.20121534E-01 -6.88799936E-01
   7.04028161E-03  3.08278294E-01 -6.87657872E-01
   7.08028321E-03  2.96390163E-01 -6.86435767E-01
   7.12028481E-03  2.84459214E-01 -6.85133716E-01
   7.16028641E-03  2.72487519E-01 -6.83751825E-01
   7.20028801E-03  2.60477150E-01 -6.82290210E-01
   7.24028961E-03  2.48430173E-01 -6.80748999E-01
   7.28029121E-03  2.36348656E-01 -6.79128333E-01
   7.32029281E-03  2.24234662E-01 -6.77428361E-01
   7.36029441E-03  2.12090250E-01 -6.75649245E-01
   7.40029601E-03  1.99917478E-01 -6.73791158E-01
   7.44029761E-03  1.87718399E-01 -6.71854285E-01
   7.48029921E-03  1.75495065E-01 -6.69838819E-01
   7.52030081E-03  1.63249521E-01 -6.67744967E-01
   7.56030241E-03  1.50983810E-01 -6.65572945E-01
   7.60030401E-03  1.38699970E-01 -6.63322982E-01
   7.64030561E-03  1.26400035E-01 -6.60995316E-01
   7.68030721E-03  1.14086034E-01 -6.58590197E-01
   7.72030881E-03  1.01759990E-01 -6.56107884E-01
   7.76031041E-03  8.94239230E-02 -6.53548649E-01
   7.80031201E-03  7.70798455E-02 -6.50912774E-01
   7.84031361E-03  6.47297657E-02 -6.48200549E-01
   7.88031521E-03  5.23756853E-02 -6.45412279E-01
   7.92031681E-03  4.00196003E-02 -6.42548276E-01
   7.96031841E-03  2.76635002E-02 -6.39608865E-01
   8.00032001E-03  1.53093679E-02 -6.36594379E-01
   8.04032161E-03  2.95917977E-03 -6.33505163E-01
   8.08032321E-03 -9.38509488E-03 -6.30341572E-01
   8.12032481E-03 -2.17214939E-02 -6.27103970E-01
   8.16032641E-03 -3.40480626E-02 -6.23792733E-01
   8.20032801E-03 -4.63628539E-02 -6.20408246E-01
   8.24032961E-03 -5.86639283E-02 -6.16950905E-01
   8.28033121E-03 -7.09493547E-02 -6.13421114E-01
   8.32033281E-03 -8.32172100E-02 -6.09819288E-01
   8.36033441E-03 -9.54655797E-02 -6.06145854E-01
   8.40033601E-03 -1.07692558E-01 -6.02401245E-01
   8.44033761E-03 -1.19896248E-01 -5.98585905E-01
   8.48033921E-03 -1.32074761E-01 -5.94700290E-01
   8.52034081E-03 -1.44226219E-01 -5.90744863E-01
   8.56034241E-03 -1.56348753E-01 -5.86720096E-01
   8.60034401E-03 -1.68440504E-01 -5.82626472E-01
   8.64034561E-03 -1.80499621E-01 -5.78464484E-01
   8.68034721E-03 -1.92524266E-01 -5.74234632E-01
   8.72034881E-03 -2.04512609E-01 -5.69937427E-01
   8.76035041E-03 -2.16462832E-01 -5.65573387E-01
   8.80035201E-03 -2.28373127E-01 -5.61143042E-01
   8.84035361E-03 -2.40241697E-01 -5.56646929E-01
   8.88035521E-03 -2.52066756E-01 -5.52085594E-01
   8.92035681E-03 -2.63846529E-01 -5.47459592E-01
   8.96035841E-03 -2.75579254E-01 -5.42769487E-01
   9.00036001E-03 -2.87263178E-01 -5.38015851E-01
   9.04036161E-03 -2.98896561E-01 -5.33199265E-01
   9.08036321E-03 -3.10477678E-01 -5.28320318E-01
   9.12036481E-03 -3.22004811E-01 -5.23379608E-01
   9.16036641E-03 -3.33476258E-01 -5.18377741E-01
   9.20036801E-03 -3.44890328E-01 -5.13315331E-01
   9.24036961E-03 -3.56245344E-01 -5.08192999E-01
   9.28037121E-03 -3.67539641E-01 -5.03011377E-01
   9.32037281E-03 -3.78771568E-01 -4.97771102E-01
   9.36037441E-03 -3.89939485E-01 -4.92472820E-01
   9.40037602E-03 -4.01041767E-01 -4.87117185E-01
   9.44037762E-03 -4.12076805E-01 -4.81704858E-01
