 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 2.953055E+04, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift= 2.804479684226129E-01  (ETA=-4.435331E-01)
 #      Matching radius: RAD(   16)= 6.000240009600000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  3.58459854E-02 -7.77961293E-03
   8.00032001E-05  6.71007737E-02 -1.47905140E-02
   1.20004800E-04  9.65947762E-02 -2.16211880E-02
   1.60006400E-04  1.24871305E-01 -2.83787300E-02
   2.00008000E-04  1.52180583E-01 -3.51099653E-02
   2.40009600E-04  1.78666819E-01 -4.18402751E-02
   2.80011200E-04  2.04423609E-01 -4.85849595E-02
   3.20012801E-04  2.29516416E-01 -5.53537989E-02
   3.60014401E-04  2.53993463E-01 -6.21532378E-02
   4.00016001E-04  2.77891642E-01 -6.89875600E-02
   4.40017601E-04  3.01240016E-01 -7.58595748E-02
   4.80019201E-04  3.24062012E-01 -8.27710441E-02
   5.20020801E-04  3.46376871E-01 -8.97229614E-02
   5.60022401E-04  3.68200651E-01 -9.67157415E-02
   6.00024001E-04  3.89546924E-01 -1.03749354E-01
   6.40025601E-04  4.10427302E-01 -1.10823418E-01
   6.80027201E-04  4.30851815E-01 -1.17937276E-01
   7.20028801E-04  4.50829204E-01 -1.25090044E-01
   7.60030401E-04  4.70367154E-01 -1.32280657E-01
   8.00032001E-04  4.89472466E-01 -1.39507897E-01
   8.40033601E-04  5.08151202E-01 -1.46770419E-01
   8.80035201E-04  5.26408804E-01 -1.54066775E-01
   9.20036801E-04  5.44250180E-01 -1.61395426E-01
   9.60038402E-04  5.61679787E-01 -1.68754759E-01
   1.00004000E-03  5.78701696E-01 -1.76143094E-01
   1.04004160E-03  5.95319641E-01 -1.83558699E-01
   1.08004320E-03  6.11537070E-01 -1.90999793E-01
   1.12004480E-03  6.27357179E-01 -1.98464554E-01
   1.16004640E-03  6.42782950E-01 -2.05951126E-01
   1.20004800E-03  6.57817175E-01 -2.13457624E-01
   1.24004960E-03  6.72462481E-01 -2.20982136E-01
   1.28005120E-03  6.86721358E-01 -2.28522727E-01
   1.32005280E-03  7.00596167E-01 -2.36077445E-01
   1.36005440E-03  7.14089166E-01 -2.43644322E-01
   1.40005600E-03  7.27202519E-01 -2.51221375E-01
   1.44005760E-03  7.39938310E-01 -2.58806611E-01
   1.48005920E-03  7.52298554E-01 -2.66398029E-01
   1.52006080E-03  7.64285210E-01 -2.73993618E-01
   1.56006240E-03  7.75900185E-01 -2.81591364E-01
   1.60006400E-03  7.87145345E-01 -2.89189248E-01
   1.64006560E-03  7.98022523E-01 -2.96785247E-01
   1.68006720E-03  8.08533523E-01 -3.04377339E-01
   1.72006880E-03  8.18680126E-01 -3.11963499E-01
   1.76007040E-03  8.28464098E-01 -3.19541707E-01
   1.80007200E-03  8.37887193E-01 -3.27109940E-01
   1.84007360E-03  8.46951155E-01 -3.34666180E-01
   1.88007520E-03  8.55657725E-01 -3.42208414E-01
   1.92007680E-03  8.64008643E-01 -3.49734632E-01
   1.96007840E-03  8.72005654E-01 -3.57242829E-01
   2.00008000E-03  8.79650506E-01 -3.64731006E-01
   2.04008160E-03  8.86944956E-01 -3.72197172E-01
   2.08008320E-03  8.93890770E-01 -3.79639343E-01
   2.12008480E-03  9.00489730E-01 -3.87055542E-01
   2.16008640E-03  9.06743631E-01 -3.94443801E-01
   2.20008800E-03  9.12654283E-01 -4.01802163E-01
   2.24008960E-03  9.18223516E-01 -4.09128678E-01
   2.28009120E-03  9.23453180E-01 -4.16421409E-01
   2.32009280E-03  9.28345144E-01 -4.23678427E-01
   2.36009440E-03  9.32901301E-01 -4.30897818E-01
   2.40009600E-03  9.37123566E-01 -4.38077675E-01
   2.44009760E-03  9.41013880E-01 -4.45216109E-01
   2.48009920E-03  9.44574207E-01 -4.52311238E-01
   2.52010080E-03  9.47806540E-01 -4.59361198E-01
   2.56010240E-03  9.50712895E-01 -4.66364137E-01
   2.60010400E-03  9.53295319E-01 -4.73318215E-01
   2.64010560E-03  9.55555885E-01 -4.80221608E-01
   2.68010720E-03  9.57496696E-01 -4.87072509E-01
   2.72010880E-03  9.59119882E-01 -4.93869123E-01
   2.76011040E-03  9.60427604E-01 -5.00609673E-01
   2.80011200E-03  9.61422052E-01 -5.07292395E-01
   2.84011360E-03  9.62105447E-01 -5.13915544E-01
   2.88011520E-03  9.62480039E-01 -5.20477391E-01
   2.92011680E-03  9.62548109E-01 -5.26976225E-01
   2.96011840E-03  9.62311970E-01 -5.33410349E-01
   3.00012000E-03  9.61773964E-01 -5.39778088E-01
   3.04012160E-03  9.60936464E-01 -5.46077782E-01
   3.08012320E-03  9.59801874E-01 -5.52307791E-01
   3.12012480E-03  9.58372630E-01 -5.58466492E-01
   3.16012641E-03  9.56651198E-01 -5.64552283E-01
   3.20012801E-03  9.54640075E-01 -5.70563580E-01
   3.24012961E-03  9.52341788E-01 -5.76498818E-01
   3.28013121E-03  9.49758897E-01 -5.82356453E-01
   3.32013281E-03  9.46893989E-01 -5.88134960E-01
   3.36013441E-03  9.43749684E-01 -5.93832836E-01
   3.40013601E-03  9.40328631E-01 -5.99448596E-01
   3.44013761E-03  9.36633511E-01 -6.04980779E-01
   3.48013921E-03  9.32667032E-01 -6.10427943E-01
   3.52014081E-03  9.28431933E-01 -6.15788668E-01
   3.56014241E-03  9.23930982E-01 -6.21061555E-01
   3.60014401E-03  9.19166977E-01 -6.26245228E-01
   3.64014561E-03  9.14142742E-01 -6.31338333E-01
   3.68014721E-03  9.08861133E-01 -6.36339536E-01
   3.72014881E-03  9.03325032E-01 -6.41247529E-01
   3.76015041E-03  8.97537349E-01 -6.46061025E-01
   3.80015201E-03  8.91501020E-01 -6.50778759E-01
   3.84015361E-03  8.85219012E-01 -6.55399490E-01
   3.88015521E-03  8.78694315E-01 -6.59922002E-01
   3.92015681E-03  8.71929946E-01 -6.64345101E-01
   3.96015841E-03  8.64928949E-01 -6.68667615E-01
   4.00016001E-03  8.57694393E-01 -6.72888400E-01
   4.04016161E-03  8.50229370E-01 -6.77006332E-01
   4.08016321E-03  8.42537001E-01 -6.81020314E-01
   4.12016481E-03  8.34620426E-01 -6.84929272E-01
   4.16016641E-03  8.26482812E-01 -6.88732159E-01
   4.20016801E-03  8.18127350E-01 -6.92427948E-01
   4.24016961E-03  8.09557249E-01 -6.96015642E-01
   4.28017121E-03  8.00775746E-01 -6.99494266E-01
   4.32017281E-03  7.91786095E-01 -7.02862872E-01
   4.36017441E-03  7.82591575E-01 -7.06120535E-01
