 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 5.165510E+04, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift= 2.505622967865957E-01  (ETA=-4.239994E-01)
 #      Matching radius: RAD(    5)= 1.600064002560000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  5.18528721E-02 -1.13781221E-02
   8.00032001E-05  9.68229017E-02 -2.18094572E-02
   1.20004800E-04  1.39021874E-01 -3.21300068E-02
   1.60006400E-04  1.79238509E-01 -4.24837742E-02
   2.00008000E-04  2.17834621E-01 -5.29293403E-02
   2.40009600E-04  2.55017462E-01 -6.34952046E-02
   2.80011200E-04  2.90920491E-01 -7.41958644E-02
   3.20012801E-04  3.25636199E-01 -8.50382233E-02
   3.60014401E-04  3.59232015E-01 -9.60246393E-02
   4.00016001E-04  3.91758961E-01 -1.07154553E-01
   4.40017601E-04  4.23256777E-01 -1.18425434E-01
   4.80019201E-04  4.53757136E-01 -1.29833363E-01
   5.20020801E-04  4.83285774E-01 -1.41373417E-01
   5.60022401E-04  5.11863955E-01 -1.53039919E-01
   6.00024001E-04  5.39509508E-01 -1.64826624E-01
   6.40025601E-04  5.66237586E-01 -1.76726849E-01
   6.80027201E-04  5.92061232E-01 -1.88733562E-01
   7.20028801E-04  6.16991810E-01 -2.00839461E-01
   7.60030401E-04  6.41039337E-01 -2.13037030E-01
   8.00032001E-04  6.64212750E-01 -2.25318577E-01
   8.40033601E-04  6.86520114E-01 -2.37676273E-01
   8.80035201E-04  7.07968788E-01 -2.50102183E-01
   9.20036801E-04  7.28565567E-01 -2.62588282E-01
   9.60038402E-04  7.48316795E-01 -2.75126482E-01
   1.00004000E-03  7.67228456E-01 -2.87708642E-01
   1.04004160E-03  7.85306255E-01 -3.00326590E-01
   1.08004320E-03  8.02555685E-01 -3.12972126E-01
   1.12004480E-03  8.18982081E-01 -3.25637040E-01
   1.16004640E-03  8.34590669E-01 -3.38313119E-01
   1.20004800E-03  8.49386607E-01 -3.50992155E-01
   1.24004960E-03  8.63375018E-01 -3.63665955E-01
   1.28005120E-03  8.76561023E-01 -3.76326343E-01
   1.32005280E-03  8.88949766E-01 -3.88965174E-01
   1.36005440E-03  9.00546433E-01 -4.01574334E-01
   1.40005600E-03  9.11356280E-01 -4.14145748E-01
   1.44005760E-03  9.21384640E-01 -4.26671385E-01
   1.48005920E-03  9.30636945E-01 -4.39143263E-01
   1.52006080E-03  9.39118736E-01 -4.51553455E-01
   1.56006240E-03  9.46835674E-01 -4.63894090E-01
   1.60006400E-03  9.53793549E-01 -4.76157361E-01
   1.64006560E-03  9.59998291E-01 -4.88335527E-01
   1.68006720E-03  9.65455976E-01 -5.00420918E-01
   1.72006880E-03  9.70172829E-01 -5.12405940E-01
   1.76007040E-03  9.74155233E-01 -5.24283074E-01
   1.80007200E-03  9.77409733E-01 -5.36044885E-01
   1.84007360E-03  9.79943038E-01 -5.47684023E-01
   1.88007520E-03  9.81762024E-01 -5.59193226E-01
   1.92007680E-03  9.82873738E-01 -5.70565325E-01
   1.96007840E-03  9.83285398E-01 -5.81793244E-01
   2.00008000E-03  9.83004396E-01 -5.92870007E-01
   2.04008160E-03  9.82038297E-01 -6.03788738E-01
   2.08008320E-03  9.80394839E-01 -6.14542666E-01
   2.12008480E-03  9.78081938E-01 -6.25125126E-01
   2.16008640E-03  9.75107681E-01 -6.35529563E-01
   2.20008800E-03  9.71480329E-01 -6.45749534E-01
   2.24008960E-03  9.67208316E-01 -6.55778712E-01
   2.28009120E-03  9.62300245E-01 -6.65610887E-01
   2.32009280E-03  9.56764890E-01 -6.75239967E-01
   2.36009440E-03  9.50611194E-01 -6.84659986E-01
   2.40009600E-03  9.43848264E-01 -6.93865099E-01
   2.44009760E-03  9.36485371E-01 -7.02849592E-01
   2.48009920E-03  9.28531947E-01 -7.11607876E-01
   2.52010080E-03  9.19997583E-01 -7.20134496E-01
   2.56010240E-03  9.10892027E-01 -7.28424130E-01
   2.60010400E-03  9.01225176E-01 -7.36471590E-01
   2.64010560E-03  8.91007082E-01 -7.44271828E-01
   2.68010720E-03  8.80247940E-01 -7.51819932E-01
   2.72010880E-03  8.68958090E-01 -7.59111133E-01
