 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 9.035556E+04, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift= 2.294590539517691E-01  (ETA=-4.148393E-01)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  7.81459068E-02 -1.74768842E-02
   8.00032001E-05  1.45267001E-01 -3.39555806E-02
   1.20004800E-04  2.07597725E-01 -5.06464979E-02
   1.60006400E-04  2.66326708E-01 -6.77287378E-02
   2.00008000E-04  3.21992498E-01 -8.52572683E-02
   2.40009600E-04  3.74898543E-01 -1.03244119E-01
   2.80011200E-04  4.25236535E-01 -1.21681660E-01
   3.20012801E-04  4.73136637E-01 -1.40551767E-01
   3.60014401E-04  5.18691867E-01 -1.59830135E-01
   4.00016001E-04  5.61971393E-01 -1.79488566E-01
   4.40017601E-04  6.03028396E-01 -1.99496285E-01
   4.80019201E-04  6.41905029E-01 -2.19820760E-01
   5.20020801E-04  6.78635693E-01 -2.40428232E-01
   5.60022401E-04  7.13249291E-01 -2.61284088E-01
   6.00024001E-04  7.45770825E-01 -2.82353113E-01
   6.40025601E-04  7.76222560E-01 -3.03599697E-01
   6.80027201E-04  8.04624893E-01 -3.24987977E-01
   7.20028801E-04  8.30997007E-01 -3.46481961E-01
   7.60030401E-04  8.55357383E-01 -3.68045627E-01
   8.00032001E-04  8.77724186E-01 -3.89643005E-01
   8.40033601E-04  8.98115583E-01 -4.11238253E-01
   8.80035201E-04  9.16549989E-01 -4.32795716E-01
   9.20036801E-04  9.33046260E-01 -4.54279990E-01
   9.60038402E-04  9.47623853E-01 -4.75655968E-01
   1.00004000E-03  9.60302955E-01 -4.96888894E-01
   1.04004160E-03  9.71104581E-01 -5.17944407E-01
   1.08004320E-03  9.80050654E-01 -5.38788584E-01
   1.12004480E-03  9.87164073E-01 -5.59387979E-01
   1.16004640E-03  9.92468756E-01 -5.79709668E-01
   1.20004800E-03  9.95989685E-01 -5.99721277E-01
   1.24004960E-03  9.97752925E-01 -6.19391025E-01
   1.28005120E-03  9.97785647E-01 -6.38687758E-01
   1.32005280E-03  9.96116139E-01 -6.57580977E-01
   1.36005440E-03  9.92773809E-01 -6.76040873E-01
   1.40005600E-03  9.87789183E-01 -6.94038360E-01
   1.44005760E-03  9.81193899E-01 -7.11545099E-01
   1.48005920E-03  9.73020695E-01 -7.28533531E-01
   1.52006080E-03  9.63303397E-01 -7.44976901E-01
   1.56006240E-03  9.52076896E-01 -7.60849288E-01
   1.60006400E-03  9.39377129E-01 -7.76125624E-01
   1.64006560E-03  9.25241052E-01 -7.90781725E-01
   1.68006720E-03  9.09706615E-01 -8.04794306E-01
   1.72006880E-03  8.92812731E-01 -8.18141011E-01
   1.76007040E-03  8.74599241E-01 -8.30800426E-01
   1.80007200E-03  8.55106887E-01 -8.42752104E-01
   1.84007360E-03  8.34377267E-01 -8.53976580E-01
   1.88007520E-03  8.12452804E-01 -8.64455390E-01
   1.92007680E-03  7.89376707E-01 -8.74171084E-01
   1.96007840E-03  7.65192925E-01 -8.83107246E-01
   2.00008000E-03  7.39946110E-01 -8.91248503E-01
   2.04008160E-03  7.13681575E-01 -8.98580538E-01
   2.08008320E-03  6.86445245E-01 -9.05090105E-01
   2.12008480E-03  6.58283618E-01 -9.10765034E-01
   2.16008640E-03  6.29243715E-01 -9.15594243E-01
   2.20008800E-03  5.99373035E-01 -9.19567747E-01
   2.24008960E-03  5.68719510E-01 -9.22676659E-01
   2.28009120E-03  5.37331455E-01 -9.24913201E-01
   2.32009280E-03  5.05257519E-01 -9.26270706E-01
   2.36009440E-03  4.72546641E-01 -9.26743620E-01
   2.40009600E-03  4.39247995E-01 -9.26327503E-01
   2.44009760E-03  4.05410947E-01 -9.25019034E-01
   2.48009920E-03  3.71085002E-01 -9.22816004E-01
   2.52010080E-03  3.36319755E-01 -9.19717319E-01
   2.56010240E-03  3.01164842E-01 -9.15722994E-01
   2.60010400E-03  2.65669892E-01 -9.10834151E-01
   2.64010560E-03  2.29884476E-01 -9.05053009E-01
   2.68010720E-03  1.93858057E-01 -8.98382885E-01
   2.72010880E-03  1.57639942E-01 -8.90828178E-01
   2.76011040E-03  1.21279236E-01 -8.82394366E-01
   2.80011200E-03  8.48247863E-02 -8.73087993E-01
   2.84011360E-03  4.83251432E-02 -8.62916657E-01
   2.88011520E-03  1.18285060E-02 -8.51889002E-01
   2.92011680E-03 -2.46173216E-02 -8.40014700E-01
   2.96011840E-03 -6.09649786E-02 -8.27304438E-01
   3.00012000E-03 -9.71675927E-02 -8.13769904E-01
   3.04012160E-03 -1.33178826E-01 -7.99423770E-01
   3.08012320E-03 -1.68952918E-01 -7.84279672E-01
   3.12012480E-03 -2.04444734E-01 -7.68352193E-01
   3.16012641E-03 -2.39609803E-01 -7.51656847E-01
   3.20012801E-03 -2.74404363E-01 -7.34210052E-01
   3.24012961E-03 -3.08785402E-01 -7.16029114E-01
   3.28013121E-03 -3.42710699E-01 -6.97132202E-01
   3.32013281E-03 -3.76138863E-01 -6.77538325E-01
   3.36013441E-03 -4.09029371E-01 -6.57267311E-01
   3.40013601E-03 -4.41342608E-01 -6.36339778E-01
   3.44013761E-03 -4.73039902E-01 -6.14777110E-01
   3.48013921E-03 -5.04083558E-01 -5.92601435E-01
   3.52014081E-03 -5.34436896E-01 -5.69835589E-01
   3.56014241E-03 -5.64064280E-01 -5.46503097E-01
   3.60014401E-03 -5.92931153E-01 -5.22628141E-01
   3.64014561E-03 -6.21004066E-01 -4.98235528E-01
   3.68014721E-03 -6.48250709E-01 -4.73350667E-01
   3.72014881E-03 -6.74639939E-01 -4.47999533E-01
   3.76015041E-03 -7.00141803E-01 -4.22208640E-01
   3.80015201E-03 -7.24727569E-01 -3.96005009E-01
   3.84015361E-03 -7.48369747E-01 -3.69416133E-01
   3.88015521E-03 -7.71042113E-01 -3.42469950E-01
   3.92015681E-03 -7.92719730E-01 -3.15194808E-01
   3.96015841E-03 -8.13378965E-01 -2.87619431E-01
   4.00016001E-03 -8.32997514E-01 -2.59772890E-01
   4.04016161E-03 -8.51554412E-01 -2.31684562E-01
   4.08016321E-03 -8.69030055E-01 -2.03384107E-01
   4.12016481E-03 -8.85406209E-01 -1.74901423E-01
   4.16016641E-03 -9.00666023E-01 -1.46266619E-01
   4.20016801E-03 -9.14794045E-01 -1.17509980E-01
   4.24016961E-03 -9.27776226E-01 -8.86619291E-02
   4.28017121E-03 -9.39599931E-01 -5.97529978E-02
   4.32017281E-03 -9.50253944E-01 -3.08137876E-02
   4.36017441E-03 -9.59728477E-01 -1.87493797E-03
   4.40017601E-03 -9.68015166E-01  2.70329091E-02
   4.44017761E-03 -9.75107082E-01  5.58791431E-02
   4.48017921E-03 -9.80998724E-01  8.46332190E-02
   4.52018081E-03 -9.85686023E-01  1.13264691E-01
   4.56018241E-03 -9.89166337E-01  1.41743249E-01
   4.60018401E-03 -9.91438448E-01  1.70038747E-01
   4.64018561E-03 -9.92502557E-01  1.98121241E-01
   4.68018721E-03 -9.92360275E-01  2.25961022E-01
   4.72018881E-03 -9.91014619E-01  2.53528645E-01
   4.76019041E-03 -9.88469995E-01  2.80794965E-01
   4.80019201E-03 -9.84732194E-01  3.07731168E-01
   4.84019361E-03 -9.79808377E-01  3.34308801E-01
   4.88019521E-03 -9.73707059E-01  3.60499806E-01
   4.92019681E-03 -9.66438095E-01  3.86276548E-01
   4.96019841E-03 -9.58012663E-01  4.11611847E-01
   5.00020001E-03 -9.48443247E-01  4.36479006E-01
   5.04020161E-03 -9.37743616E-01  4.60851840E-01
   5.08020321E-03 -9.25928803E-01  4.84704706E-01
   5.12020481E-03 -9.13015086E-01  5.08012531E-01
   5.16020641E-03 -8.99019961E-01  5.30750833E-01
   5.20020801E-03 -8.83962121E-01  5.52895758E-01
   5.24020961E-03 -8.67861425E-01  5.74424094E-01
   5.28021121E-03 -8.50738879E-01  5.95313305E-01
   5.32021281E-03 -8.32616602E-01  6.15541551E-01
   5.36021441E-03 -8.13517800E-01  6.35087710E-01
   5.40021601E-03 -7.93466734E-01  6.53931404E-01
   5.44021761E-03 -7.72488690E-01  6.72053017E-01
   5.48021921E-03 -7.50609949E-01  6.89433720E-01
   5.52022081E-03 -7.27857749E-01  7.06055487E-01
   5.56022241E-03 -7.04260259E-01  7.21901114E-01
   5.60022401E-03 -6.79846534E-01  7.36954240E-01
   5.64022561E-03 -6.54646489E-01  7.51199363E-01
   5.68022721E-03 -6.28690858E-01  7.64621854E-01
   5.72022881E-03 -6.02011158E-01  7.77207974E-01
   5.76023041E-03 -5.74639648E-01  7.88944888E-01
   5.80023201E-03 -5.46609298E-01  7.99820678E-01
   5.84023361E-03 -5.17953742E-01  8.09824355E-01
   5.88023521E-03 -4.88707243E-01  8.18945872E-01
   5.92023681E-03 -4.58904653E-01  8.27176129E-01
   5.96023841E-03 -4.28581368E-01  8.34506987E-01
   6.00024001E-03 -3.97773292E-01  8.40931276E-01
   6.04024161E-03 -3.66516793E-01  8.46442798E-01
   6.08024321E-03 -3.34848661E-01  8.51036337E-01
   6.12024481E-03 -3.02806067E-01  8.54707660E-01
   6.16024641E-03 -2.70426519E-01  8.57453525E-01
   6.20024801E-03 -2.37747821E-01  8.59271680E-01
   6.24024961E-03 -2.04808028E-01  8.60160866E-01
   6.28025121E-03 -1.71645407E-01  8.60120819E-01
   6.32025281E-03 -1.38298387E-01  8.59152267E-01
   6.36025441E-03 -1.04805524E-01  8.57256929E-01
