 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 4.759840E+01, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift=-2.092721098805178E-15
 #      Coulomb phase shift=-6.217996477604759E+00  (ETA=-5.750442E+00)
 #      Matching radius: RAD(  295)= 1.176047041881680E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  1.97658185E-04  9.08606564E-04
   8.00032001E-05  3.78153913E-04  1.70777924E-03
   1.20004800E-04  5.56242143E-04  2.46863507E-03
   1.60006400E-04  7.34596624E-04  3.20475866E-03
   2.00008000E-04  9.14392500E-04  3.92240024E-03
   2.40009600E-04  1.09627527E-03  4.62516569E-03
   2.80011200E-04  1.28064308E-03  5.31540181E-03
   3.20012801E-04  1.46775954E-03  5.99475712E-03
   3.60014401E-04  1.65780753E-03  6.66445275E-03
   4.00016001E-04  1.85091798E-03  7.32542938E-03
   4.40017601E-04  2.04718667E-03  7.97843384E-03
   4.80019201E-04  2.24668461E-03  8.62407341E-03
   5.20020801E-04  2.44946475E-03  9.26285168E-03
   5.60022401E-04  2.65556659E-03  9.89519301E-03
   6.00024001E-04  2.86501935E-03  1.05214600E-02
   6.40025601E-04  3.07784428E-03  1.11419660E-02
   6.80027201E-04  3.29405633E-03  1.17569848E-02
   7.20028801E-04  3.51366540E-03  1.23667574E-02
   7.60030401E-04  3.73667735E-03  1.29714980E-02
   8.00032001E-04  3.96309469E-03  1.35713980E-02
   8.40033601E-04  4.19291719E-03  1.41666297E-02
   8.80035201E-04  4.42614237E-03  1.47573488E-02
   9.20036801E-04  4.66276582E-03  1.53436970E-02
   9.60038402E-04  4.90278155E-03  1.59258039E-02
   1.00004000E-03  5.14618221E-03  1.65037882E-02
   1.04004160E-03  5.39295930E-03  1.70777593E-02
   1.08004320E-03  5.64310336E-03  1.76478182E-02
   1.12004480E-03  5.89660407E-03  1.82140588E-02
   1.16004640E-03  6.15345040E-03  1.87765682E-02
   1.20004800E-03  6.41363072E-03  1.93354278E-02
   1.24004960E-03  6.67713284E-03  1.98907136E-02
   1.28005120E-03  6.94394414E-03  2.04424970E-02
   1.32005280E-03  7.21405158E-03  2.09908449E-02
   1.36005440E-03  7.48744180E-03  2.15358206E-02
   1.40005600E-03  7.76410113E-03  2.20774835E-02
   1.44005760E-03  8.04401564E-03  2.26158900E-02
   1.48005920E-03  8.32717121E-03  2.31510933E-02
   1.52006080E-03  8.61355349E-03  2.36831442E-02
   1.56006240E-03  8.90314800E-03  2.42120907E-02
   1.60006400E-03  9.19594011E-03  2.47379785E-02
   1.64006560E-03  9.49191507E-03  2.52608514E-02
   1.68006720E-03  9.79105803E-03  2.57807510E-02
   1.72006880E-03  1.00933541E-02  2.62977170E-02
   1.76007040E-03  1.03987882E-02  2.68117876E-02
   1.80007200E-03  1.07073453E-02  2.73229992E-02
   1.84007360E-03  1.10190104E-02  2.78313870E-02
   1.88007520E-03  1.13337682E-02  2.83369844E-02
   1.92007680E-03  1.16516037E-02  2.88398239E-02
   1.96007840E-03  1.19725016E-02  2.93399365E-02
   2.00008000E-03  1.22964468E-02  2.98373521E-02
   2.04008160E-03  1.26234240E-02  3.03320997E-02
   2.08008320E-03  1.29534182E-02  3.08242071E-02
   2.12008480E-03  1.32864140E-02  3.13137013E-02
   2.16008640E-03  1.36223963E-02  3.18006082E-02
   2.20008800E-03  1.39613500E-02  3.22849529E-02
   2.24008960E-03  1.43032598E-02  3.27667599E-02
   2.28009120E-03  1.46481108E-02  3.32460528E-02
   2.32009280E-03  1.49958878E-02  3.37228543E-02
   2.36009440E-03  1.53465756E-02  3.41971867E-02
   2.40009600E-03  1.57001594E-02  3.46690716E-02
   2.44009760E-03  1.60566241E-02  3.51385298E-02
   2.48009920E-03  1.64159547E-02  3.56055817E-02
   2.52010080E-03  1.67781363E-02  3.60702470E-02
   2.56010240E-03  1.71431539E-02  3.65325450E-02
   2.60010400E-03  1.75109928E-02  3.69924944E-02
   2.64010560E-03  1.78816381E-02  3.74501135E-02
   2.68010720E-03  1.82550750E-02  3.79054201E-02
   2.72010880E-03  1.86312888E-02  3.83584314E-02
   2.76011040E-03  1.90102648E-02  3.88091645E-02
   2.80011200E-03  1.93919884E-02  3.92576357E-02
   2.84011360E-03  1.97764449E-02  3.97038614E-02
   2.88011520E-03  2.01636198E-02  4.01478571E-02
   2.92011680E-03  2.05534985E-02  4.05896383E-02
   2.96011840E-03  2.09460667E-02  4.10292201E-02
   3.00012000E-03  2.13413098E-02  4.14666171E-02
   3.04012160E-03  2.17392135E-02  4.19018439E-02
   3.08012320E-03  2.21397635E-02  4.23349144E-02
   3.12012480E-03  2.25429455E-02  4.27658426E-02
   3.16012641E-03  2.29487452E-02  4.31946419E-02
   3.20012801E-03  2.33571485E-02  4.36213257E-02
   3.24012961E-03  2.37681412E-02  4.40459068E-02
   3.28013121E-03  2.41817092E-02  4.44683981E-02
   3.32013281E-03  2.45978385E-02  4.48888121E-02
   3.36013441E-03  2.50165151E-02  4.53071611E-02
   3.40013601E-03  2.54377250E-02  4.57234571E-02
   3.44013761E-03  2.58614544E-02  4.61377120E-02
   3.48013921E-03  2.62876893E-02  4.65499373E-02
   3.52014081E-03  2.67164160E-02  4.69601445E-02
   3.56014241E-03  2.71476206E-02  4.73683448E-02
   3.60014401E-03  2.75812896E-02  4.77745493E-02
