 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 1.926178E+02, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-1.905236011971153E+00  (ETA=-2.875053E+00)
 #      Matching radius: RAD(  155)= 6.160246409856400E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  2.92656554E-04  1.34520348E-03
   8.00032001E-05  5.59932383E-04  2.52834897E-03
   1.20004800E-04  8.23670304E-04  3.65472983E-03
   1.60006400E-04  1.08782747E-03  4.74445939E-03
   2.00008000E-04  1.35414264E-03  5.80679177E-03
   2.40009600E-04  1.62357057E-03  6.84706587E-03
   2.80011200E-04  1.89669992E-03  7.86875632E-03
   3.20012801E-04  2.17392021E-03  8.87430389E-03
   3.60014401E-04  2.45550151E-03  9.86551649E-03
   4.00016001E-04  2.74163702E-03  1.08437868E-02
   4.40017601E-04  3.03246791E-03  1.18102205E-02
   4.80019201E-04  3.32809870E-03  1.27657165E-02
   5.20020801E-04  3.62860720E-03  1.37110203E-02
   5.60022401E-04  3.93405132E-03  1.46467602E-02
   6.00024001E-04  4.24447379E-03  1.55734727E-02
   6.40025601E-04  4.55990549E-03  1.64916217E-02
   6.80027201E-04  4.88036802E-03  1.74016123E-02
   7.20028801E-04  5.20587553E-03  1.83038013E-02
   7.60030401E-04  5.53643616E-03  1.91985055E-02
   8.00032001E-04  5.87205310E-03  2.00860082E-02
   8.40033601E-04  6.21272553E-03  2.09665642E-02
   8.80035201E-04  6.55844923E-03  2.18404040E-02
   9.20036801E-04  6.90921720E-03  2.27077372E-02
   9.60038402E-04  7.26502005E-03  2.35687553E-02
   1.00004000E-03  7.62584642E-03  2.44236340E-02
   1.04004160E-03  7.99168323E-03  2.52725351E-02
   1.08004320E-03  8.36251597E-03  2.61156079E-02
   1.12004480E-03  8.73832888E-03  2.69529911E-02
   1.16004640E-03  9.11910515E-03  2.77848137E-02
   1.20004800E-03  9.50482706E-03  2.86111958E-02
   1.24004960E-03  9.89547610E-03  2.94322499E-02
   1.28005120E-03  1.02910331E-02  3.02480813E-02
   1.32005280E-03  1.06914782E-02  3.10587892E-02
   1.36005440E-03  1.10967913E-02  3.18644667E-02
   1.40005600E-03  1.15069515E-02  3.26652018E-02
   1.44005760E-03  1.19219378E-02  3.34610777E-02
   1.48005920E-03  1.23417287E-02  3.42521732E-02
   1.52006080E-03  1.27663027E-02  3.50385630E-02
   1.56006240E-03  1.31956377E-02  3.58203181E-02
   1.60006400E-03  1.36297116E-02  3.65975061E-02
   1.64006560E-03  1.40685021E-02  3.73701914E-02
   1.68006720E-03  1.45119867E-02  3.81384355E-02
   1.72006880E-03  1.49601429E-02  3.89022971E-02
   1.76007040E-03  1.54129480E-02  3.96618324E-02
   1.80007200E-03  1.58703791E-02  4.04170952E-02
   1.84007360E-03  1.63324135E-02  4.11681373E-02
   1.88007520E-03  1.67990283E-02  4.19150082E-02
   1.92007680E-03  1.72702006E-02  4.26577555E-02
   1.96007840E-03  1.77459073E-02  4.33964252E-02
   2.00008000E-03  1.82261256E-02  4.41310613E-02
   2.04008160E-03  1.87108325E-02  4.48617065E-02
   2.08008320E-03  1.92000049E-02  4.55884018E-02
   2.12008480E-03  1.96936199E-02  4.63111868E-02
   2.16008640E-03  2.01916547E-02  4.70300999E-02
   2.20008800E-03  2.06940861E-02  4.77451782E-02
   2.24008960E-03  2.12008914E-02  4.84564574E-02
   2.28009120E-03  2.17120477E-02  4.91639725E-02
   2.32009280E-03  2.22275322E-02  4.98677570E-02
   2.36009440E-03  2.27473219E-02  5.05678436E-02
   2.40009600E-03  2.32713943E-02  5.12642640E-02
   2.44009760E-03  2.37997266E-02  5.19570490E-02
   2.48009920E-03  2.43322962E-02  5.26462286E-02
   2.52010080E-03  2.48690804E-02  5.33318318E-02
   2.56010240E-03  2.54100567E-02  5.40138870E-02
   2.60010400E-03  2.59552027E-02  5.46924217E-02
   2.64010560E-03  2.65044959E-02  5.53674627E-02
   2.68010720E-03  2.70579138E-02  5.60390363E-02
   2.72010880E-03  2.76154344E-02  5.67071679E-02
   2.76011040E-03  2.81770352E-02  5.73718824E-02
   2.80011200E-03  2.87426941E-02  5.80332040E-02
   2.84011360E-03  2.93123889E-02  5.86911566E-02
   2.88011520E-03  2.98860978E-02  5.93457632E-02
   2.92011680E-03  3.04637985E-02  5.99970466E-02
   2.96011840E-03  3.10454694E-02  6.06450287E-02
   3.00012000E-03  3.16310884E-02  6.12897313E-02
   3.04012160E-03  3.22206338E-02  6.19311755E-02
   3.08012320E-03  3.28140839E-02  6.25693821E-02
   3.12012480E-03  3.34114170E-02  6.32043714E-02
   3.16012641E-03  3.40126117E-02  6.38361632E-02
   3.20012801E-03  3.46176463E-02  6.44647771E-02
   3.24012961E-03  3.52264995E-02  6.50902321E-02
   3.28013121E-03  3.58391498E-02  6.57125469E-02
   3.32013281E-03  3.64555760E-02  6.63317400E-02
   3.36013441E-03  3.70757569E-02  6.69478294E-02
   3.40013601E-03  3.76996713E-02  6.75608327E-02
   3.44013761E-03  3.83272981E-02  6.81707674E-02
   3.48013921E-03  3.89586163E-02  6.87776505E-02
   3.52014081E-03  3.95936049E-02  6.93814987E-02
   3.56014241E-03  4.02322432E-02  6.99823286E-02
   3.60014401E-03  4.08745102E-02  7.05801563E-02
   3.64014561E-03  4.15203852E-02  7.11749978E-02
   3.68014721E-03  4.21698475E-02  7.17668687E-02
   3.72014881E-03  4.28228767E-02  7.23557844E-02
   3.76015041E-03  4.34794520E-02  7.29417601E-02
   3.80015201E-03  4.41395531E-02  7.35248107E-02
   3.84015361E-03  4.48031596E-02  7.41049509E-02
   3.88015521E-03  4.54702511E-02  7.46821952E-02
   3.92015681E-03  4.61408074E-02  7.52565578E-02
   3.96015841E-03  4.68148083E-02  7.58280528E-02
   4.00016001E-03  4.74922336E-02  7.63966939E-02
   4.04016161E-03  4.81730634E-02  7.69624949E-02
   4.08016321E-03  4.88572775E-02  7.75254691E-02
   4.12016481E-03  4.95448561E-02  7.80856298E-02
   4.16016641E-03  5.02357794E-02  7.86429901E-02
   4.20016801E-03  5.09300274E-02  7.91975628E-02
   4.24016961E-03  5.16275806E-02  7.97493608E-02
   4.28017121E-03  5.23284192E-02  8.02983964E-02
   4.32017281E-03  5.30325236E-02  8.08446822E-02
   4.36017441E-03  5.37398743E-02  8.13882303E-02
   4.40017601E-03  5.44504519E-02  8.19290529E-02
   4.44017761E-03  5.51642368E-02  8.24671617E-02
   4.48017921E-03  5.58812099E-02  8.30025687E-02
   4.52018081E-03  5.66013517E-02  8.35352854E-02
   4.56018241E-03  5.73246431E-02  8.40653234E-02
   4.60018401E-03  5.80510650E-02  8.45926939E-02
   4.64018561E-03  5.87805982E-02  8.51174083E-02
   4.68018721E-03  5.95132236E-02  8.56394775E-02
   4.72018881E-03  6.02489224E-02  8.61589126E-02
   4.76019041E-03  6.09876757E-02  8.66757243E-02
   4.80019201E-03  6.17294645E-02  8.71899235E-02
   4.84019361E-03  6.24742701E-02  8.77015207E-02
   4.88019521E-03  6.32220738E-02  8.82105264E-02
   4.92019681E-03  6.39728569E-02  8.87169510E-02
   4.96019841E-03  6.47266008E-02  8.92208047E-02
   5.00020001E-03  6.54832869E-02  8.97220977E-02
   5.04020161E-03  6.62428968E-02  9.02208401E-02
   5.08020321E-03  6.70054121E-02  9.07170418E-02
   5.12020481E-03  6.77708143E-02  9.12107126E-02
   5.16020641E-03  6.85390852E-02  9.17018623E-02
   5.20020801E-03  6.93102065E-02  9.21905006E-02
   5.24020961E-03  7.00841600E-02  9.26766370E-02
   5.28021121E-03  7.08609276E-02  9.31602809E-02
   5.32021281E-03  7.16404912E-02  9.36414419E-02
   5.36021441E-03  7.24228328E-02  9.41201291E-02
   5.40021601E-03  7.32079344E-02  9.45963517E-02
   5.44021761E-03  7.39957781E-02  9.50701190E-02
   5.48021921E-03  7.47863460E-02  9.55414398E-02
   5.52022081E-03  7.55796204E-02  9.60103233E-02
   5.56022241E-03  7.63755835E-02  9.64767781E-02
   5.60022401E-03  7.71742176E-02  9.69408133E-02
   5.64022561E-03  7.79755051E-02  9.74024374E-02
   5.68022721E-03  7.87794284E-02  9.78616591E-02
   5.72022881E-03  7.95859700E-02  9.83184870E-02
   5.76023041E-03  8.03951124E-02  9.87729296E-02
   5.80023201E-03  8.12068382E-02  9.92249954E-02
   5.84023361E-03  8.20211300E-02  9.96746926E-02
   5.88023521E-03  8.28379706E-02  1.00122030E-01
   5.92023681E-03  8.36573427E-02  1.00567015E-01
   5.96023841E-03  8.44792290E-02  1.01009656E-01
   6.00024001E-03  8.53036125E-02  1.01449961E-01
   6.04024161E-03  8.61304760E-02  1.01887939E-01
   6.08024321E-03  8.69598025E-02  1.02323597E-01
   6.12024481E-03  8.77915749E-02  1.02756944E-01
   6.16024641E-03  8.86257765E-02  1.03187986E-01
   6.20024801E-03  8.94623902E-02  1.03616732E-01
   6.24024961E-03  9.03013992E-02  1.04043190E-01
   6.28025121E-03  9.11427868E-02  1.04467367E-01
   6.32025281E-03  9.19865362E-02  1.04889270E-01
   6.36025441E-03  9.28326307E-02  1.05308909E-01
   6.40025601E-03  9.36810536E-02  1.05726289E-01
   6.44025761E-03  9.45317885E-02  1.06141419E-01
   6.48025921E-03  9.53848187E-02  1.06554305E-01
   6.52026081E-03  9.62401279E-02  1.06964956E-01
   6.56026241E-03  9.70976994E-02  1.07373378E-01
   6.60026401E-03  9.79575170E-02  1.07779579E-01
   6.64026561E-03  9.88195644E-02  1.08183565E-01
   6.68026721E-03  9.96838251E-02  1.08585345E-01
   6.72026881E-03  1.00550283E-01  1.08984925E-01
   6.76027041E-03  1.01418922E-01  1.09382313E-01
   6.80027201E-03  1.02289726E-01  1.09777515E-01
   6.84027361E-03  1.03162678E-01  1.10170538E-01
   6.88027521E-03  1.04037764E-01  1.10561389E-01
   6.92027681E-03  1.04914966E-01  1.10950075E-01
   6.96027841E-03  1.05794268E-01  1.11336604E-01
   7.00028001E-03  1.06675656E-01  1.11720981E-01
   7.04028161E-03  1.07559113E-01  1.12103213E-01
