 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 3.369288E+02, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift=-1.169910502859402E+00  (ETA=-2.186188E+00)
 #      Matching radius: RAD(  139)= 5.520220808832400E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  3.50171134E-04  1.60945518E-03
   8.00032001E-05  6.70009699E-04  3.02497040E-03
   1.20004800E-04  9.85646819E-04  4.37252721E-03
   1.60006400E-04  1.30181538E-03  5.67619136E-03
   2.00008000E-04  1.62059441E-03  6.94703555E-03
   2.40009600E-04  1.94312515E-03  8.19144783E-03
   2.80011200E-04  2.27011091E-03  9.41358563E-03
   3.20012801E-04  2.60201687E-03  1.06163693E-02
   3.60014401E-04  2.93916531E-03  1.18019618E-02
   4.00016001E-04  3.28178660E-03  1.29720296E-02
   4.40017601E-04  3.63004889E-03  1.41278953E-02
   4.80019201E-04  3.98407651E-03  1.52706345E-02
   5.20020801E-04  4.34396187E-03  1.64011389E-02
   5.60022401E-04  4.70977357E-03  1.75201599E-02
   6.00024001E-04  5.08156203E-03  1.86283396E-02
   6.40025601E-04  5.45936359E-03  1.97262327E-02
   6.80027201E-04  5.84320344E-03  2.08143236E-02
   7.20028801E-04  6.23309787E-03  2.18930391E-02
   7.60030401E-04  6.62905598E-03  2.29627581E-02
   8.00032001E-04  7.03108100E-03  2.40238192E-02
   8.40033601E-04  7.43917130E-03  2.50765271E-02
   8.80035201E-04  7.85332126E-03  2.61211573E-02
   9.20036801E-04  8.27352188E-03  2.71579605E-02
   9.60038402E-04  8.69976135E-03  2.81871656E-02
   1.00004000E-03  9.13202545E-03  2.92089824E-02
   1.04004160E-03  9.57029797E-03  3.02236043E-02
   1.08004320E-03  1.00145609E-02  3.12312099E-02
   1.12004480E-03  1.04647949E-02  3.22319648E-02
   1.16004640E-03  1.09209792E-02  3.32260230E-02
   1.20004800E-03  1.13830921E-02  3.42135281E-02
   1.24004960E-03  1.18511108E-02  3.51946144E-02
   1.28005120E-03  1.23250117E-02  3.61694077E-02
   1.32005280E-03  1.28047707E-02  3.71380263E-02
   1.36005440E-03  1.32903628E-02  3.81005816E-02
   1.40005600E-03  1.37817629E-02  3.90571786E-02
