 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 4.456142E+02, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 6.975736996017263E-16
 #      Coulomb phase shift=-9.150208710706185E-01  (ETA=-1.909051E+00)
 #      Matching radius: RAD(  118)= 4.680187207488300E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  3.86204207E-04  1.77497426E-03
   8.00032001E-05  7.38984583E-04  3.33602416E-03
   1.20004800E-04  1.08715755E-03  4.82209101E-03
   1.60006400E-04  1.43594138E-03  6.25971667E-03
   2.00008000E-04  1.78762786E-03  7.66111314E-03
   2.40009600E-04  2.14347468E-03  9.03332575E-03
   2.80011200E-04  2.50425670E-03  1.03809397E-02
   3.20012801E-04  2.87048619E-03  1.17071756E-02
   3.60014401E-04  3.24251787E-03  1.30144192E-02
   4.00016001E-04  3.62060516E-03  1.43045081E-02
   4.40017601E-04  4.00493290E-03  1.55789008E-02
   4.80019201E-04  4.39563757E-03  1.68387836E-02
   5.20020801E-04  4.79282051E-03  1.80851397E-02
   5.60022401E-04  5.19655682E-03  1.93187978E-02
   6.00024001E-04  5.60690154E-03  2.05404657E-02
   6.40025601E-04  6.02389420E-03  2.17507552E-02
   6.80027201E-04  6.44756205E-03  2.29502002E-02
   7.20028801E-04  6.87792252E-03  2.41392714E-02
   7.60030401E-04  7.31498513E-03  2.53183863E-02
   8.00032001E-04  7.75875292E-03  2.64879183E-02
   8.40033601E-04  8.20922360E-03  2.76482031E-02
   8.80035201E-04  8.66639045E-03  2.87995446E-02
   9.20036801E-04  9.13024304E-03  2.99422190E-02
   9.60038402E-04  9.60076785E-03  3.10764784E-02
   1.00004000E-03  1.00779487E-02  3.22025542E-02
   1.04004160E-03  1.05617672E-02  3.33206594E-02
   1.08004320E-03  1.10522031E-02  3.44309907E-02
   1.12004480E-03  1.15492345E-02  3.55337307E-02
   1.16004640E-03  1.20528380E-02  3.66290490E-02
   1.20004800E-03  1.25629891E-02  3.77171037E-02
   1.24004960E-03  1.30796622E-02  3.87980428E-02
   1.28005120E-03  1.36028310E-02  3.98720048E-02
   1.32005280E-03  1.41324682E-02  4.09391200E-02
   1.36005440E-03  1.46685460E-02  4.19995110E-02
   1.40005600E-03  1.52110358E-02  4.30532934E-02
   1.44005760E-03  1.57599089E-02  4.41005765E-02
   1.48005920E-03  1.63151357E-02  4.51414638E-02
   1.52006080E-03  1.68766865E-02  4.61760534E-02
   1.56006240E-03  1.74445313E-02  4.72044386E-02
   1.60006400E-03  1.80186398E-02  4.82267081E-02
   1.64006560E-03  1.85989815E-02  4.92429464E-02
   1.68006720E-03  1.91855255E-02  5.02532343E-02
   1.72006880E-03  1.97782409E-02  5.12576487E-02
   1.76007040E-03  2.03770968E-02  5.22562634E-02
   1.80007200E-03  2.09820619E-02  5.32491491E-02
   1.84007360E-03  2.15931050E-02  5.42363733E-02
   1.88007520E-03  2.22101949E-02  5.52180011E-02
   1.92007680E-03  2.28333001E-02  5.61940950E-02
   1.96007840E-03  2.34623892E-02  5.71647151E-02
