 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 5.893589E+02, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift=-6.975736996017263E-16
 #      Coulomb phase shift=-7.144109661618003E-01  (ETA=-1.669254E+00)
 #      Matching radius: RAD(   94)= 3.720148805952200E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  4.28922432E-04  1.97116401E-03
   8.00032001E-05  8.20768064E-04  3.70470064E-03
   1.20004800E-04  1.20753539E-03  5.35491388E-03
   1.60006400E-04  1.59501746E-03  6.95128092E-03
   2.00008000E-04  1.98575782E-03  8.50736440E-03
   2.40009600E-04  2.38115187E-03  1.00309889E-02
   2.80011200E-04  2.78205890E-03  1.15272466E-02
   3.20012801E-04  3.18904673E-03  1.29997143E-02
   3.60014401E-04  3.60250827E-03  1.44510415E-02
   4.00016001E-04  4.02272400E-03  1.58832686E-02
   4.40017601E-04  4.44989824E-03  1.72980157E-02
   4.80019201E-04  4.88418170E-03  1.86965997E-02
   5.20020801E-04  5.32568605E-03  2.00801126E-02
   5.60022401E-04  5.77449383E-03  2.14494744E-02
   6.00024001E-04  6.23066538E-03  2.28054709E-02
   6.40025601E-04  6.69424378E-03  2.41487812E-02
   6.80027201E-04  7.16525849E-03  2.54799983E-02
   7.20028801E-04  7.64372811E-03  2.67996445E-02
   7.60030401E-04  8.12966243E-03  2.81081832E-02
   8.00032001E-04  8.62306407E-03  2.94060288E-02
   8.40033601E-04  9.12392972E-03  3.06935540E-02
   8.80035201E-04  9.63225118E-03  3.19710959E-02
   9.20036801E-04  1.01480161E-02  3.32389608E-02
   9.60038402E-04  1.06712088E-02  3.44974287E-02
   1.00004000E-03  1.12018106E-02  3.57467562E-02
   1.04004160E-03  1.17398002E-02  3.69871794E-02
   1.08004320E-03  1.22851544E-02  3.82189167E-02
   1.12004480E-03  1.28378483E-02  3.94421705E-02
   1.16004640E-03  1.33978551E-02  4.06571287E-02
   1.20004800E-03  1.39651469E-02  4.18639669E-02
   1.24004960E-03  1.45396946E-02  4.30628489E-02
   1.28005120E-03  1.51214682E-02  4.42539284E-02
