 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 7.794723E+02, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-5.560653684943038E-01  (ETA=-1.462092E+00)
 #      Matching radius: RAD(   85)= 3.360134405376200E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  4.80248851E-04  2.20683194E-03
   8.00032001E-05  9.19049384E-04  4.14754082E-03
   1.20004800E-04  1.35222124E-03  5.99488676E-03
   1.60006400E-04  1.78624713E-03  7.78187358E-03
   2.00008000E-04  2.22397241E-03  9.52368671E-03
   2.40009600E-04  2.66695729E-03  1.12290869E-02
   2.80011200E-04  3.11616206E-03  1.29037755E-02
   3.20012801E-04  3.57222082E-03  1.45517572E-02
   3.60014401E-04  4.03557193E-03  1.61759981E-02
   4.00016001E-04  4.50652798E-03  1.77787829E-02
   4.40017601E-04  4.98531636E-03  1.93619248E-02
   4.80019201E-04  5.47210445E-03  2.09268983E-02
   5.20020801E-04  5.96701601E-03  2.24749256E-02
   5.60022401E-04  6.47014221E-03  2.40070363E-02
   6.00024001E-04  6.98154936E-03  2.55241101E-02
   6.40025601E-04  7.50128450E-03  2.70269069E-02
   6.80027201E-04  8.02937945E-03  2.85160902E-02
   7.20028801E-04  8.56585386E-03  2.99922443E-02
   7.60030401E-04  9.11071754E-03  3.14558879E-02
   8.00032001E-04  9.66397230E-03  3.29074843E-02
   8.40033601E-04  1.02256133E-02  3.43474505E-02
   8.80035201E-04  1.07956303E-02  3.57761635E-02
   9.20036801E-04  1.13740083E-02  3.71939659E-02
   9.60038402E-04  1.19607286E-02  3.86011706E-02
   1.00004000E-03  1.25557693E-02  3.99980645E-02
   1.04004160E-03  1.31591055E-02  4.13849116E-02
   1.08004320E-03  1.37707101E-02  4.27619560E-02
   1.12004480E-03  1.43905540E-02  4.41294237E-02
   1.16004640E-03  1.50186063E-02  4.54875249E-02
   1.20004800E-03  1.56548346E-02  4.68364555E-02
   1.24004960E-03  1.62992054E-02  4.81763986E-02
   1.28005120E-03  1.69516839E-02  4.95075259E-02
   1.32005280E-03  1.76122344E-02  5.08299985E-02
   1.36005440E-03  1.82808203E-02  5.21439680E-02
   1.40005600E-03  1.89574046E-02  5.34495775E-02
   1.44005760E-03  1.96419492E-02  5.47469622E-02
   1.48005920E-03  2.03344159E-02  5.60362499E-02
   1.52006080E-03  2.10347658E-02  5.73175619E-02
   1.56006240E-03  2.17429597E-02  5.85910134E-02
   1.60006400E-03  2.24589582E-02  5.98567141E-02
   1.64006560E-03  2.31827212E-02  6.11147682E-02
   1.68006720E-03  2.39142088E-02  6.23652753E-02
   1.72006880E-03  2.46533806E-02  6.36083306E-02
   1.76007040E-03  2.54001963E-02  6.48440249E-02
   1.80007200E-03  2.61546152E-02  6.60724452E-02
   1.84007360E-03  2.69165967E-02  6.72936752E-02
   1.88007520E-03  2.76860999E-02  6.85077948E-02
   1.92007680E-03  2.84630841E-02  6.97148810E-02
   1.96007840E-03  2.92475083E-02  7.09150078E-02
   2.00008000E-03  3.00393316E-02  7.21082463E-02
   2.04008160E-03  3.08385131E-02  7.32946652E-02
   2.08008320E-03  3.16450118E-02  7.44743307E-02
   2.12008480E-03  3.24587868E-02  7.56473064E-02
   2.16008640E-03  3.32797973E-02  7.68136542E-02
   2.20008800E-03  3.41080023E-02  7.79734336E-02
   2.24008960E-03  3.49433610E-02  7.91267023E-02
   2.28009120E-03  3.57858327E-02  8.02735160E-02
   2.32009280E-03  3.66353766E-02  8.14139289E-02
   2.36009440E-03  3.74919520E-02  8.25479934E-02
   2.40009600E-03  3.83555185E-02  8.36757604E-02
   2.44009760E-03  3.92260353E-02  8.47972791E-02
   2.48009920E-03  4.01034623E-02  8.59125976E-02
   2.52010080E-03  4.09877588E-02  8.70217624E-02
   2.56010240E-03  4.18788848E-02  8.81248189E-02
   2.60010400E-03  4.27768000E-02  8.92218111E-02
   2.64010560E-03  4.36814643E-02  9.03127821E-02
   2.68010720E-03  4.45928378E-02  9.13977735E-02
   2.72010880E-03  4.55108805E-02  9.24768262E-02
   2.76011040E-03  4.64355526E-02  9.35499799E-02
   2.80011200E-03  4.73668144E-02  9.46172733E-02
   2.84011360E-03  4.83046264E-02  9.56787443E-02
   2.88011520E-03  4.92489490E-02  9.67344298E-02
   2.92011680E-03  5.01997429E-02  9.77843658E-02
   2.96011840E-03  5.11569688E-02  9.88285878E-02
   3.00012000E-03  5.21205874E-02  9.98671300E-02
   3.04012160E-03  5.30905598E-02  1.00900026E-01
   3.08012320E-03  5.40668470E-02  1.01927310E-01
   3.12012480E-03  5.50494100E-02  1.02949012E-01
   3.16012641E-03  5.60382103E-02  1.03965166E-01
   3.20012801E-03  5.70332091E-02  1.04975801E-01
   3.24012961E-03  5.80343679E-02  1.05980949E-01
   3.28013121E-03  5.90416484E-02  1.06980639E-01
   3.32013281E-03  6.00550122E-02  1.07974900E-01
   3.36013441E-03  6.10744210E-02  1.08963761E-01
   3.40013601E-03  6.20998370E-02  1.09947249E-01
   3.44013761E-03  6.31312220E-02  1.10925394E-01
   3.48013921E-03  6.41685382E-02  1.11898220E-01
   3.52014081E-03  6.52117479E-02  1.12865756E-01
   3.56014241E-03  6.62608134E-02  1.13828028E-01
   3.60014401E-03  6.73156972E-02  1.14785060E-01
   3.64014561E-03  6.83763619E-02  1.15736878E-01
   3.68014721E-03  6.94427701E-02  1.16683507E-01
   3.72014881E-03  7.05148847E-02  1.17624972E-01
   3.76015041E-03  7.15926686E-02  1.18561296E-01
   3.80015201E-03  7.26760847E-02  1.19492503E-01
   3.84015361E-03  7.37650963E-02  1.20418617E-01
   3.88015521E-03  7.48596665E-02  1.21339659E-01
   3.92015681E-03  7.59597587E-02  1.22255653E-01
   3.96015841E-03  7.70653363E-02  1.23166622E-01
   4.00016001E-03  7.81763629E-02  1.24072586E-01
   4.04016161E-03  7.92928022E-02  1.24973567E-01
   4.08016321E-03  8.04146178E-02  1.25869587E-01
   4.12016481E-03  8.15417737E-02  1.26760667E-01
   4.16016641E-03  8.26742339E-02  1.27646826E-01
   4.20016801E-03  8.38119624E-02  1.28528087E-01
   4.24016961E-03  8.49549234E-02  1.29404468E-01
   4.28017121E-03  8.61030812E-02  1.30275990E-01
   4.32017281E-03  8.72564002E-02  1.31142672E-01
   4.36017441E-03  8.84148448E-02  1.32004533E-01
   4.40017601E-03  8.95783798E-02  1.32861593E-01
   4.44017761E-03  9.07469697E-02  1.33713871E-01
   4.48017921E-03  9.19205794E-02  1.34561384E-01
   4.52018081E-03  9.30991737E-02  1.35404152E-01
   4.56018241E-03  9.42827177E-02  1.36242192E-01
   4.60018401E-03  9.54711765E-02  1.37075523E-01
   4.64018561E-03  9.66645153E-02  1.37904162E-01
   4.68018721E-03  9.78626993E-02  1.38728127E-01
   4.72018881E-03  9.90656940E-02  1.39547435E-01
   4.76019041E-03  1.00273465E-01  1.40362104E-01
   4.80019201E-03  1.01485977E-01  1.41172149E-01
   4.84019361E-03  1.02703198E-01  1.41977589E-01
   4.88019521E-03  1.03925091E-01  1.42778439E-01
   4.92019681E-03  1.05151623E-01  1.43574716E-01
   4.96019841E-03  1.06382761E-01  1.44366436E-01
   5.00020001E-03  1.07618469E-01  1.45153615E-01
   5.04020161E-03  1.08858715E-01  1.45936270E-01
   5.08020321E-03  1.10103465E-01  1.46714416E-01
   5.12020481E-03  1.11352684E-01  1.47488068E-01
   5.16020641E-03  1.12606340E-01  1.48257242E-01
   5.20020801E-03  1.13864399E-01  1.49021953E-01
   5.24020961E-03  1.15126828E-01  1.49782217E-01
   5.28021121E-03  1.16393593E-01  1.50538048E-01
   5.32021281E-03  1.17664661E-01  1.51289461E-01
   5.36021441E-03  1.18939999E-01  1.52036471E-01
   5.40021601E-03  1.20219574E-01  1.52779093E-01
   5.44021761E-03  1.21503353E-01  1.53517341E-01
   5.48021921E-03  1.22791303E-01  1.54251229E-01
   5.52022081E-03  1.24083393E-01  1.54980772E-01
   5.56022241E-03  1.25379588E-01  1.55705984E-01
   5.60022401E-03  1.26679857E-01  1.56426878E-01
   5.64022561E-03  1.27984166E-01  1.57143468E-01
   5.68022721E-03  1.29292485E-01  1.57855769E-01
   5.72022881E-03  1.30604779E-01  1.58563794E-01
   5.76023041E-03  1.31921018E-01  1.59267556E-01
   5.80023201E-03  1.33241169E-01  1.59967068E-01
   5.84023361E-03  1.34565200E-01  1.60662345E-01
   5.88023521E-03  1.35893079E-01  1.61353399E-01
   5.92023681E-03  1.37224774E-01  1.62040243E-01
   5.96023841E-03  1.38560254E-01  1.62722891E-01
   6.00024001E-03  1.39899487E-01  1.63401355E-01
   6.04024161E-03  1.41242441E-01  1.64075648E-01
   6.08024321E-03  1.42589085E-01  1.64745782E-01
   6.12024481E-03  1.43939387E-01  1.65411771E-01
   6.16024641E-03  1.45293316E-01  1.66073627E-01
   6.20024801E-03  1.46650841E-01  1.66731362E-01
   6.24024961E-03  1.48011930E-01  1.67384989E-01
   6.28025121E-03  1.49376553E-01  1.68034520E-01
   6.32025281E-03  1.50744679E-01  1.68679966E-01
   6.36025441E-03  1.52116276E-01  1.69321341E-01
   6.40025601E-03  1.53491314E-01  1.69958656E-01
   6.44025761E-03  1.54869762E-01  1.70591924E-01
   6.48025921E-03  1.56251590E-01  1.71221155E-01
   6.52026081E-03  1.57636766E-01  1.71846362E-01
   6.56026241E-03  1.59025261E-01  1.72467557E-01
   6.60026401E-03  1.60417043E-01  1.73084751E-01
   6.64026561E-03  1.61812083E-01  1.73697955E-01
   6.68026721E-03  1.63210350E-01  1.74307182E-01
   6.72026881E-03  1.64611814E-01  1.74912442E-01
   6.76027041E-03  1.66016446E-01  1.75513747E-01
   6.80027201E-03  1.67424214E-01  1.76111108E-01
   6.84027361E-03  1.68835089E-01  1.76704537E-01
   6.88027521E-03  1.70249041E-01  1.77294045E-01
   6.92027681E-03  1.71666041E-01  1.77879642E-01
   6.96027841E-03  1.73086058E-01  1.78461340E-01
   7.00028001E-03  1.74509064E-01  1.79039149E-01
   7.04028161E-03  1.75935028E-01  1.79613081E-01
   7.08028321E-03  1.77363920E-01  1.80183147E-01
   7.12028481E-03  1.78795713E-01  1.80749357E-01
   7.16028641E-03  1.80230376E-01  1.81311721E-01
   7.20028801E-03  1.81667880E-01  1.81870252E-01
   7.24028961E-03  1.83108195E-01  1.82424958E-01
   7.28029121E-03  1.84551294E-01  1.82975852E-01
   7.32029281E-03  1.85997146E-01  1.83522942E-01
   7.36029441E-03  1.87445723E-01  1.84066240E-01
   7.40029601E-03  1.88896996E-01  1.84605757E-01
   7.44029761E-03  1.90350937E-01  1.85141501E-01
   7.48029921E-03  1.91807516E-01  1.85673485E-01
   7.52030081E-03  1.93266704E-01  1.86201717E-01
   7.56030241E-03  1.94728474E-01  1.86726209E-01
   7.60030401E-03  1.96192797E-01  1.87246970E-01
   7.64030561E-03  1.97659645E-01  1.87764010E-01
   7.68030721E-03  1.99128988E-01  1.88277340E-01
   7.72030881E-03  2.00600799E-01  1.88786969E-01
   7.76031041E-03  2.02075050E-01  1.89292908E-01
   7.80031201E-03  2.03551712E-01  1.89795165E-01
   7.84031361E-03  2.05030758E-01  1.90293752E-01
   7.88031521E-03  2.06512159E-01  1.90788678E-01
   7.92031681E-03  2.07995888E-01  1.91279953E-01
   7.96031841E-03  2.09481917E-01  1.91767586E-01
   8.00032001E-03  2.10970217E-01  1.92251588E-01
   8.04032161E-03  2.12460763E-01  1.92731967E-01
   8.08032321E-03  2.13953524E-01  1.93208733E-01
   8.12032481E-03  2.15448475E-01  1.93681897E-01
   8.16032641E-03  2.16945588E-01  1.94151467E-01
   8.20032801E-03  2.18444835E-01  1.94617453E-01
   8.24032961E-03  2.19946190E-01  1.95079864E-01
   8.28033121E-03  2.21449624E-01  1.95538711E-01
   8.32033281E-03  2.22955110E-01  1.95994001E-01
   8.36033441E-03  2.24462623E-01  1.96445745E-01
   8.40033601E-03  2.25972133E-01  1.96893952E-01
   8.44033761E-03  2.27483616E-01  1.97338631E-01
   8.48033921E-03  2.28997043E-01  1.97779791E-01
   8.52034081E-03  2.30512387E-01  1.98217442E-01
   8.56034241E-03  2.32029623E-01  1.98651592E-01
   8.60034401E-03  2.33548723E-01  1.99082252E-01
   8.64034561E-03  2.35069661E-01  1.99509429E-01
   8.68034721E-03  2.36592410E-01  1.99933133E-01
   8.72034881E-03  2.38116944E-01  2.00353373E-01
   8.76035041E-03  2.39643236E-01  2.00770157E-01
   8.80035201E-03  2.41171261E-01  2.01183496E-01
   8.84035361E-03  2.42700990E-01  2.01593398E-01
   8.88035521E-03  2.44232400E-01  2.01999871E-01
   8.92035681E-03  2.45765463E-01  2.02402924E-01
   8.96035841E-03  2.47300153E-01  2.02802568E-01
   9.00036001E-03  2.48836445E-01  2.03198809E-01
   9.04036161E-03  2.50374312E-01  2.03591657E-01
   9.08036321E-03  2.51913728E-01  2.03981121E-01
   9.12036481E-03  2.53454668E-01  2.04367209E-01
   9.16036641E-03  2.54997107E-01  2.04749930E-01
   9.20036801E-03  2.56541018E-01  2.05129293E-01
   9.24036961E-03  2.58086375E-01  2.05505306E-01
   9.28037121E-03  2.59633154E-01  2.05877979E-01
   9.32037281E-03  2.61181329E-01  2.06247318E-01
   9.36037441E-03  2.62730874E-01  2.06613334E-01
   9.40037602E-03  2.64281764E-01  2.06976034E-01
   9.44037762E-03  2.65833974E-01  2.07335427E-01
   9.48037922E-03  2.67387479E-01  2.07691522E-01
   9.52038082E-03  2.68942253E-01  2.08044327E-01
   9.56038242E-03  2.70498272E-01  2.08393850E-01
   9.60038402E-03  2.72055510E-01  2.08740099E-01
   9.64038562E-03  2.73613943E-01  2.09083084E-01
   9.68038722E-03  2.75173546E-01  2.09422812E-01
   9.72038882E-03  2.76734293E-01  2.09759292E-01
   9.76039042E-03  2.78296161E-01  2.10092532E-01
   9.80039202E-03  2.79859124E-01  2.10422540E-01
   9.84039362E-03  2.81423158E-01  2.10749324E-01
   9.88039522E-03  2.82988239E-01  2.11072893E-01
   9.92039682E-03  2.84554342E-01  2.11393256E-01
   9.96039842E-03  2.86121442E-01  2.11710419E-01
   1.00004000E-02  2.87689515E-01  2.12024391E-01
   1.00404016E-02  2.89258537E-01  2.12335180E-01
   1.00804032E-02  2.90828484E-01  2.12642795E-01
   1.01204048E-02  2.92399332E-01  2.12947244E-01
   1.01604064E-02  2.93971056E-01  2.13248534E-01
   1.02004080E-02  2.95543632E-01  2.13546673E-01
   1.02404096E-02  2.97117038E-01  2.13841670E-01
   1.02804112E-02  2.98691247E-01  2.14133533E-01
   1.03204128E-02  3.00266238E-01  2.14422269E-01
   1.03604144E-02  3.01841986E-01  2.14707887E-01
   1.04004160E-02  3.03418467E-01  2.14990394E-01
   1.04404176E-02  3.04995657E-01  2.15269798E-01
   1.04804192E-02  3.06573534E-01  2.15546108E-01
   1.05204208E-02  3.08152074E-01  2.15819331E-01
   1.05604224E-02  3.09731253E-01  2.16089474E-01
   1.06004240E-02  3.11311047E-01  2.16356546E-01
   1.06404256E-02  3.12891434E-01  2.16620555E-01
   1.06804272E-02  3.14472391E-01  2.16881508E-01
   1.07204288E-02  3.16053893E-01  2.17139414E-01
   1.07604304E-02  3.17635918E-01  2.17394279E-01
   1.08004320E-02  3.19218444E-01  2.17646111E-01
   1.08404336E-02  3.20801446E-01  2.17894919E-01
   1.08804352E-02  3.22384902E-01  2.18140710E-01
   1.09204368E-02  3.23968789E-01  2.18383492E-01
   1.09604384E-02  3.25553084E-01  2.18623272E-01
   1.10004400E-02  3.27137765E-01  2.18860058E-01
   1.10404416E-02  3.28722808E-01  2.19093858E-01
   1.10804432E-02  3.30308192E-01  2.19324678E-01
   1.11204448E-02  3.31893893E-01  2.19552528E-01
   1.11604464E-02  3.33479889E-01  2.19777414E-01
   1.12004480E-02  3.35066158E-01  2.19999344E-01
   1.12404496E-02  3.36652677E-01  2.20218325E-01
   1.12804512E-02  3.38239423E-01  2.20434365E-01
   1.13204528E-02  3.39826376E-01  2.20647472E-01
   1.13604544E-02  3.41413512E-01  2.20857653E-01
   1.14004560E-02  3.43000809E-01  2.21064915E-01
   1.14404576E-02  3.44588245E-01  2.21269266E-01
   1.14804592E-02  3.46175798E-01  2.21470714E-01
   1.15204608E-02  3.47763447E-01  2.21669265E-01
   1.15604624E-02  3.49351169E-01  2.21864927E-01
   1.16004640E-02  3.50938942E-01  2.22057708E-01
   1.16404656E-02  3.52526745E-01  2.22247615E-01
   1.16804672E-02  3.54114556E-01  2.22434656E-01
   1.17204688E-02  3.55702353E-01  2.22618837E-01
   1.17604704E-02  3.57290115E-01  2.22800166E-01
   1.18004720E-02  3.58877819E-01  2.22978650E-01
   1.18404736E-02  3.60465446E-01  2.23154297E-01
   1.18804752E-02  3.62052973E-01  2.23327113E-01
   1.19204768E-02  3.63640378E-01  2.23497107E-01
   1.19604784E-02  3.65227642E-01  2.23664286E-01
   1.20004800E-02  3.66814741E-01  2.23828656E-01
   1.20404816E-02  3.68401656E-01  2.23990225E-01
   1.20804832E-02  3.69988364E-01  2.24149000E-01
   1.21204848E-02  3.71574846E-01  2.24304988E-01
   1.21604864E-02  3.73161079E-01  2.24458197E-01
   1.22004880E-02  3.74747044E-01  2.24608634E-01
   1.22404896E-02  3.76332718E-01  2.24756305E-01
   1.22804912E-02  3.77918082E-01  2.24901219E-01
   1.23204928E-02  3.79503114E-01  2.25043382E-01
   1.23604944E-02  3.81087794E-01  2.25182800E-01
   1.24004960E-02  3.82672101E-01  2.25319483E-01
   1.24404976E-02  3.84256015E-01  2.25453435E-01
   1.24804992E-02  3.85839515E-01  2.25584666E-01
   1.25205008E-02  3.87422580E-01  2.25713181E-01
   1.25605024E-02  3.89005190E-01  2.25838987E-01
   1.26005040E-02  3.90587325E-01  2.25962092E-01
   1.26405056E-02  3.92168964E-01  2.26082503E-01
   1.26805072E-02  3.93750088E-01  2.26200227E-01
   1.27205088E-02  3.95330675E-01  2.26315271E-01
   1.27605104E-02  3.96910707E-01  2.26427641E-01
   1.28005120E-02  3.98490162E-01  2.26537345E-01
   1.28405136E-02  4.00069021E-01  2.26644390E-01
   1.28805152E-02  4.01647264E-01  2.26748782E-01
   1.29205168E-02  4.03224870E-01  2.26850529E-01
   1.29605184E-02  4.04801821E-01  2.26949638E-01
   1.30005200E-02  4.06378096E-01  2.27046114E-01
   1.30405216E-02  4.07953676E-01  2.27139967E-01
   1.30805232E-02  4.09528540E-01  2.27231201E-01
   1.31205248E-02  4.11102670E-01  2.27319825E-01
   1.31605264E-02  4.12676045E-01  2.27405845E-01
   1.32005280E-02  4.14248647E-01  2.27489267E-01
   1.32405296E-02  4.15820456E-01  2.27570100E-01
   1.32805312E-02  4.17391451E-01  2.27648348E-01
   1.33205328E-02  4.18961615E-01  2.27724021E-01
   1.33605344E-02  4.20530928E-01  2.27797123E-01
   1.34005360E-02  4.22099370E-01  2.27867663E-01
   1.34405376E-02  4.23666923E-01  2.27935646E-01
   1.34805392E-02  4.25233567E-01  2.28001080E-01
   1.35205408E-02  4.26799283E-01  2.28063971E-01
   1.35605424E-02  4.28364053E-01  2.28124326E-01
   1.36005440E-02  4.29927857E-01  2.28182153E-01
   1.36405456E-02  4.31490676E-01  2.28237456E-01
