 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 1.030912E+03, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift=-4.303870339578246E-01  (ETA=-1.283490E+00)
 #      Matching radius: RAD(   56)= 2.200088003520100E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  5.42698632E-04  2.49348830E-03
   8.00032001E-05  1.03865661E-03  4.68615772E-03
   1.20004800E-04  1.52833961E-03  6.77322080E-03
   1.60006400E-04  2.01906801E-03  8.79197205E-03
   2.00008000E-04  2.51405325E-03  1.07595712E-02
   2.40009600E-04  3.01505529E-03  1.26859180E-02
   2.80011200E-04  3.52315650E-03  1.45774550E-02
   3.20012801E-04  4.03907090E-03  1.64387074E-02
   3.60014401E-04  4.56329155E-03  1.82730265E-02
   4.00016001E-04  5.09616947E-03  2.00829937E-02
   4.40017601E-04  5.63795954E-03  2.18706576E-02
   4.80019201E-04  6.18884890E-03  2.36376838E-02
   5.20020801E-04  6.74897544E-03  2.53854530E-02
   5.60022401E-04  7.31844030E-03  2.71151282E-02
   6.00024001E-04  7.89731659E-03  2.88277027E-02
   6.40025601E-04  8.48565564E-03  3.05240349E-02
   6.80027201E-04  9.08349163E-03  3.22048739E-02
   7.20028801E-04  9.69084501E-03  3.38708792E-02
   7.60030401E-04  1.03077252E-02  3.55226363E-02
   8.00032001E-04  1.09341324E-02  3.71606685E-02
   8.40033601E-04  1.15700596E-02  3.87854460E-02
   8.80035201E-04  1.22154934E-02  4.03973943E-02
   9.20036801E-04  1.28704153E-02  4.19968998E-02
   9.60038402E-04  1.35348026E-02  4.35843155E-02
   1.00004000E-03  1.42086286E-02  4.51599650E-02
   1.04004160E-03  1.48918639E-02  4.67241460E-02
   1.08004320E-03  1.55844760E-02  4.82771334E-02
   1.12004480E-03  1.62864305E-02  4.98191822E-02
   1.16004640E-03  1.69976908E-02  5.13505292E-02
   1.20004800E-03  1.77182189E-02  5.28713950E-02
   1.24004960E-03  1.84479750E-02  5.43819861E-02
   1.28005120E-03  1.91869183E-02  5.58824955E-02
   1.32005280E-03  1.99350069E-02  5.73731049E-02
   1.36005440E-03  2.06921980E-02  5.88539848E-02
   1.40005600E-03  2.14584478E-02  6.03252963E-02
   1.44005760E-03  2.22337121E-02  6.17871914E-02
   1.48005920E-03  2.30179458E-02  6.32398140E-02
   1.52006080E-03  2.38111036E-02  6.46833005E-02
   1.56006240E-03  2.46131395E-02  6.61177805E-02
   1.60006400E-03  2.54240072E-02  6.75433771E-02
   1.64006560E-03  2.62436601E-02  6.89602076E-02
   1.68006720E-03  2.70720514E-02  7.03683839E-02
   1.72006880E-03  2.79091339E-02  7.17680129E-02
   1.76007040E-03  2.87548605E-02  7.31591965E-02
   1.80007200E-03  2.96091835E-02  7.45420326E-02
   1.84007360E-03  3.04720554E-02  7.59166149E-02
   1.88007520E-03  3.13434286E-02  7.72830332E-02
   1.92007680E-03  3.22232554E-02  7.86413740E-02
   1.96007840E-03  3.31114878E-02  7.99917201E-02
   2.00008000E-03  3.40080781E-02  8.13341514E-02
   2.04008160E-03  3.49129785E-02  8.26687448E-02
