 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 4.171821E+03, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift=-8.023861732052273E-02  (ETA=-7.108277E-01)
 #      Matching radius: RAD(   29)= 1.120044801792100E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  1.17911805E-03  5.40913508E-03
   8.00032001E-05  2.25932143E-03  1.01622352E-02
   1.20004800E-04  3.32820652E-03  1.46830917E-02
   1.60006400E-04  4.40153110E-03  1.90527030E-02
   2.00008000E-04  5.48616515E-03  2.33083411E-02
   2.40009600E-04  6.58584365E-03  2.74715068E-02
   2.80011200E-04  7.70284038E-03  3.15561886E-02
   3.20012801E-04  8.83863589E-03  3.55722076E-02
   3.60014401E-04  9.99423563E-03  3.95268334E-02
   4.00016001E-04  1.11703401E-02  4.34256608E-02
   4.40017601E-04  1.23674438E-02  4.72731266E-02
   4.80019201E-04  1.35858962E-02  5.10728343E-02
   5.20020801E-04  1.48259415E-02  5.48277673E-02
   5.60022401E-04  1.60877454E-02  5.85404359E-02
   6.00024001E-04  1.73714141E-02  6.22129808E-02
   6.40025601E-04  1.86770073E-02  6.58472493E-02
   6.80027201E-04  2.00045483E-02  6.94448507E-02
   7.20028801E-04  2.13540314E-02  7.30072001E-02
   7.60030401E-04  2.27254272E-02  7.65355507E-02
   8.00032001E-04  2.41186873E-02  8.00310207E-02
   8.40033601E-04  2.55337476E-02  8.34946131E-02
   8.80035201E-04  2.69705308E-02  8.69272331E-02
   9.20036801E-04  2.84289488E-02  9.03297018E-02
   9.60038402E-04  2.99089043E-02  9.37027667E-02
   1.00004000E-03  3.14102922E-02  9.70471118E-02
   1.04004160E-03  3.29330010E-02  1.00363365E-01
   1.08004320E-03  3.44769136E-02  1.03652105E-01
   1.12004480E-03  3.60419080E-02  1.06913866E-01
   1.16004640E-03  3.76278581E-02  1.10149145E-01
   1.20004800E-03  3.92346344E-02  1.13358401E-01
   1.24004960E-03  4.08621044E-02  1.16542065E-01
   1.28005120E-03  4.25101328E-02  1.19700537E-01
   1.32005280E-03  4.41785823E-02  1.22834194E-01
   1.36005440E-03  4.58673133E-02  1.25943387E-01
   1.40005600E-03  4.75761847E-02  1.29028449E-01
   1.44005760E-03  4.93050540E-02  1.32089691E-01
   1.48005920E-03  5.10537773E-02  1.35127409E-01
   1.52006080E-03  5.28222097E-02  1.38141880E-01
   1.56006240E-03  5.46102053E-02  1.41133369E-01
   1.60006400E-03  5.64176173E-02  1.44102125E-01
   1.64006560E-03  5.82442984E-02  1.47048386E-01
   1.68006720E-03  6.00901005E-02  1.49972378E-01
   1.72006880E-03  6.19548752E-02  1.52874315E-01
   1.76007040E-03  6.38384734E-02  1.55754403E-01
   1.80007200E-03  6.57407460E-02  1.58612837E-01
   1.84007360E-03  6.76615433E-02  1.61449805E-01
   1.88007520E-03  6.96007154E-02  1.64265485E-01
   1.92007680E-03  7.15581124E-02  1.67060048E-01
   1.96007840E-03  7.35335842E-02  1.69833658E-01
   2.00008000E-03  7.55269803E-02  1.72586475E-01
   2.04008160E-03  7.75381506E-02  1.75318647E-01
   2.08008320E-03  7.95669446E-02  1.78030322E-01
   2.12008480E-03  8.16132120E-02  1.80721640E-01
   2.16008640E-03  8.36768024E-02  1.83392735E-01
   2.20008800E-03  8.57575654E-02  1.86043737E-01
   2.24008960E-03  8.78553508E-02  1.88674772E-01
   2.28009120E-03  8.99700084E-02  1.91285962E-01
   2.32009280E-03  9.21013881E-02  1.93877423E-01
   2.36009440E-03  9.42493399E-02  1.96449268E-01
   2.40009600E-03  9.64137139E-02  1.99001607E-01
   2.44009760E-03  9.85943605E-02  2.01534547E-01
   2.48009920E-03  1.00791130E-01  2.04048191E-01
   2.52010080E-03  1.03003873E-01  2.06542637E-01
   2.56010240E-03  1.05232440E-01  2.09017983E-01
   2.60010400E-03  1.07476683E-01  2.11474323E-01
   2.64010560E-03  1.09736451E-01  2.13911749E-01
   2.68010720E-03  1.12011598E-01  2.16330348E-01
   2.72010880E-03  1.14301973E-01  2.18730209E-01
   2.76011040E-03  1.16607429E-01  2.21111414E-01
   2.80011200E-03  1.18927817E-01  2.23474046E-01
   2.84011360E-03  1.21262990E-01  2.25818184E-01
   2.88011520E-03  1.23612800E-01  2.28143907E-01
   2.92011680E-03  1.25977100E-01  2.30451291E-01
   2.96011840E-03  1.28355741E-01  2.32740409E-01
   3.00012000E-03  1.30748578E-01  2.35011335E-01
   3.04012160E-03  1.33155463E-01  2.37264139E-01
   3.08012320E-03  1.35576250E-01  2.39498890E-01
   3.12012480E-03  1.38010792E-01  2.41715657E-01
   3.16012641E-03  1.40458944E-01  2.43914505E-01
   3.20012801E-03  1.42920559E-01  2.46095499E-01
