 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 7.297387E+03, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-6.546056242316745E-03  (ETA=-5.889913E-01)
 #      Matching radius: RAD(   15)= 5.600224008960000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  1.74338959E-03  7.98529731E-03
   8.00032001E-05  3.34439294E-03  1.49970088E-02
   1.20004800E-04  4.93204461E-03  2.16612177E-02
   1.60006400E-04  6.52942017E-03  2.80976312E-02
   2.00008000E-04  8.14651237E-03  3.43613350E-02
   2.40009600E-04  9.78870617E-03  4.04841000E-02
   2.80011200E-04  1.14592420E-02  4.64865890E-02
   3.20012801E-04  1.31601980E-02  5.23833013E-02
   3.60014401E-04  1.48929571E-02  5.81849616E-02
   4.00016001E-04  1.66584564E-02  6.38998168E-02
   4.40017601E-04  1.84573328E-02  6.95344004E-02
   4.80019201E-04  2.02900118E-02  7.50940123E-02
   5.20020801E-04  2.21567658E-02  8.05830350E-02
   5.60022401E-04  2.40577533E-02  8.60051507E-02
   6.00024001E-04  2.59930462E-02  9.13634949E-02
   6.40025601E-04  2.79626493E-02  9.66607682E-02
   6.80027201E-04  2.99665147E-02  1.01899320E-01
   7.20028801E-04  3.20045523E-02  1.07081211E-01
   7.60030401E-04  3.40766385E-02  1.12208264E-01
   8.00032001E-04  3.61826215E-02  1.17282102E-01
   8.40033601E-04  3.83223273E-02  1.22304175E-01
   8.80035201E-04  4.04955628E-02  1.27275793E-01
   9.20036801E-04  4.27021194E-02  1.32198137E-01
   9.60038402E-04  4.49417753E-02  1.37072284E-01
   1.00004000E-03  4.72142976E-02  1.41899214E-01
   1.04004160E-03  4.95194438E-02  1.46679824E-01
   1.08004320E-03  5.18569636E-02  1.51414942E-01
   1.12004480E-03  5.42265997E-02  1.56105327E-01
   1.16004640E-03  5.66280890E-02  1.60751684E-01
   1.20004800E-03  5.90611633E-02  1.65354665E-01
   1.24004960E-03  6.15255500E-02  1.69914875E-01
   1.28005120E-03  6.40209728E-02  1.74432881E-01
   1.32005280E-03  6.65471520E-02  1.78909209E-01
   1.36005440E-03  6.91038051E-02  1.83344354E-01
   1.40005600E-03  7.16906472E-02  1.87738777E-01
   1.44005760E-03  7.43073913E-02  1.92092915E-01
   1.48005920E-03  7.69537484E-02  1.96407175E-01
   1.52006080E-03  7.96294279E-02  2.00681944E-01
   1.56006240E-03  8.23341381E-02  2.04917587E-01
   1.60006400E-03  8.50675856E-02  2.09114447E-01
   1.64006560E-03  8.78294763E-02  2.13272851E-01
   1.68006720E-03  9.06195152E-02  2.17393108E-01
   1.72006880E-03  9.34374063E-02  2.21475513E-01
   1.76007040E-03  9.62828532E-02  2.25520344E-01
   1.80007200E-03  9.91555589E-02  2.29527869E-01
   1.84007360E-03  1.02055226E-01  2.33498340E-01
   1.88007520E-03  1.04981556E-01  2.37432001E-01
   1.92007680E-03  1.07934251E-01  2.41329082E-01
   1.96007840E-03  1.10913013E-01  2.45189806E-01
   2.00008000E-03  1.13917543E-01  2.49014385E-01
   2.04008160E-03  1.16947542E-01  2.52803021E-01
   2.08008320E-03  1.20002711E-01  2.56555911E-01
   2.12008480E-03  1.23082752E-01  2.60273243E-01
   2.16008640E-03  1.26187365E-01  2.63955196E-01
   2.20008800E-03  1.29316252E-01  2.67601945E-01
   2.24008960E-03  1.32469113E-01  2.71213657E-01
   2.28009120E-03  1.35645650E-01  2.74790494E-01
   2.32009280E-03  1.38845565E-01  2.78332612E-01
   2.36009440E-03  1.42068558E-01  2.81840162E-01
   2.40009600E-03  1.45314332E-01  2.85313290E-01
   2.44009760E-03  1.48582588E-01  2.88752137E-01
   2.48009920E-03  1.51873028E-01  2.92156841E-01
   2.52010080E-03  1.55185354E-01  2.95527533E-01
   2.56010240E-03  1.58519269E-01  2.98864343E-01
   2.60010400E-03  1.61874476E-01  3.02167396E-01
   2.64010560E-03  1.65250678E-01  3.05436814E-01
   2.68010720E-03  1.68647578E-01  3.08672716E-01
   2.72010880E-03  1.72064878E-01  3.11875216E-01
   2.76011040E-03  1.75502284E-01  3.15044429E-01
   2.80011200E-03  1.78959500E-01  3.18180462E-01
   2.84011360E-03  1.82436229E-01  3.21283425E-01
   2.88011520E-03  1.85932176E-01  3.24353420E-01
   2.92011680E-03  1.89447047E-01  3.27390551E-01
   2.96011840E-03  1.92980548E-01  3.30394919E-01
   3.00012000E-03  1.96532383E-01  3.33366620E-01
   3.04012160E-03  2.00102259E-01  3.36305752E-01
   3.08012320E-03  2.03689883E-01  3.39212409E-01
   3.12012480E-03  2.07294961E-01  3.42086683E-01
   3.16012641E-03  2.10917202E-01  3.44928666E-01
   3.20012801E-03  2.14556312E-01  3.47738446E-01
   3.24012961E-03  2.18211999E-01  3.50516112E-01
   3.28013121E-03  2.21883973E-01  3.53261750E-01
   3.32013281E-03  2.25571941E-01  3.55975445E-01
   3.36013441E-03  2.29275614E-01  3.58657282E-01
   3.40013601E-03  2.32994702E-01  3.61307342E-01
   3.44013761E-03  2.36728913E-01  3.63925709E-01
   3.48013921E-03  2.40477959E-01  3.66512462E-01
   3.52014081E-03  2.44241551E-01  3.69067681E-01
   3.56014241E-03  2.48019401E-01  3.71591444E-01
   3.60014401E-03  2.51811220E-01  3.74083831E-01
   3.64014561E-03  2.55616721E-01  3.76544918E-01
   3.68014721E-03  2.59435616E-01  3.78974780E-01
   3.72014881E-03  2.63267620E-01  3.81373495E-01
   3.76015041E-03  2.67112445E-01  3.83741136E-01
   3.80015201E-03  2.70969807E-01  3.86077778E-01
   3.84015361E-03  2.74839419E-01  3.88383495E-01
   3.88015521E-03  2.78720997E-01  3.90658361E-01
