 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 9.651353E+03, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift= 2.314905096827835E-02  (ETA=-5.442854E-01)
 #      Matching radius: RAD(   12)= 4.400176007040000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  2.15387678E-03  9.85395401E-03
   8.00032001E-05  4.13542346E-03  1.85017346E-02
   1.20004800E-04  6.10360332E-03  2.67163538E-02
   1.60006400E-04  8.08671218E-03  3.46456491E-02
   2.00008000E-04  1.00969367E-02  4.23576487E-02
   2.40009600E-04  1.21407965E-02  4.98915811E-02
   2.80011200E-04  1.42221764E-02  5.72729507E-02
   3.20012801E-04  1.63435348E-02  6.45196453E-02
   3.60014401E-04  1.85064780E-02  7.16448881E-02
   4.00016001E-04  2.07120668E-02  7.86588400E-02
   4.40017601E-04  2.29609940E-02  8.55695435E-02
   4.80019201E-04  2.52536949E-02  9.23835168E-02
   5.20020801E-04  2.75904174E-02  9.91061438E-02
   5.60022401E-04  2.99712709E-02  1.05741943E-01
   6.00024001E-04  3.23962592E-02  1.12294756E-01
   6.40025601E-04  3.48653043E-02  1.18767890E-01
   6.80027201E-04  3.73782642E-02  1.25164214E-01
   7.20028801E-04  3.99349459E-02  1.31486244E-01
   7.60030401E-04  4.25351151E-02  1.37736200E-01
   8.00032001E-04  4.51785040E-02  1.43916055E-01
   8.40033601E-04  4.78648172E-02  1.50027573E-01
   8.80035201E-04  5.05937369E-02  1.56072338E-01
   9.20036801E-04  5.33649257E-02  1.62051781E-01
   9.60038402E-04  5.61780308E-02  1.67967202E-01
   1.00004000E-03  5.90326855E-02  1.73819781E-01
   1.04004160E-03  6.19285119E-02  1.79610600E-01
   1.08004320E-03  6.48651225E-02  1.85340650E-01
   1.12004480E-03  6.78421211E-02  1.91010842E-01
   1.16004640E-03  7.08591047E-02  1.96622018E-01
   1.20004800E-03  7.39156638E-02  2.02174957E-01
   1.24004960E-03  7.70113840E-02  2.07670380E-01
   1.28005120E-03  8.01458460E-02  2.13108959E-01
   1.32005280E-03  8.33186266E-02  2.18491320E-01
   1.36005440E-03  8.65292991E-02  2.23818047E-01
   1.40005600E-03  8.97774338E-02  2.29089688E-01
   1.44005760E-03  9.30625984E-02  2.34306754E-01
   1.48005920E-03  9.63843584E-02  2.39469729E-01
   1.52006080E-03  9.97422771E-02  2.44579065E-01
   1.56006240E-03  1.03135916E-01  2.49635189E-01
   1.60006400E-03  1.06564836E-01  2.54638505E-01
   1.64006560E-03  1.10028596E-01  2.59589395E-01
   1.68006720E-03  1.13526752E-01  2.64488221E-01
   1.72006880E-03  1.17058864E-01  2.69335323E-01
   1.76007040E-03  1.20624485E-01  2.74131030E-01
   1.80007200E-03  1.24223172E-01  2.78875649E-01
   1.84007360E-03  1.27854480E-01  2.83569476E-01
   1.88007520E-03  1.31517962E-01  2.88212793E-01
   1.92007680E-03  1.35213173E-01  2.92805867E-01
   1.96007840E-03  1.38939665E-01  2.97348957E-01
   2.00008000E-03  1.42696994E-01  3.01842307E-01
   2.04008160E-03  1.46484711E-01  3.06286155E-01
   2.08008320E-03  1.50302370E-01  3.10680725E-01
   2.12008480E-03  1.54149523E-01  3.15026236E-01
   2.16008640E-03  1.58025724E-01  3.19322897E-01
   2.20008800E-03  1.61930526E-01  3.23570910E-01
   2.24008960E-03  1.65863482E-01  3.27770469E-01
   2.28009120E-03  1.69824145E-01  3.31921762E-01
   2.32009280E-03  1.73812069E-01  3.36024970E-01
   2.36009440E-03  1.77826806E-01  3.40080268E-01
   2.40009600E-03  1.81867912E-01  3.44087828E-01
   2.44009760E-03  1.85934940E-01  3.48047814E-01
