 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 2.953055E+04, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift= 1.097159983972991E-01  (ETA=-4.435331E-01)
 #      Matching radius: RAD(   16)= 6.000240009600000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  5.46502997E-03  2.47582583E-02
   8.00032001E-05  1.05683204E-02  4.63841380E-02
   1.20004800E-04  1.57030757E-02  6.68281764E-02
   1.60006400E-04  2.09360582E-02  8.64637927E-02
   2.00008000E-04  2.62943059E-02  1.05462541E-01
   2.40009600E-04  3.17910166E-02  1.23923019E-01
   2.80011200E-04  3.74330144E-02  1.41909019E-01
   3.20012801E-04  4.32237034E-02  1.59465005E-01
   3.60014401E-04  4.91644634E-02  1.76623599E-01
   4.00016001E-04  5.52553888E-02  1.93409651E-01
   4.40017601E-04  6.14957147E-02  2.09842639E-01
   4.80019201E-04  6.78840777E-02  2.25938178E-01
   5.20020801E-04  7.44186841E-02  2.41709019E-01
   5.60022401E-04  8.10974222E-02  2.57165729E-01
   6.00024001E-04  8.79179399E-02  2.72317179E-01
   6.40025601E-04  9.48777001E-02  2.87170894E-01
   6.80027201E-04  1.01974021E-01  3.01733321E-01
   7.20028801E-04  1.09204105E-01  3.16010025E-01
   7.60030401E-04  1.16565064E-01  3.30005849E-01
   8.00032001E-04  1.24053933E-01  3.43725033E-01
   8.40033601E-04  1.31667685E-01  3.57171312E-01
   8.80035201E-04  1.39403244E-01  3.70347997E-01
   9.20036801E-04  1.47257491E-01  3.83258037E-01
   9.60038402E-04  1.55227272E-01  3.95904071E-01
   1.00004000E-03  1.63309401E-01  4.08288476E-01
   1.04004160E-03  1.71500669E-01  4.20413398E-01
   1.08004320E-03  1.79797847E-01  4.32280789E-01
   1.12004480E-03  1.88197684E-01  4.43892429E-01
   1.16004640E-03  1.96696919E-01  4.55249953E-01
   1.20004800E-03  2.05292276E-01  4.66354865E-01
   1.24004960E-03  2.13980467E-01  4.77208560E-01
   1.28005120E-03  2.22758197E-01  4.87812334E-01
   1.32005280E-03  2.31622166E-01  4.98167402E-01
   1.36005440E-03  2.40569065E-01  5.08274903E-01
   1.40005600E-03  2.49595583E-01  5.18135917E-01
   1.44005760E-03  2.58698405E-01  5.27751468E-01
   1.48005920E-03  2.67874215E-01  5.37122533E-01
   1.52006080E-03  2.77119696E-01  5.46250050E-01
   1.56006240E-03  2.86431530E-01  5.55134925E-01
   1.60006400E-03  2.95806401E-01  5.63778035E-01
   1.64006560E-03  3.05240995E-01  5.72180234E-01
   1.68006720E-03  3.14732000E-01  5.80342358E-01
   1.72006880E-03  3.24276107E-01  5.88265229E-01
   1.76007040E-03  3.33870014E-01  5.95949656E-01
   1.80007200E-03  3.43510420E-01  6.03396443E-01
   1.84007360E-03  3.53194030E-01  6.10606387E-01
   1.88007520E-03  3.62917559E-01  6.17580286E-01
   1.92007680E-03  3.72677724E-01  6.24318935E-01
   1.96007840E-03  3.82471252E-01  6.30823133E-01
   2.00008000E-03  3.92294878E-01  6.37093685E-01
   2.04008160E-03  4.02145344E-01  6.43131400E-01
   2.08008320E-03  4.12019403E-01  6.48937098E-01
   2.12008480E-03  4.21913817E-01  6.54511605E-01
   2.16008640E-03  4.31825358E-01  6.59855762E-01
   2.20008800E-03  4.41750810E-01  6.64970420E-01
   2.24008960E-03  4.51686967E-01  6.69856445E-01
   2.28009120E-03  4.61630637E-01  6.74514714E-01
   2.32009280E-03  4.71578638E-01  6.78946125E-01
   2.36009440E-03  4.81527803E-01  6.83151588E-01
   2.40009600E-03  4.91474978E-01  6.87132033E-01
   2.44009760E-03  5.01417024E-01  6.90888407E-01
   2.48009920E-03  5.11350815E-01  6.94421674E-01
   2.52010080E-03  5.21273241E-01  6.97732821E-01
   2.56010240E-03  5.31181208E-01  7.00822851E-01
   2.60010400E-03  5.41071638E-01  7.03692790E-01
   2.64010560E-03  5.50941469E-01  7.06343684E-01
   2.68010720E-03  5.60787658E-01  7.08776599E-01
   2.72010880E-03  5.70607179E-01  7.10992625E-01
   2.76011040E-03  5.80397022E-01  7.12992872E-01
   2.80011200E-03  5.90154198E-01  7.14778471E-01
   2.84011360E-03  5.99875738E-01  7.16350580E-01
   2.88011520E-03  6.09558689E-01  7.17710374E-01
   2.92011680E-03  6.19200123E-01  7.18859055E-01
   2.96011840E-03  6.28797128E-01  7.19797847E-01
   3.00012000E-03  6.38346816E-01  7.20527995E-01
   3.04012160E-03  6.47846319E-01  7.21050770E-01
   3.08012320E-03  6.57292792E-01  7.21367466E-01
   3.12012480E-03  6.66683412E-01  7.21479398E-01
   3.16012641E-03  6.76015378E-01  7.21387906E-01
   3.20012801E-03  6.85285915E-01  7.21094355E-01
   3.24012961E-03  6.94492269E-01  7.20600131E-01
   3.28013121E-03  7.03631710E-01  7.19906644E-01
   3.32013281E-03  7.12701536E-01  7.19015327E-01
   3.36013441E-03  7.21699067E-01  7.17927639E-01
   3.40013601E-03  7.30621649E-01  7.16645058E-01
   3.44013761E-03  7.39466655E-01  7.15169089E-01
   3.48013921E-03  7.48231484E-01  7.13501258E-01
   3.52014081E-03  7.56913560E-01  7.11643114E-01
   3.56014241E-03  7.65510336E-01  7.09596229E-01
   3.60014401E-03  7.74019293E-01  7.07362199E-01
   3.64014561E-03  7.82437938E-01  7.04942640E-01
   3.68014721E-03  7.90763807E-01  7.02339193E-01
   3.72014881E-03  7.98994466E-01  6.99553519E-01
   3.76015041E-03  8.07127508E-01  6.96587303E-01
   3.80015201E-03  8.15160558E-01  6.93442251E-01
   3.84015361E-03  8.23091267E-01  6.90120089E-01
   3.88015521E-03  8.30917321E-01  6.86622566E-01
   3.92015681E-03  8.38636432E-01  6.82951453E-01
   3.96015841E-03  8.46246345E-01  6.79108541E-01
   4.00016001E-03  8.53744838E-01  6.75095641E-01
   4.04016161E-03  8.61129716E-01  6.70914584E-01
   4.08016321E-03  8.68398820E-01  6.66567225E-01
   4.12016481E-03  8.75550021E-01  6.62055434E-01
   4.16016641E-03  8.82581223E-01  6.57381103E-01
   4.20016801E-03  8.89490364E-01  6.52546144E-01
   4.24016961E-03  8.96275413E-01  6.47552487E-01
   4.28017121E-03  9.02934375E-01  6.42402081E-01
   4.32017281E-03  9.09465286E-01  6.37096894E-01
   4.36017441E-03  9.15866217E-01  6.31638911E-01
   4.40017601E-03  9.22135275E-01  6.26030137E-01
   4.44017761E-03  9.28270599E-01  6.20272593E-01
   4.48017921E-03  9.34270365E-01  6.14368317E-01
   4.52018081E-03  9.40132782E-01  6.08319364E-01
   4.56018241E-03  9.45856096E-01  6.02127807E-01
   4.60018401E-03  9.51438588E-01  5.95795734E-01
   4.64018561E-03  9.56878575E-01  5.89325250E-01
   4.68018721E-03  9.62174410E-01  5.82718474E-01
   4.72018881E-03  9.67324482E-01  5.75977542E-01
   4.76019041E-03  9.72327218E-01  5.69104603E-01
