 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 6.831783E+04, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift= 1.490198710782376E-01  (ETA=-4.184949E-01)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  1.16880509E-02  5.19577618E-02
   8.00032001E-05  2.29043454E-02  9.69150076E-02
   1.20004800E-04  3.44428065E-02  1.38993653E-01
   1.60006400E-04  4.64199830E-02  1.78980285E-01
   2.00008000E-04  5.88721039E-02  2.17232865E-01
   2.40009600E-04  7.18079285E-02  2.53954284E-01
   2.80011200E-04  8.52237743E-02  2.89273527E-01
   3.20012801E-04  9.91093829E-02  3.23278666E-01
   3.60014401E-04  1.13450653E-01  3.56032857E-01
   4.00016001E-04  1.28231073E-01  3.87583047E-01
   4.40017601E-04  1.43432531E-01  4.17965121E-01
   4.80019201E-04  1.59035819E-01  4.47207147E-01
   5.20020801E-04  1.75020942E-01  4.75331514E-01
   5.60022401E-04  1.91367335E-01  5.02356405E-01
   6.00024001E-04  2.08054010E-01  5.28296844E-01
   6.40025601E-04  2.25059665E-01  5.53165458E-01
   6.80027201E-04  2.42362760E-01  5.76973045E-01
   7.20028801E-04  2.59941580E-01  5.99729007E-01
   7.60030401E-04  2.77774284E-01  6.21441690E-01
   8.00032001E-04  2.95838945E-01  6.42118643E-01
   8.40033601E-04  3.14113583E-01  6.61766828E-01
   8.80035201E-04  3.32576191E-01  6.80392791E-01
   9.20036801E-04  3.51204764E-01  6.98002800E-01
   9.60038402E-04  3.69977320E-01  7.14602954E-01
   1.00004000E-03  3.88871919E-01  7.30199279E-01
   1.04004160E-03  4.07866683E-01  7.44797804E-01
   1.08004320E-03  4.26939816E-01  7.58404625E-01
   1.12004480E-03  4.46069614E-01  7.71025958E-01
   1.16004640E-03  4.65234491E-01  7.82668189E-01
   1.20004800E-03  4.84412985E-01  7.93337906E-01
   1.24004960E-03  5.03583779E-01  8.03041936E-01
   1.28005120E-03  5.22725711E-01  8.11787367E-01
   1.32005280E-03  5.41817793E-01  8.19581579E-01
   1.36005440E-03  5.60839220E-01  8.26432254E-01
   1.40005600E-03  5.79769387E-01  8.32347397E-01
   1.44005760E-03  5.98587899E-01  8.37335349E-01
   1.48005920E-03  6.17274587E-01  8.41404794E-01
   1.52006080E-03  6.35809517E-01  8.44564774E-01
   1.56006240E-03  6.54173006E-01  8.46824688E-01
   1.60006400E-03  6.72345633E-01  8.48194303E-01
   1.64006560E-03  6.90308248E-01  8.48683754E-01
   1.68006720E-03  7.08041988E-01  8.48303548E-01
   1.72006880E-03  7.25528285E-01  8.47064562E-01
   1.76007040E-03  7.42748881E-01  8.44978049E-01
   1.80007200E-03  7.59685835E-01  8.42055628E-01
   1.84007360E-03  7.76321534E-01  8.38309290E-01
   1.88007520E-03  7.92638707E-01  8.33751389E-01
   1.92007680E-03  8.08620431E-01  8.28394645E-01
   1.96007840E-03  8.24250145E-01  8.22252131E-01
   2.00008000E-03  8.39511655E-01  8.15337276E-01
   2.04008160E-03  8.54389149E-01  8.07663853E-01
   2.08008320E-03  8.68867199E-01  7.99245980E-01
   2.12008480E-03  8.82930777E-01  7.90098104E-01
   2.16008640E-03  8.96565261E-01  7.80235003E-01
   2.20008800E-03  9.09756439E-01  7.69671772E-01
   2.24008960E-03  9.22490524E-01  7.58423819E-01
   2.28009120E-03  9.34754158E-01  7.46506854E-01
   2.32009280E-03  9.46534420E-01  7.33936882E-01
   2.36009440E-03  9.57818830E-01  7.20730190E-01
   2.40009600E-03  9.68595363E-01  7.06903346E-01
   2.44009760E-03  9.78852448E-01  6.92473178E-01
   2.48009920E-03  9.88578979E-01  6.77456775E-01
   2.52010080E-03  9.97764319E-01  6.61871469E-01
   2.56010240E-03  1.00639830E+00  6.45734827E-01
   2.60010400E-03  1.01447125E+00  6.29064642E-01
   2.64010560E-03  1.02197396E+00  6.11878920E-01
   2.68010720E-03  1.02889773E+00  5.94195868E-01
   2.72010880E-03  1.03523434E+00  5.76033888E-01
   2.76011040E-03  1.04097607E+00  5.57411558E-01
   2.80011200E-03  1.04611570E+00  5.38347625E-01
   2.84011360E-03  1.05064652E+00  5.18860995E-01
   2.88011520E-03  1.05456232E+00  4.98970716E-01
   2.92011680E-03  1.05785741E+00  4.78695969E-01
   2.96011840E-03  1.06052659E+00  4.58056056E-01
   3.00012000E-03  1.06256519E+00  4.37070389E-01
   3.04012160E-03  1.06396906E+00  4.15758474E-01
   3.08012320E-03  1.06473455E+00  3.94139902E-01
   3.12012480E-03  1.06485852E+00  3.72234337E-01
   3.16012641E-03  1.06433838E+00  3.50061499E-01
   3.20012801E-03  1.06317202E+00  3.27641159E-01
   3.24012961E-03  1.06135787E+00  3.04993120E-01
   3.28013121E-03  1.05889486E+00  2.82137208E-01
   3.32013281E-03  1.05578245E+00  2.59093257E-01
   3.36013441E-03  1.05202060E+00  2.35881102E-01
   3.40013601E-03  1.04760979E+00  2.12520558E-01
   3.44013761E-03  1.04255102E+00  1.89031416E-01
   3.48013921E-03  1.03684576E+00  1.65433426E-01
   3.52014081E-03  1.03049603E+00  1.41746286E-01
   3.56014241E-03  1.02350432E+00  1.17989629E-01
   3.60014401E-03  1.01587364E+00  9.41830127E-02
   3.64014561E-03  1.00760747E+00  7.03459049E-02
   3.68014721E-03  9.98709806E-01  4.64976732E-02
   3.72014881E-03  9.89185116E-01  2.26575726E-02
   3.76015041E-03  9.79038354E-01 -1.15526644E-03
   3.80015201E-03  9.68274948E-01 -2.49218495E-02
   3.84015361E-03  9.56900802E-01 -4.86233299E-02
   3.88015521E-03  9.44922281E-01 -7.22410204E-02
   3.92015681E-03  9.32346214E-01 -9.57564042E-02
   3.96015841E-03  9.19179883E-01 -1.19151146E-01
   4.00016001E-03  9.05431015E-01 -1.42407105E-01
   4.04016161E-03  8.91107781E-01 -1.65506341E-01
   4.08016321E-03  8.76218785E-01 -1.88431132E-01
   4.12016481E-03  8.60773057E-01 -2.11163978E-01
   4.16016641E-03  8.44780045E-01 -2.33687618E-01
   4.20016801E-03  8.28249611E-01 -2.55985033E-01
   4.24016961E-03  8.11192016E-01 -2.78039462E-01
   4.28017121E-03  7.93617919E-01 -2.99834411E-01
   4.32017281E-03  7.75538364E-01 -3.21353657E-01
   4.36017441E-03  7.56964771E-01 -3.42581268E-01
   4.40017601E-03  7.37908931E-01 -3.63501600E-01
   4.44017761E-03  7.18382992E-01 -3.84099317E-01
   4.48017921E-03  6.98399451E-01 -4.04359391E-01
   4.52018081E-03  6.77971145E-01 -4.24267118E-01
   4.56018241E-03  6.57111243E-01 -4.43808120E-01
   4.60018401E-03  6.35833230E-01 -4.62968358E-01
   4.64018561E-03  6.14150903E-01 -4.81734137E-01
   4.68018721E-03  5.92078356E-01 -5.00092113E-01
   4.72018881E-03  5.69629972E-01 -5.18029306E-01
   4.76019041E-03  5.46820412E-01 -5.35533098E-01
   4.80019201E-03  5.23664602E-01 -5.52591248E-01
   4.84019361E-03  5.00177724E-01 -5.69191895E-01
   4.88019521E-03  4.76375201E-01 -5.85323563E-01
   4.92019681E-03  4.52272692E-01 -6.00975172E-01
   4.96019841E-03  4.27886075E-01 -6.16136037E-01
   5.00020001E-03  4.03231436E-01 -6.30795879E-01
   5.04020161E-03  3.78325058E-01 -6.44944829E-01
   5.08020321E-03  3.53183412E-01 -6.58573430E-01
   5.12020481E-03  3.27823138E-01 -6.71672647E-01
   5.16020641E-03  3.02261039E-01 -6.84233866E-01
   5.20020801E-03  2.76514068E-01 -6.96248900E-01
   5.24020961E-03  2.50599311E-01 -7.07709996E-01
   5.28021121E-03  2.24533981E-01 -7.18609832E-01
   5.32021281E-03  1.98335401E-01 -7.28941527E-01
   5.36021441E-03  1.72020992E-01 -7.38698639E-01
   5.40021601E-03  1.45608265E-01 -7.47875171E-01
   5.44021761E-03  1.19114802E-01 -7.56465569E-01
   5.48021921E-03  9.25582474E-02 -7.64464731E-01
   5.52022081E-03  6.59562944E-02 -7.71868000E-01
   5.56022241E-03  3.93266724E-02 -7.78671172E-01
   5.60022401E-03  1.26871345E-02 -7.84870496E-01
   5.64022561E-03 -1.39445555E-02 -7.90462673E-01
   5.68022721E-03 -4.05506349E-02 -7.95444856E-01
   5.72022881E-03 -6.71133554E-02 -7.99814653E-01
   5.76023041E-03 -9.36149954E-02 -8.03570125E-01
   5.80023201E-03 -1.20037872E-01 -8.06709787E-01
   5.84023361E-03 -1.46364354E-01 -8.09232606E-01
   5.88023521E-03 -1.72576875E-01 -8.11138000E-01
   5.92023681E-03 -1.98657944E-01 -8.12425837E-01
   5.96023841E-03 -2.24590157E-01 -8.13096435E-01
   6.00024001E-03 -2.50356213E-01 -8.13150558E-01
   6.04024161E-03 -2.75938923E-01 -8.12589414E-01
