 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 9.035556E+04, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift= 1.581981348254546E-01  (ETA=-4.148393E-01)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  1.51774919E-02  6.67565685E-02
   8.00032001E-05  2.99553100E-02  1.24199613E-01
   1.20004800E-04  4.53260688E-02  1.77641849E-01
   1.60006400E-04  6.14176948E-02  2.28092492E-01
   2.00008000E-04  7.82570787E-02  2.76006940E-01
   2.40009600E-04  9.58368916E-02  3.21640438E-01
   2.80011200E-04  1.14134429E-01  3.65153145E-01
   3.20012801E-04  1.33118915E-01  4.06652890E-01
   3.60014401E-04  1.52754881E-01  4.46215923E-01
   4.00016001E-04  1.73003936E-01  4.83898221E-01
   4.40017601E-04  1.93825770E-01  5.19742177E-01
   4.80019201E-04  2.15178773E-01  5.53780812E-01
   5.20020801E-04  2.37020432E-01  5.86040563E-01
   5.60022401E-04  2.59307607E-01  6.16543195E-01
   6.00024001E-04  2.81996728E-01  6.45307160E-01
   6.40025601E-04  3.05043947E-01  6.72348590E-01
   6.80027201E-04  3.28405248E-01  6.97682029E-01
   7.20028801E-04  3.52036552E-01  7.21320998E-01
   7.60030401E-04  3.75893790E-01  7.43278423E-01
   8.00032001E-04  3.99932983E-01  7.63566974E-01
   8.40033601E-04  4.24110297E-01  7.82199327E-01
   8.80035201E-04  4.48382107E-01  7.99188382E-01
   9.20036801E-04  4.72705053E-01  8.14547425E-01
   9.60038402E-04  4.97036084E-01  8.28290269E-01
   1.00004000E-03  5.21332516E-01  8.40431361E-01
   1.04004160E-03  5.45552072E-01  8.50985874E-01
   1.08004320E-03  5.69652930E-01  8.59969770E-01
   1.12004480E-03  5.93593769E-01  8.67399866E-01
   1.16004640E-03  6.17333809E-01  8.73293868E-01
   1.20004800E-03  6.40832852E-01  8.77670413E-01
   1.24004960E-03  6.64051324E-01  8.80549092E-01
   1.28005120E-03  6.86950316E-01  8.81950463E-01
   1.32005280E-03  7.09491617E-01  8.81896071E-01
   1.36005440E-03  7.31637759E-01  8.80408446E-01
   1.40005600E-03  7.53352046E-01  8.77511107E-01
   1.44005760E-03  7.74598596E-01  8.73228561E-01
   1.48005920E-03  7.95342368E-01  8.67586291E-01
   1.52006080E-03  8.15549203E-01  8.60610748E-01
   1.56006240E-03  8.35185851E-01  8.52329338E-01
   1.60006400E-03  8.54220006E-01  8.42770403E-01
   1.64006560E-03  8.72620333E-01  8.31963203E-01
   1.68006720E-03  8.90356496E-01  8.19937894E-01
   1.72006880E-03  9.07399192E-01  8.06725507E-01
   1.76007040E-03  9.23720171E-01  7.92357917E-01
   1.80007200E-03  9.39292265E-01  7.76867822E-01
   1.84007360E-03  9.54089411E-01  7.60288710E-01
   1.88007520E-03  9.68086675E-01  7.42654833E-01
   1.92007680E-03  9.81260273E-01  7.24001169E-01
   1.96007840E-03  9.93587592E-01  7.04363394E-01
   2.00008000E-03  1.00504721E+00  6.83777847E-01
   2.04008160E-03  1.01561890E+00  6.62281496E-01
   2.08008320E-03  1.02528369E+00  6.39911898E-01
   2.12008480E-03  1.03402380E+00  6.16707168E-01
   2.16008640E-03  1.04182276E+00  5.92705934E-01
   2.20008800E-03  1.04866532E+00  5.67947308E-01
   2.24008960E-03  1.05453752E+00  5.42470838E-01
   2.28009120E-03  1.05942669E+00  5.16316474E-01
   2.32009280E-03  1.06332146E+00  4.89524527E-01
   2.36009440E-03  1.06621174E+00  4.62135627E-01
   2.40009600E-03  1.06808878E+00  4.34190684E-01
   2.44009760E-03  1.06894511E+00  4.05730844E-01
   2.48009920E-03  1.06877459E+00  3.76797454E-01
   2.52010080E-03  1.06757239E+00  3.47432011E-01
   2.56010240E-03  1.06533498E+00  3.17676130E-01
   2.60010400E-03  1.06206017E+00  2.87571494E-01
   2.64010560E-03  1.05774707E+00  2.57159818E-01
   2.68010720E-03  1.05239609E+00  2.26482806E-01
   2.72010880E-03  1.04600893E+00  1.95582107E-01
   2.76011040E-03  1.03858860E+00  1.64499275E-01
   2.80011200E-03  1.03013940E+00  1.33275730E-01
   2.84011360E-03  1.02066688E+00  1.01952710E-01
   2.88011520E-03  1.01017786E+00  7.05712407E-02
   2.92011680E-03  9.98680430E-01  3.91720845E-02
   2.96011840E-03  9.86183894E-01  7.79570706E-03
   3.00012000E-03  9.72698787E-01 -2.35177650E-02
   3.04012160E-03  9.58236848E-01 -5.47285826E-02
   3.08012320E-03  9.42811002E-01 -8.57974135E-02
   3.12012480E-03  9.26435344E-01 -1.16685380E-01
   3.16012641E-03  9.09125117E-01 -1.47354097E-01
   3.20012801E-03  8.90896692E-01 -1.77765707E-01
   3.24012961E-03  8.71767545E-01 -2.07882922E-01
   3.28013121E-03  8.51756232E-01 -2.37669051E-01
   3.32013281E-03  8.30882366E-01 -2.67088042E-01
   3.36013441E-03  8.09166594E-01 -2.96104512E-01
   3.40013601E-03  7.86630565E-01 -3.24683781E-01
   3.44013761E-03  7.63296905E-01 -3.52791908E-01
   3.48013921E-03  7.39189187E-01 -3.80395716E-01
   3.52014081E-03  7.14331907E-01 -4.07462828E-01
   3.56014241E-03  6.88750443E-01 -4.33961696E-01
   3.60014401E-03  6.62471034E-01 -4.59861627E-01
   3.64014561E-03  6.35520742E-01 -4.85132814E-01
   3.68014721E-03  6.07927420E-01 -5.09746361E-01
   3.72014881E-03  5.79719678E-01 -5.33674309E-01
   3.76015041E-03  5.50926850E-01 -5.56889662E-01
   3.80015201E-03  5.21578957E-01 -5.79366408E-01
   3.84015361E-03  4.91706674E-01 -6.01079544E-01
   3.88015521E-03  4.61341288E-01 -6.22005096E-01
   3.92015681E-03  4.30514667E-01 -6.42120139E-01
   3.96015841E-03  3.99259219E-01 -6.61402818E-01
   4.00016001E-03  3.67607855E-01 -6.79832364E-01
   4.04016161E-03  3.35593951E-01 -6.97389110E-01
   4.08016321E-03  3.03251307E-01 -7.14054508E-01
   4.12016481E-03  2.70614110E-01 -7.29811144E-01
   4.16016641E-03  2.37716894E-01 -7.44642748E-01
   4.20016801E-03  2.04594500E-01 -7.58534210E-01
   4.24016961E-03  1.71282034E-01 -7.71471585E-01
   4.28017121E-03  1.37814831E-01 -7.83442107E-01
   4.32017281E-03  1.04228410E-01 -7.94434196E-01
