 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: freepot.in          
 #      Free state: E= 1.926178E+02, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift= 0.000000000000000E+00  (ETA= 0.000000E+00)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  7.87138911E-04 -1.47526264E-08
   8.00032001E-05  1.57427733E-03 -5.90104948E-08
   1.20004800E-04  2.36141478E-03 -1.32773572E-07
   1.60006400E-04  3.14855077E-03 -2.36041804E-07
   2.00008000E-04  3.93568480E-03 -3.68815113E-07
   2.40009600E-04  4.72281640E-03 -5.31093400E-07
   2.80011200E-04  5.50994506E-03 -7.22876546E-07
   3.20012801E-04  6.29707032E-03 -9.44164407E-07
   3.60014401E-04  7.08419167E-03 -1.19495682E-06
   4.00016001E-04  7.87130864E-03 -1.47525360E-06
   4.40017601E-04  8.65842073E-03 -1.78505453E-06
   4.80019201E-04  9.44552745E-03 -2.12435939E-06
   5.20020801E-04  1.02326283E-02 -2.49316792E-06
   5.60022401E-04  1.10197228E-02 -2.89147985E-06
   6.00024001E-04  1.18068106E-02 -3.31929488E-06
   6.40025601E-04  1.25938909E-02 -3.77661270E-06
   6.80027201E-04  1.33809635E-02 -4.26343296E-06
   7.20028801E-04  1.41680278E-02 -4.77975531E-06
   7.60030401E-04  1.49550833E-02 -5.32557936E-06
   8.00032001E-04  1.57421296E-02 -5.90090470E-06
   8.40033601E-04  1.65291661E-02 -6.50573090E-06
   8.80035201E-04  1.73161923E-02 -7.14005752E-06
   9.20036801E-04  1.81032079E-02 -7.80388408E-06
   9.60038402E-04  1.88902122E-02 -8.49721010E-06
   1.00004000E-03  1.96772048E-02 -9.22003505E-06
   1.04004160E-03  2.04641852E-02 -9.97235840E-06
   1.08004320E-03  2.12511529E-02 -1.07541796E-05
   1.12004480E-03  2.20381075E-02 -1.15654980E-05
   1.16004640E-03  2.28250484E-02 -1.24063131E-05
   1.20004800E-03  2.36119752E-02 -1.32766243E-05
   1.24004960E-03  2.43988873E-02 -1.41764308E-05
   1.28005120E-03  2.51857843E-02 -1.51057320E-05
   1.32005280E-03  2.59726657E-02 -1.60645272E-05
   1.36005440E-03  2.67595311E-02 -1.70528158E-05
   1.40005600E-03  2.75463798E-02 -1.80705969E-05
   1.44005760E-03  2.83332115E-02 -1.91178698E-05
   1.48005920E-03  2.91200256E-02 -2.01946338E-05
   1.52006080E-03  2.99068217E-02 -2.13008880E-05
   1.56006240E-03  3.06935993E-02 -2.24366317E-05
   1.60006400E-03  3.14803578E-02 -2.36018639E-05
   1.64006560E-03  3.22670968E-02 -2.47965838E-05
   1.68006720E-03  3.30538159E-02 -2.60207905E-05
   1.72006880E-03  3.38405144E-02 -2.72744831E-05
