 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: freepot.in          
 #      Free state: E= 9.651353E+03, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift= 0.000000000000000E+00  (ETA= 0.000000E+00)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  6.23084237E-03 -5.85136952E-06
   8.00032001E-05  1.24614428E-02 -2.34052055E-05
   1.20004800E-04  1.86915595E-02 -5.26606900E-05
   1.60006400E-04  2.49209505E-02 -9.36164602E-05
   2.00008000E-04  3.11493739E-02 -1.46270608E-04
   2.40009600E-04  3.73765881E-02 -2.10620680E-04
   2.80011200E-04  4.36023511E-02 -2.86663679E-04
   3.20012801E-04  4.98264213E-02 -3.74396061E-04
   3.60014401E-04  5.60485571E-02 -4.73813739E-04
   4.00016001E-04  6.22685168E-02 -5.84912081E-04
   4.40017601E-04  6.84860591E-02 -7.07685911E-04
   4.80019201E-04  7.47009425E-02 -8.42129508E-04
   5.20020801E-04  8.09129257E-02 -9.88236608E-04
   5.60022401E-04  8.71217675E-02 -1.14600040E-03
   6.00024001E-04  9.33272270E-02 -1.31541354E-03
   6.40025601E-04  9.95290631E-02 -1.49646813E-03
   6.80027201E-04  1.05727035E-01 -1.68915574E-03
   7.20028801E-04  1.11920902E-01 -1.89346737E-03
   7.60030401E-04  1.18110425E-01 -2.10939353E-03
   8.00032001E-04  1.24295361E-01 -2.33692413E-03
   8.40033601E-04  1.30475472E-01 -2.57604858E-03
   8.80035201E-04  1.36650518E-01 -2.82675573E-03
   9.20036801E-04  1.42820258E-01 -3.08903390E-03
   9.60038402E-04  1.48984453E-01 -3.36287086E-03
   1.00004000E-03  1.55142864E-01 -3.64825385E-03
   1.04004160E-03  1.61295252E-01 -3.94516958E-03
   1.08004320E-03  1.67441378E-01 -4.25360418E-03
   1.12004480E-03  1.73581004E-01 -4.57354330E-03
   1.16004640E-03  1.79713890E-01 -4.90497202E-03
   1.20004800E-03  1.85839799E-01 -5.24787488E-03
   1.24004960E-03  1.91958493E-01 -5.60223589E-03
   1.28005120E-03  1.98069734E-01 -5.96803854E-03
