 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: freepot.in          
 #      Free state: E= 9.035556E+04, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift= 0.000000000000000E+00  (ETA= 0.000000E+00)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  3.13766577E-02 -2.75874470E-04
   8.00032001E-05  6.27224176E-02 -1.10317188E-03
   1.20004800E-04  9.40064125E-02 -2.48091458E-03
   1.60006400E-04  1.25197836E-01 -4.40747430E-03
   2.00008000E-04  1.56265972E-01 -6.88057387E-03
   2.40009600E-04  1.87180227E-01 -9.89728961E-03
   2.80011200E-04  2.17910160E-01 -1.34540544E-02
   3.20012801E-04  2.48425507E-01 -1.75466616E-02
   3.60014401E-04  2.78696221E-01 -2.21702692E-02
   4.00016001E-04  3.08692493E-01 -2.73194051E-02
   4.40017601E-04  3.38384784E-01 -3.29879729E-02
   4.80019201E-04  3.67743854E-01 -3.91692585E-02
   5.20020801E-04  3.96740794E-01 -4.58559367E-02
   5.60022401E-04  4.25347048E-01 -5.30400794E-02
   6.00024001E-04  4.53534447E-01 -6.07131637E-02
   6.40025601E-04  4.81275234E-01 -6.88660812E-02
   6.80027201E-04  5.08542092E-01 -7.74891473E-02
   7.20028801E-04  5.35308169E-01 -8.65721114E-02
   7.60030401E-04  5.61547108E-01 -9.61041683E-02
   8.00032001E-04  5.87233071E-01 -1.06073969E-01
   8.40033601E-04  6.12340764E-01 -1.16469632E-01
   8.80035201E-04  6.36845463E-01 -1.27278759E-01
   9.20036801E-04  6.60723036E-01 -1.38488444E-01
   9.60038402E-04  6.83949970E-01 -1.50085289E-01
   1.00004000E-03  7.06503394E-01 -1.62055418E-01
   1.04004160E-03  7.28361097E-01 -1.74384492E-01
   1.08004320E-03  7.49501557E-01 -1.87057723E-01
   1.12004480E-03  7.69903954E-01 -2.00059892E-01
   1.16004640E-03  7.89548198E-01 -2.13375362E-01
   1.20004800E-03  8.08414945E-01 -2.26988096E-01
   1.24004960E-03  8.26485616E-01 -2.40881676E-01
   1.28005120E-03  8.43742416E-01 -2.55039318E-01
   1.32005280E-03  8.60168351E-01 -2.69443888E-01
   1.36005440E-03  8.75747247E-01 -2.84077925E-01
   1.40005600E-03  8.90463762E-01 -2.98923657E-01
   1.44005760E-03  9.04303404E-01 -3.13963020E-01
   1.48005920E-03  9.17252546E-01 -3.29177677E-01
   1.52006080E-03  9.29298434E-01 -3.44549036E-01
   1.56006240E-03  9.40429208E-01 -3.60058274E-01
   1.60006400E-03  9.50633907E-01 -3.75686353E-01
   1.64006560E-03  9.59902481E-01 -3.91414043E-01
   1.68006720E-03  9.68225803E-01 -4.07221941E-01
   1.72006880E-03  9.75595678E-01 -4.23090492E-01
   1.76007040E-03  9.82004847E-01 -4.39000009E-01
   1.80007200E-03  9.87447000E-01 -4.54930695E-01
   1.84007360E-03  9.91916777E-01 -4.70862667E-01
   1.88007520E-03  9.95409777E-01 -4.86775970E-01
   1.92007680E-03  9.97922560E-01 -5.02650607E-01
   1.96007840E-03  9.99452651E-01 -5.18466552E-01
   2.00008000E-03  9.99998545E-01 -5.34203779E-01
   2.04008160E-03  9.99559703E-01 -5.49842279E-01
   2.08008320E-03  9.98136557E-01 -5.65362083E-01
   2.12008480E-03  9.95730510E-01 -5.80743282E-01
   2.16008640E-03  9.92343929E-01 -5.95966051E-01
   2.20008800E-03  9.87980151E-01 -6.11010668E-01
   2.24008960E-03  9.82643472E-01 -6.25857538E-01
   2.28009120E-03  9.76339148E-01 -6.40487209E-01
   2.32009280E-03  9.69073386E-01 -6.54880400E-01
   2.36009440E-03  9.60853342E-01 -6.69018017E-01
   2.40009600E-03  9.51687109E-01 -6.82881174E-01
   2.44009760E-03  9.41583716E-01 -6.96451218E-01
   2.48009920E-03  9.30553109E-01 -7.09709741E-01
   2.52010080E-03  9.18606153E-01 -7.22638610E-01
   2.56010240E-03  9.05754611E-01 -7.35219979E-01
   2.60010400E-03  8.92011139E-01 -7.47436311E-01
   2.64010560E-03  8.77389271E-01 -7.59270400E-01
   2.68010720E-03  8.61903405E-01 -7.70705385E-01
   2.72010880E-03  8.45568790E-01 -7.81724773E-01
   2.76011040E-03  8.28401513E-01 -7.92312454E-01
   2.80011200E-03  8.10418478E-01 -8.02452721E-01
   2.84011360E-03  7.91637394E-01 -8.12130286E-01
   2.88011520E-03  7.72076755E-01 -8.21330298E-01
   2.92011680E-03  7.51755824E-01 -8.30038361E-01
   2.96011840E-03  7.30694610E-01 -8.38240544E-01
   3.00012000E-03  7.08913855E-01 -8.45923406E-01
   3.04012160E-03  6.86435006E-01 -8.53074002E-01
   3.08012320E-03  6.63280199E-01 -8.59679906E-01
   3.12012480E-03  6.39472235E-01 -8.65729219E-01
   3.16012641E-03  6.15034560E-01 -8.71210585E-01
   3.20012801E-03  5.89991236E-01 -8.76113203E-01
   3.24012961E-03  5.64366927E-01 -8.80426844E-01
   3.28013121E-03  5.38186865E-01 -8.84141855E-01
   3.32013281E-03  5.11476830E-01 -8.87249179E-01
   3.36013441E-03  4.84263125E-01 -8.89740359E-01
   3.40013601E-03  4.56572548E-01 -8.91607554E-01
   3.44013761E-03  4.28432367E-01 -8.92843541E-01
   3.48013921E-03  3.99870293E-01 -8.93441733E-01
   3.52014081E-03  3.70914452E-01 -8.93396181E-01
   3.56014241E-03  3.41593357E-01 -8.92701583E-01
   3.60014401E-03  3.11935883E-01 -8.91353293E-01
   3.64014561E-03  2.81971235E-01 -8.89347326E-01
   3.68014721E-03  2.51728918E-01 -8.86680361E-01
   3.72014881E-03  2.21238715E-01 -8.83349752E-01
   3.76015041E-03  1.90530650E-01 -8.79353527E-01
   3.80015201E-03  1.59634962E-01 -8.74690395E-01
   3.84015361E-03  1.28582076E-01 -8.69359747E-01
   3.88015521E-03  9.74025700E-02 -8.63361658E-01
   3.92015681E-03  6.61271483E-02 -8.56696890E-01
   3.96015841E-03  3.47866088E-02 -8.49366894E-01
   4.00016001E-03  3.41181358E-03 -8.41373805E-01
   4.04016161E-03 -2.79663414E-02 -8.32720448E-01
   4.08016321E-03 -5.93169568E-02 -8.23410333E-01
   4.12016481E-03 -9.06091607E-02 -8.13447653E-01
   4.16016641E-03 -1.21812138E-01 -8.02837282E-01
   4.20016801E-03 -1.52895163E-01 -7.91584772E-01
   4.24016961E-03 -1.83827626E-01 -7.79696349E-01
   4.28017121E-03 -2.14579067E-01 -7.67178908E-01
   4.32017281E-03 -2.45119205E-01 -7.54040007E-01
   4.36017441E-03 -2.75417964E-01 -7.40287862E-01
   4.40017601E-03 -3.05445509E-01 -7.25931338E-01
   4.44017761E-03 -3.35172271E-01 -7.10979946E-01
   4.48017921E-03 -3.64568976E-01 -6.95443830E-01
   4.52018081E-03 -3.93606676E-01 -6.79333761E-01
   4.56018241E-03 -4.22256778E-01 -6.62661125E-01
   4.60018401E-03 -4.50491067E-01 -6.45437918E-01
   4.64018561E-03 -4.78281741E-01 -6.27676730E-01
   4.68018721E-03 -5.05601434E-01 -6.09390736E-01
   4.72018881E-03 -5.32423242E-01 -5.90593682E-01
   4.76019041E-03 -5.58720753E-01 -5.71299879E-01
   4.80019201E-03 -5.84468071E-01 -5.51524179E-01
   4.84019361E-03 -6.09639841E-01 -5.31281973E-01
   4.88019521E-03 -6.34211277E-01 -5.10589167E-01
   4.92019681E-03 -6.58158181E-01 -4.89462174E-01
   4.96019841E-03 -6.81456973E-01 -4.67917894E-01
   5.00020001E-03 -7.04084708E-01 -4.45973702E-01
   5.04020161E-03 -7.26019106E-01 -4.23647428E-01
   5.08020321E-03 -7.47238565E-01 -4.00957344E-01
   5.12020481E-03 -7.67722191E-01 -3.77922142E-01
   5.16020641E-03 -7.87449812E-01 -3.54560921E-01
   5.20020801E-03 -8.06402002E-01 -3.30893165E-01
   5.24020961E-03 -8.24560099E-01 -3.06938728E-01
   5.28021121E-03 -8.41906220E-01 -2.82717812E-01
   5.32021281E-03 -8.58423285E-01 -2.58250947E-01
