 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: freepot.in          
 #      Free state: E= 3.598914E+01, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift= 0.000000000000000E+00  (ETA= 0.000000E+00)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  3.84282775E-08  1.05054384E-05
   8.00032001E-05  1.53713105E-07  2.10108757E-05
   1.20004800E-04  3.45854465E-07  3.15163105E-05
   1.60006400E-04  6.14852333E-07  4.20217417E-05
   2.00008000E-04  9.60706671E-07  5.25271680E-05
   2.40009600E-04  1.38341743E-06  6.30325883E-05
   2.80011200E-04  1.88298455E-06  7.35380013E-05
   3.20012801E-04  2.45940797E-06  8.40434058E-05
   3.60014401E-04  3.11268760E-06  9.45488007E-05
   4.00016001E-04  3.84282336E-06  1.05054185E-04
   4.40017601E-04  4.64981514E-06  1.15559556E-04
   4.80019201E-04  5.53366283E-06  1.26064915E-04
   5.20020801E-04  6.49436631E-06  1.36570259E-04
   5.60022401E-04  7.53192545E-06  1.47075587E-04
   6.00024001E-04  8.64634010E-06  1.57580898E-04
   6.40025601E-04  9.83761011E-06  1.68086192E-04
   6.80027201E-04  1.11057353E-05  1.78591465E-04
   7.20028801E-04  1.24507155E-05  1.89096718E-04
   7.60030401E-04  1.38725506E-05  1.99601950E-04
   8.00032001E-04  1.53712403E-05  2.10107158E-04
   8.40033601E-04  1.69467844E-05  2.20612342E-04
   8.80035201E-04  1.85991827E-05  2.31117501E-04
   9.20036801E-04  2.03284350E-05  2.41622633E-04
   9.60038402E-04  2.21345411E-05  2.52127737E-04
   1.00004000E-03  2.40175006E-05  2.62632812E-04
   1.04004160E-03  2.59773134E-05  2.73137857E-04
   1.08004320E-03  2.80139792E-05  2.83642870E-04
   1.12004480E-03  3.01274976E-05  2.94147851E-04
   1.16004640E-03  3.23178684E-05  3.04652798E-04
   1.20004800E-03  3.45850913E-05  3.15157709E-04
   1.24004960E-03  3.69291659E-05  3.25662585E-04
   1.28005120E-03  3.93500920E-05  3.36167422E-04
   1.32005280E-03  4.18478693E-05  3.46672221E-04
   1.36005440E-03  4.44224972E-05  3.57176980E-04
   1.40005600E-03  4.70739756E-05  3.67681698E-04
   1.44005760E-03  4.98023041E-05  3.78186374E-04
   1.48005920E-03  5.26074822E-05  3.88691006E-04
   1.52006080E-03  5.54895096E-05  3.99195593E-04
   1.56006240E-03  5.84483858E-05  4.09700134E-04
   1.60006400E-03  6.14841105E-05  4.20204627E-04
   1.64006560E-03  6.45966833E-05  4.30709073E-04
   1.68006720E-03  6.77861037E-05  4.41213468E-04
   1.72006880E-03  7.10523713E-05  4.51717813E-04
   1.76007040E-03  7.43954856E-05  4.62222106E-04
   1.80007200E-03  7.78154461E-05  4.72726346E-04
   1.84007360E-03  8.13122525E-05  4.83230530E-04
   1.88007520E-03  8.48859041E-05  4.93734660E-04
   1.92007680E-03  8.85364006E-05  5.04238732E-04
   1.96007840E-03  9.22637414E-05  5.14742746E-04
   2.00008000E-03  9.60679259E-05  5.25246701E-04
   2.04008160E-03  9.99489538E-05  5.35750595E-04
   2.08008320E-03  1.03906824E-04  5.46254428E-04
   2.12008480E-03  1.07941537E-04  5.56758198E-04
   2.16008640E-03  1.12053091E-04  5.67261903E-04
   2.20008800E-03  1.16241487E-04  5.77765543E-04
   2.24008960E-03  1.20506723E-04  5.88269116E-04
