 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: freepot.in          
 #      Free state: E= 2.547518E+02, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift= 0.000000000000000E+00  (ETA= 0.000000E+00)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  2.73600334E-07  7.43635264E-05
   8.00032001E-05  1.09440107E-06  1.48726992E-04
   1.20004800E-04  2.46240139E-06  2.23090335E-04
   1.60006400E-04  4.37759995E-06  2.97453495E-04
   2.00008000E-04  6.83999488E-06  3.71816411E-04
   2.40009600E-04  9.84958373E-06  4.46179022E-04
   2.80011200E-04  1.34063635E-05  5.20541267E-04
   3.20012801E-04  1.75103308E-05  5.94903084E-04
   3.60014401E-04  2.21614815E-05  6.69264413E-04
   4.00016001E-04  2.73598111E-05  7.43625193E-04
   4.40017601E-04  3.31053143E-05  8.17985362E-04
   4.80019201E-04  3.93979857E-05  8.92344860E-04
   5.20020801E-04  4.62378188E-05  9.66703626E-04
   5.60022401E-04  5.36248072E-05  1.04106160E-03
   6.00024001E-04  6.15589433E-05  1.11541872E-03
   6.40025601E-04  7.00402195E-05  1.18977492E-03
   6.80027201E-04  7.90686274E-05  1.26413014E-03
   7.20028801E-04  8.86441581E-05  1.33848433E-03
   7.60030401E-04  9.87668021E-05  1.41283742E-03
   8.00032001E-04  1.09436549E-04  1.48718935E-03
   8.40033601E-04  1.20653390E-04  1.56154006E-03
   8.80035201E-04  1.32417312E-04  1.63588949E-03
   9.20036801E-04  1.44728304E-04  1.71023757E-03
   9.60038402E-04  1.57586355E-04  1.78458425E-03
   1.00004000E-03  1.70991451E-04  1.85892947E-03
   1.04004160E-03  1.84943579E-04  1.93327316E-03
   1.08004320E-03  1.99442725E-04  2.00761526E-03
   1.12004480E-03  2.14488876E-04  2.08195572E-03
   1.16004640E-03  2.30082017E-04  2.15629446E-03
   1.20004800E-03  2.46222131E-04  2.23063144E-03
   1.24004960E-03  2.62909204E-04  2.30496658E-03
   1.28005120E-03  2.80143218E-04  2.37929984E-03
   1.32005280E-03  2.97924157E-04  2.45363114E-03
   1.36005440E-03  3.16252003E-04  2.52796043E-03
   1.40005600E-03  3.35126738E-04  2.60228764E-03
   1.44005760E-03  3.54548344E-04  2.67661271E-03
   1.48005920E-03  3.74516801E-04  2.75093559E-03
   1.52006080E-03  3.95032091E-04  2.82525621E-03
   1.56006240E-03  4.16094191E-04  2.89957452E-03
   1.60006400E-03  4.37703083E-04  2.97389044E-03
   1.64006560E-03  4.59858744E-04  3.04820392E-03
   1.68006720E-03  4.82561153E-04  3.12251490E-03
   1.72006880E-03  5.05810287E-04  3.19682331E-03
   1.76007040E-03  5.29606123E-04  3.27112911E-03
   1.80007200E-03  5.53948639E-04  3.34543221E-03
   1.84007360E-03  5.78837810E-04  3.41973258E-03
   1.88007520E-03  6.04273611E-04  3.49403013E-03
   1.92007680E-03  6.30256017E-04  3.56832482E-03
   1.96007840E-03  6.56785004E-04  3.64261657E-03
   2.00008000E-03  6.83860544E-04  3.71690534E-03
   2.04008160E-03  7.11482612E-04  3.79119106E-03
   2.08008320E-03  7.39651179E-04  3.86547366E-03
   2.12008480E-03  7.68366218E-04  3.93975310E-03
   2.16008640E-03  7.97627701E-04  4.01402930E-03
